dataset,model,alarms,share_falling,rebuild_gain_over_never_pp,level,mean_rebuild_gain_pp
covtype,gnb,321.0,0.5015576323987538,-10.79962009222642,cell,
covtype,rf,785.0,0.3159235668789809,-17.883054847460663,cell,
covtype,sgd,2280.0,0.5162280701754386,-10.217171117171251,cell,
covtype,xgb,114.0,0.14912280701754385,-15.684478174274304,cell,
elec2,gnb,64.0,0.453125,20.055908388710428,cell,
elec2,rf,400.0,0.405,2.5693337583678613,cell,
elec2,sgd,417.0,0.42685851318944845,-1.52914347367647,cell,
elec2,xgb,79.0,0.4050632911392405,3.5138912728967,cell,
insects_abrupt,gnb,8.0,0.625,8.220157782054855,cell,
insects_abrupt,rf,42.0,0.40476190476190477,0.22944529742576236,cell,
insects_abrupt,sgd,54.0,0.5,-1.020604578686406,cell,
insects_abrupt,xgb,9.0,0.3333333333333333,-0.8102072866697441,cell,
insects_gradual,gnb,5.0,0.4,20.646930051946583,cell,
insects_gradual,rf,35.0,0.2857142857142857,20.528347555651006,cell,
insects_gradual,sgd,31.0,0.41935483870967744,-1.037724554203308,cell,
insects_gradual,xgb,7.0,0.2857142857142857,20.321271473583202,cell,
insects_incremental,gnb,5.0,0.0,34.254214267611566,cell,
insects_incremental,rf,20.0,0.25,41.07911422716625,cell,
insects_incremental,sgd,2.0,0.0,-0.4875538848202936,cell,
insects_incremental,xgb,3.0,0.0,38.07401581274428,cell,
covtype,,,0.458,,stream,-13.64608105778316
elec2,,,0.41770833333333335,,stream,6.15249748657463
insects_abrupt,,,0.46017699115044247,,stream,1.6546978035311168
insects_gradual,,,0.34615384615384615,,stream,15.114706131744372
insects_incremental,,,0.16666666666666666,,stream,28.22994760567545
