group,policy,adaptations,on_falling_error,share_adaptations_pct,share_work_units_pct
all streams,AlwaysRebuild,3004,977,32.52330226364847,35.571984028225906
all streams,FixedSchedule,3200,1072,33.5,28.726390393099418
all streams,MechanismSelector,2830,962,33.99293286219081,24.8913098056232
elec2,AlwaysRebuild,739,222,30.040595399188092,31.117437036219517
elec2,FixedSchedule,763,252,33.027522935779814,26.817045091858137
elec2,MechanismSelector,735,256,34.82993197278912,3.328213744054186
covtype,AlwaysRebuild,2028,715,35.256410256410255,36.7884299169755
covtype,FixedSchedule,2216,762,34.38628158844765,28.820164757766292
covtype,MechanismSelector,1860,642,34.516129032258064,28.742037565471314
insects abrupt,AlwaysRebuild,115,29,25.217391304347824,42.20966965017957
insects abrupt,FixedSchedule,116,46,39.6551724137931,42.48749330180923
insects abrupt,MechanismSelector,116,44,37.93103448275862,3.73797891976625
insects gradual,AlwaysRebuild,77,11,14.285714285714286,21.151862871278855
insects gradual,FixedSchedule,73,12,16.438356164383563,22.759249735436274
insects gradual,MechanismSelector,77,20,25.974025974025974,14.065100915342619
insects incremental,AlwaysRebuild,45,0,0.0,0.0
insects incremental,FixedSchedule,32,0,0.0,0.0
insects incremental,MechanismSelector,42,0,0.0,0.0
