dataset,model,alarms,falling_error,share_on_falling_error
elec2,xgb,79,32,0.4050632911392405
elec2,rf,400,162,0.405
elec2,sgd,417,178,0.42685851318944845
elec2,gnb,64,29,0.453125
insects_abrupt,xgb,9,3,0.3333333333333333
insects_abrupt,rf,42,17,0.40476190476190477
insects_abrupt,sgd,54,27,0.5
insects_abrupt,gnb,8,5,0.625
insects_gradual,xgb,7,2,0.2857142857142857
insects_gradual,rf,35,10,0.2857142857142857
insects_gradual,sgd,31,13,0.41935483870967744
insects_gradual,gnb,5,2,0.4
insects_incremental,xgb,3,0,0.0
insects_incremental,rf,20,5,0.25
insects_incremental,sgd,2,0,0.0
insects_incremental,gnb,5,0,0.0
covtype,xgb,114,17,0.14912280701754385
covtype,rf,785,248,0.3159235668789809
covtype,sgd,2280,1177,0.5162280701754386
covtype,gnb,321,161,0.5015576323987538
