dataset,model,policy,stream_position_pct,cumulative_cost_pct_of_rebuild_total
elec2,xgb,AlwaysRebuild,0.0,0.0
elec2,xgb,AlwaysRebuild,0.4683553615654349,0.5130397605814451
elec2,xgb,AlwaysRebuild,2.037713641156421,2.2231722958529287
elec2,xgb,AlwaysRebuild,2.7439248669723644,2.992731936725096
elec2,xgb,AlwaysRebuild,5.2548981143179425,5.664814023086789
elec2,xgb,AlwaysRebuild,6.510384737990731,7.032920051303976
elec2,xgb,AlwaysRebuild,11.689267060640985,9.70500213766567
elec2,xgb,AlwaysRebuild,12.395478286456928,10.474561778537836
elec2,xgb,AlwaysRebuild,12.709349942375125,10.816588285592134
elec2,xgb,AlwaysRebuild,17.260488953188986,13.488670371953827
elec2,xgb,AlwaysRebuild,17.88823226502538,14.17272338606242
elec2,xgb,AlwaysRebuild,19.77146220053456,16.2248824283882
elec2,xgb,AlwaysRebuild,21.890095877982393,18.533561351004703
elec2,xgb,AlwaysRebuild,22.910178759716533,19.645147498931166
elec2,xgb,AlwaysRebuild,24.55800495328707,21.440786660966225
elec2,xgb,AlwaysRebuild,25.57808783502121,22.552372808892688
elec2,xgb,AlwaysRebuild,26.362766974816704,23.40743907652843
elec2,xgb,AlwaysRebuild,27.618253598489492,24.775545104745618
elec2,xgb,AlwaysRebuild,28.167528996346338,25.37409149209064
elec2,xgb,AlwaysRebuild,29.187611878080478,26.4856776400171
elec2,xgb,AlwaysRebuild,30.12922684583507,27.511757161179993
elec2,xgb,AlwaysRebuild,31.384713469507858,28.879863189397177
elec2,xgb,AlwaysRebuild,32.5617321792011,30.16246259085079
elec2,xgb,AlwaysRebuild,33.50334714695569,31.188542112013682
elec2,xgb,AlwaysRebuild,35.62198082440352,33.497221034630186
elec2,xgb,AlwaysRebuild,38.91763321154459,36.16930312099188
elec2,xgb,AlwaysRebuild,41.58554228684927,38.84138520735357
elec2,xgb,AlwaysRebuild,44.09651553419484,41.513467293715266
elec2,xgb,AlwaysRebuild,44.48885510409259,41.94100042753313
elec2,xgb,AlwaysRebuild,44.881194673990336,42.36853356135101
elec2,xgb,AlwaysRebuild,45.74434172776538,43.30910645575032
elec2,xgb,AlwaysRebuild,46.05821338368358,43.65113296280462
elec2,xgb,AlwaysRebuild,46.68595669551997,44.33518597691321
elec2,xgb,AlwaysRebuild,47.39216792133592,45.104745617785376
elec2,xgb,AlwaysRebuild,47.941443319192764,45.7032920051304
elec2,xgb,AlwaysRebuild,49.03999411490645,46.900384779820435
elec2,xgb,AlwaysRebuild,49.51080159878375,47.413424540401884
elec2,xgb,AlwaysRebuild,50.37394865255879,48.353997434801194
elec2,xgb,AlwaysRebuild,50.76628822245654,48.78153056861907
elec2,xgb,AlwaysRebuild,52.25717858806797,50.40615647712698
elec2,xgb,AlwaysRebuild,52.57105024398617,50.74818298418128
elec2,xgb,AlwaysRebuild,53.12032564184302,51.346729371526294
elec2,xgb,AlwaysRebuild,54.375812265515805,52.71483539974348
elec2,xgb,AlwaysRebuild,55.63129888918859,54.08294142796067
elec2,xgb,AlwaysRebuild,57.357592996738674,55.964087216759296
elec2,xgb,AlwaysRebuild,59.476226674186506,58.272766139375804
elec2,xgb,AlwaysRebuild,60.02550207204335,58.87131252672082
elec2,xgb,AlwaysRebuild,61.04558495377749,59.98289867464729
elec2,xgb,AlwaysRebuild,63.164218631225324,62.29157759726379
elec2,xgb,AlwaysRebuild,65.28285230867316,64.60025651988029
elec2,xgb,AlwaysRebuild,65.75365979255045,65.11329628046174
elec2,xgb,AlwaysRebuild,66.06753144846866,65.45532278751604
elec2,xgb,AlwaysRebuild,66.85221058826414,66.31038905515177
elec2,xgb,AlwaysRebuild,67.87229346999828,67.42197520307823
elec2,xgb,AlwaysRebuild,69.83399131948701,69.55964087216759
elec2,xgb,AlwaysRebuild,72.42343248081214,72.23172295852929
elec2,xgb,AlwaysRebuild,73.36504744856673,73.25780247969217
elec2,xgb,AlwaysRebuild,73.75738701846448,73.68533561351005
elec2,xgb,AlwaysRebuild,75.32674529805547,75.39546814878153
elec2,xgb,AlwaysRebuild,76.26836026581006,76.42154766994442
elec2,xgb,AlwaysRebuild,77.4453789755033,77.70414707139804
elec2,xgb,AlwaysRebuild,78.07312228733969,78.38820008550663
elec2,xgb,AlwaysRebuild,79.17167308305338,79.58529286019666
elec2,xgb,AlwaysRebuild,80.11328805080798,80.61137238135956
elec2,xgb,AlwaysRebuild,82.15345381427626,82.83454467721248
elec2,xgb,AlwaysRebuild,83.80128000784678,84.63018383924754
elec2,xgb,AlwaysRebuild,84.82136288958094,85.74176998717401
elec2,xgb,AlwaysRebuild,85.29217037345823,86.25480974775544
elec2,xgb,AlwaysRebuild,86.70459282509012,87.7939290294998
elec2,xgb,AlwaysRebuild,90.54952061008804,90.46601111586148
elec2,xgb,AlwaysRebuild,93.06049385743361,93.13809320222317
elec2,xgb,AlwaysRebuild,94.08057673916775,94.24967935014963
elec2,xgb,AlwaysRebuild,95.17912753488145,95.44677212483967
elec2,xgb,AlwaysRebuild,96.90542164243152,97.3279179136383
elec2,xgb,AlwaysRebuild,99.96567028763394,100.0
elec2,xgb,AlwaysRebuild,100.0,100.0
elec2,xgb,MechanismSelector,0.0,0.0
elec2,xgb,MechanismSelector,0.4683553615654349,0.5130397605814451
elec2,xgb,MechanismSelector,2.037713641156421,2.291577597263788
elec2,xgb,MechanismSelector,2.7439248669723644,3.091866182129115
elec2,xgb,MechanismSelector,5.2548981143179425,5.870831551945276
elec2,xgb,MechanismSelector,6.510384737990731,7.293581658828559
elec2,xgb,MechanismSelector,11.689267060640985,10.07254702864472
elec2,xgb,MechanismSelector,12.395478286456928,10.10327597263788
elec2,xgb,MechanismSelector,13.494029082170618,10.10327597263788
elec2,xgb,MechanismSelector,16.475809813393493,10.10327597263788
elec2,xgb,MechanismSelector,17.260488953188986,10.13747862334331
elec2,xgb,MechanismSelector,17.966700179004928,10.168207567336468
elec2,xgb,MechanismSelector,19.77146220053456,12.213419196237709
elec2,xgb,MechanismSelector,21.890095877982393,12.213419196237709
elec2,xgb,MechanismSelector,22.831710845736986,12.213419196237709
elec2,xgb,MechanismSelector,24.793408695225718,14.436591492090637
elec2,xgb,MechanismSelector,25.57808783502121,14.470794142796066
elec2,xgb,MechanismSelector,27.382849856550845,16.516005771697305
elec2,xgb,MechanismSelector,28.167528996346338,17.40527469003848
elec2,xgb,MechanismSelector,29.187611878080478,17.40527469003848
