dataset,model,attempts,successes,success_rate
elec2,xgb,32,5,0.15625
elec2,rf,162,4,0.024691358024691357
elec2,sgd,143,38,0.26573426573426573
elec2,gnb,39,13,0.3333333333333333
covtype,xgb,81,24,0.2962962962962963
covtype,rf,341,9,0.026392961876832845
covtype,sgd,105,33,0.3142857142857143
covtype,gnb,54,13,0.24074074074074073
insects_abrupt,xgb,6,1,0.16666666666666666
insects_abrupt,rf,18,2,0.1111111111111111
insects_abrupt,sgd,13,7,0.5384615384615384
insects_abrupt,gnb,2,1,0.5
insects_gradual,xgb,5,1,0.2
insects_gradual,rf,23,1,0.043478260869565216
insects_gradual,sgd,9,5,0.5555555555555556
insects_gradual,gnb,5,2,0.4
insects_incremental,xgb,4,1,0.25
insects_incremental,rf,30,1,0.03333333333333333
insects_incremental,sgd,2,1,0.5
insects_incremental,gnb,5,2,0.4
