level,metric,policy,mean_rank,friedman_p,critical_difference
n60,accuracy,AlwaysRebuild,2.65,0.18422073148103912,0.7875057671746496
n60,accuracy,MechanismSelector,3.283333333333333,0.18422073148103912,0.7875057671746496
n60,accuracy,FixedSchedule,2.9583333333333335,0.18422073148103912,0.7875057671746496
n60,accuracy,AlwaysNudge,2.925,0.18422073148103912,0.7875057671746496
n60,accuracy,NeverAdapt,3.183333333333333,0.18422073148103912,0.7875057671746496
n60,cost,AlwaysRebuild,4.783333333333333,2.855019489926825e-43,0.7875057671746496
n60,cost,MechanismSelector,3.7333333333333334,2.855019489926825e-43,0.7875057671746496
n60,cost,FixedSchedule,3.225,2.855019489926825e-43,0.7875057671746496
n60,cost,AlwaysNudge,2.158333333333333,2.855019489926825e-43,0.7875057671746496
n60,cost,NeverAdapt,1.1,2.855019489926825e-43,0.7875057671746496
n20,accuracy,AlwaysRebuild,2.45,0.45115868345154353,1.364
n20,accuracy,MechanismSelector,3.35,0.45115868345154353,1.364
n20,accuracy,FixedSchedule,3.175,0.45115868345154353,1.364
n20,accuracy,AlwaysNudge,2.975,0.45115868345154353,1.364
n20,accuracy,NeverAdapt,3.05,0.45115868345154353,1.364
n20,cost,AlwaysRebuild,4.9,7.306332560529226e-15,1.364
n20,cost,MechanismSelector,3.85,7.306332560529226e-15,1.364
n20,cost,FixedSchedule,3.075,7.306332560529226e-15,1.364
n20,cost,AlwaysNudge,2.175,7.306332560529226e-15,1.364
n20,cost,NeverAdapt,1.0,7.306332560529226e-15,1.364
