model,dataset,seed,trend_gain,trend_prediction_change
xgb,covtype,0,,
xgb,elec2,0,0.09999999999999999,-0.6
xgb,insects_abrupt,0,-0.09999999999999999,0.09999999999999999
xgb,insects_gradual,0,-0.9486832980505139,-0.316227766016838
xgb,insects_incremental,0,1.0,0.5
rf,covtype,0,0.09999999999999999,0.09999999999999999
rf,covtype,1,-0.3,0.09999999999999999
rf,covtype,2,-0.19999999999999998,-0.3
rf,covtype,3,-0.39999999999999997,0.3
rf,covtype,4,-0.09999999999999999,-0.09999999999999999
rf,elec2,0,0.3,-0.3
rf,elec2,1,0.19999999999999998,-0.09999999999999999
rf,elec2,2,0.09999999999999999,0.0
rf,elec2,3,0.19999999999999998,-0.7
rf,elec2,4,-0.8999999999999998,-0.6
rf,insects_abrupt,0,-0.6000000000000001,-0.39999999999999997
rf,insects_abrupt,1,-0.6668859288553501,-0.19999999999999998
rf,insects_abrupt,2,0.35909242322980395,-0.3
rf,insects_abrupt,3,-0.19999999999999998,-0.7745966692414834
rf,insects_abrupt,4,0.8720815992723809,-0.49999999999999994
rf,insects_gradual,0,-0.8660254037844387,0.8660254037844387
rf,insects_gradual,1,0.0,0.8660254037844387
rf,insects_gradual,2,-0.8660254037844387,0.8660254037844387
rf,insects_gradual,3,0.8660254037844387,-0.8660254037844387
rf,insects_gradual,4,0.8660254037844387,-0.8660254037844387
rf,insects_incremental,0,,
rf,insects_incremental,1,,
rf,insects_incremental,2,,
rf,insects_incremental,3,,
rf,insects_incremental,4,,
gnb,covtype,0,0.3,-0.09999999999999999
gnb,elec2,0,0.3,0.49999999999999994
gnb,insects_abrupt,0,-0.6,-0.6
gnb,insects_gradual,0,-0.316227766016838,0.316227766016838
gnb,insects_incremental,0,,
sgd,covtype,0,0.7999999999999999,0.3
sgd,covtype,1,0.7,0.3
sgd,covtype,2,0.49999999999999994,0.0
sgd,covtype,3,0.3,0.19999999999999998
sgd,covtype,4,0.19999999999999998,-0.7999999999999999
sgd,elec2,0,0.8999999999999998,-0.6
sgd,elec2,1,0.6,-0.3
sgd,elec2,2,-0.7,-0.19999999999999998
sgd,elec2,3,0.49999999999999994,-0.7999999999999999
sgd,elec2,4,-0.7,-0.09999999999999999
sgd,insects_abrupt,0,-0.3,-0.09999999999999999
sgd,insects_abrupt,1,0.39999999999999997,0.6000000000000001
sgd,insects_abrupt,2,-0.39999999999999997,0.39999999999999997
sgd,insects_abrupt,3,0.39999999999999997,0.7999999999999999
sgd,insects_abrupt,4,0.49999999999999994,-0.051298917604257706
sgd,insects_gradual,0,-0.316227766016838,-0.316227766016838
sgd,insects_gradual,1,0.9486832980505139,-0.7378647873726218
sgd,insects_gradual,2,-0.8660254037844387,0.8660254037844387
sgd,insects_gradual,3,0.8660254037844387,0.8660254037844387
sgd,insects_gradual,4,-0.316227766016838,-0.316227766016838
sgd,insects_incremental,0,,
sgd,insects_incremental,1,,
sgd,insects_incremental,2,,
sgd,insects_incremental,3,,
sgd,insects_incremental,4,,
