policy,cell,never_minus_policy_pp,seed_min_pp,seed_max_pp,never_better_in_seeds,n_seeds,never_adapt_dominates,robust_dominance
AlwaysRebuild,covtype/gnb,10.79962009222642,,,,1,True,True
AlwaysRebuild,covtype/rf,17.883054847460663,13.855634653264303,23.13840977088425,5.0,5,True,True
AlwaysRebuild,covtype/sgd,10.217171117171251,-4.72453857963821,27.543415947533727,4.0,5,True,True
AlwaysRebuild,covtype/xgb,15.684478174274304,,,,1,True,True
AlwaysRebuild,elec2/gnb,-20.055908388710428,,,,1,False,False
AlwaysRebuild,elec2/rf,-2.5693337583678613,-3.3814766680561945,-2.1137294328241154,0.0,5,False,False
AlwaysRebuild,elec2/sgd,1.52914347367647,-2.5894411613251194,6.078811211103208,3.0,5,True,False
AlwaysRebuild,elec2/xgb,-3.5138912728967,,,,1,False,False
AlwaysRebuild,insects_abrupt/gnb,-8.220157782054855,,,,1,False,False
AlwaysRebuild,insects_abrupt/rf,-0.22944529742576236,-1.537952845305064,2.765339915502352,1.0,5,False,False
AlwaysRebuild,insects_abrupt/sgd,1.020604578686406,-5.47601339262809,9.4947751551626,3.0,5,True,False
AlwaysRebuild,insects_abrupt/xgb,0.8102072866697441,,,,1,True,False
AlwaysRebuild,insects_gradual/gnb,-20.646930051946583,,,,1,False,False
AlwaysRebuild,insects_gradual/rf,-20.528347555651006,-20.815974698209356,-20.212988562855006,0.0,5,False,False
AlwaysRebuild,insects_gradual/sgd,1.037724554203308,-1.2042738402792459,3.8602772377103065,4.0,5,True,True
AlwaysRebuild,insects_gradual/xgb,-20.321271473583202,,,,1,False,False
AlwaysRebuild,insects_incremental/gnb,-34.254214267611566,,,,1,False,False
AlwaysRebuild,insects_incremental/rf,-41.07911422716625,-42.4348390900589,-38.60039888692574,0.0,5,False,False
AlwaysRebuild,insects_incremental/sgd,0.4875538848202936,-0.11043076888952186,2.548200192990972,1.0,5,True,False
AlwaysRebuild,insects_incremental/xgb,-38.07401581274428,,,,1,False,False
FixedSchedule,covtype/gnb,7.0461280111192295,,,,1,True,True
FixedSchedule,covtype/rf,-0.26984173656246924,-1.3433321553316233,0.3216527614207081,2.0,5,False,False
FixedSchedule,covtype/sgd,5.841330111662899,-0.5685928474974631,17.99333747036429,3.0,5,True,False
FixedSchedule,covtype/xgb,36.51848533472967,,,,1,True,True
FixedSchedule,elec2/gnb,-20.87982148549569,,,,1,False,False
FixedSchedule,elec2/rf,-3.0739805301488445,-4.406463794414066,-1.5742625242147028,0.0,5,False,False
FixedSchedule,elec2/sgd,3.1568622642897566,-0.7037591035040833,7.437286971874158,4.0,5,True,True
FixedSchedule,elec2/xgb,-2.908217061867049,,,,1,False,False
FixedSchedule,insects_abrupt/gnb,7.505108317611551,,,,1,True,True
