dataset,model,policy,cost_pct_of_rebuild,cost_pct_sd,accuracy,accuracy_sd,on_frontier
covtype,gnb,AlwaysRebuild,100.0,,54.29672256970727,,False
covtype,gnb,MechanismSelector,95.61022603094266,,51.72651993956088,,False
covtype,gnb,FixedSchedule,83.29067694254329,,58.05021465081446,,False
covtype,gnb,AlwaysNudge,88.63662506470351,,63.74305774630642,,False
covtype,gnb,NeverAdapt,0.0,,65.09634266193369,,True
covtype,rf,AlwaysRebuild,100.0,2.8172702174748494,63.23971109396623,3.3703020484140316,False
covtype,rf,MechanismSelector,79.92725353949771,11.801098505629845,69.90674180335955,10.539171497994383,False
covtype,rf,FixedSchedule,27.62305238693765,1.4258168005328242,81.39260767798936,0.7385689469070739,True
covtype,rf,AlwaysNudge,4.710526003747006,0.06958115036495668,76.2548980501559,0.7701892392437164,False
covtype,rf,NeverAdapt,0.0,0.0,81.12276594142689,0.3474325847518515,True
covtype,sgd,AlwaysRebuild,100.0,18.647456655449563,30.355109170357604,6.167019786247747,False
covtype,sgd,MechanismSelector,37.75743857478318,22.538223371866543,34.75446073330748,7.415107965504829,False
covtype,sgd,FixedSchedule,40.81637489534248,2.1230813224075185,34.73095017586596,3.2344739005760834,False
covtype,sgd,AlwaysNudge,0.09348182973437731,0.008634643286942538,39.35489068110413,8.614849557642225,False
covtype,sgd,NeverAdapt,0.0,0.0,40.572280287528855,9.523251609594304,True
covtype,xgb,AlwaysRebuild,100.0,,64.67111621569704,,False
covtype,xgb,MechanismSelector,68.36757617233992,,52.14320845210272,,False
covtype,xgb,FixedSchedule,2.074059747679124,,43.837109055241676,,False
covtype,xgb,AlwaysNudge,3.990047012616044,,77.34124275051335,,False
covtype,xgb,NeverAdapt,0.0,,80.35559438997134,,True
elec2,gnb,AlwaysRebuild,100.0,,68.10524508962507,,False
elec2,gnb,MechanismSelector,97.56685070910468,,67.2690713812805,,False
elec2,gnb,FixedSchedule,91.94002381725669,,68.92915818641033,,False
elec2,gnb,AlwaysNudge,84.64328245101224,,70.51077707756063,,True
elec2,gnb,NeverAdapt,0.0,,48.049336700914644,,True
elec2,rf,AlwaysRebuild,100.0,3.184811649500802,73.61712562222604,0.7702111887802663,False
elec2,rf,MechanismSelector,59.80066473399316,9.696180501565653,71.88886981682647,1.5514223435111558,False
elec2,rf,FixedSchedule,36.25039634905895,1.4954843785534915,74.12177239400702,0.8002969917018985,False
elec2,rf,AlwaysNudge,4.188277127262021,0.07514303866938113,74.33167406390231,0.4742666999574266,True
elec2,rf,NeverAdapt,0.0,0.0,71.04779186385818,0.27962796969468395,True
elec2,sgd,AlwaysRebuild,100.0,12.995844812951095,64.52024226968442,1.3036564770443688,False
elec2,sgd,MechanismSelector,47.81453348068471,6.55331578228877,63.094578357568466,2.731001948015685,False
elec2,sgd,FixedSchedule,33.9121948589803,5.102295657433729,62.89252347907113,0.8773586033860812,False
elec2,sgd,AlwaysNudge,1.3679517894630027,0.07198483033843518,69.7672935926044,0.44301849862032666,True
elec2,sgd,NeverAdapt,0.0,0.0,66.04938574336089,2.231129214211956,True
elec2,xgb,AlwaysRebuild,100.0,,74.20367327922317,,True
elec2,xgb,MechanismSelector,54.81763039760582,,71.26112650499007,,False
elec2,xgb,FixedSchedule,27.591786019666525,,73.59799906819352,,True
elec2,xgb,AlwaysNudge,3.3199283882000854,,72.19783722812095,,True
elec2,xgb,NeverAdapt,0.0,,70.68978200632647,,True
insects_abrupt,gnb,AlwaysRebuild,100.0,,57.33682680547112,,True
insects_abrupt,gnb,MechanismSelector,29.07075873827792,,40.23382415452221,,False
insects_abrupt,gnb,FixedSchedule,96.82438192668371,,41.61156070580471,,False
insects_abrupt,gnb,AlwaysNudge,59.67604433077579,,48.71829724764514,,False
insects_abrupt,gnb,NeverAdapt,0.0,,49.116669023416264,,True
insects_abrupt,rf,AlwaysRebuild,100.0,3.057357028137199,56.64421735404587,1.7679635206308895,True
insects_abrupt,rf,MechanismSelector,35.971696560803025,22.969217594550763,50.90066807887193,1.376427737433839,False
insects_abrupt,rf,FixedSchedule,24.594372223136418,0.21942021788097044,40.13670492407028,0.5709127255570711,False
insects_abrupt,rf,AlwaysNudge,3.254586967253579,0.22532604801101125,56.21244575033188,0.12905614137875313,False
insects_abrupt,rf,NeverAdapt,0.0,0.0,56.41477205662011,0.09293838473404957,True
insects_abrupt,sgd,AlwaysRebuild,100.0,31.571707303578297,19.95844248834392,4.152205657617189,False
insects_abrupt,sgd,MechanismSelector,3.9883166840383484,2.936369132669866,19.806540390247214,1.620420931959523,False
insects_abrupt,sgd,FixedSchedule,21.666501119699486,26.157338754496884,19.512823578791313,2.6921922962272102,False
insects_abrupt,sgd,AlwaysNudge,0.2359431275219038,0.017904731413803283,19.533195127641957,2.166171015799996,False
insects_abrupt,sgd,NeverAdapt,0.0,0.0,20.979047067030326,2.2094395440340984,True
insects_abrupt,xgb,AlwaysRebuild,100.0,,56.08586746253009,,False
insects_abrupt,xgb,MechanismSelector,52.952777777777776,,45.39220111710304,,False
insects_abrupt,xgb,FixedSchedule,36.15611111111111,,49.52741244646035,,False
insects_abrupt,xgb,AlwaysNudge,4.444444444444445,,50.311379493912476,,False
insects_abrupt,xgb,NeverAdapt,0.0,,56.89607474919983,,True
insects_gradual,gnb,AlwaysRebuild,100.0,,54.828003264113136,,True
insects_gradual,gnb,MechanismSelector,119.21985815602837,,53.83971044467268,,False
insects_gradual,gnb,FixedSchedule,86.63120567375887,,49.8109841843976,,True
insects_gradual,gnb,AlwaysNudge,75.90425531914893,,44.364042375877794,,True
insects_gradual,gnb,NeverAdapt,0.0,,34.18107321216655,,True
insects_gradual,rf,AlwaysRebuild,100.0,0.7615890660283456,48.69372775102083,0.18336550699702575,True
insects_gradual,rf,MechanismSelector,72.22711010514018,15.889360970514483,44.88181032769554,3.53659044694167,True
insects_gradual,rf,FixedSchedule,38.75657126168224,0.010612180091812438,29.218720223477977,0.3480239628305609,True
insects_gradual,rf,AlwaysNudge,3.899678738317757,0.010612180091814225,28.093763376232253,0.23337167331887423,False
insects_gradual,rf,NeverAdapt,0.0,0.0,28.165380195369824,0.24016124695377208,True
insects_gradual,sgd,AlwaysRebuild,100.0,22.749200399417376,19.521196568362278,2.2502227061511966,False
insects_gradual,sgd,MechanismSelector,7.769875403200303,10.202186018995747,19.552143345308227,3.1402326409411345,False
insects_gradual,sgd,FixedSchedule,33.65042059325786,1.8021380411632797,23.364236979242822,5.5275610306095535,True
insects_gradual,sgd,AlwaysNudge,0.12730377585225475,0.005345484398123023,21.58842005831296,3.508828173737574,True
insects_gradual,sgd,NeverAdapt,0.0,0.0,20.558921122565586,1.081508084791943,True
insects_gradual,xgb,AlwaysRebuild,100.0,,50.92618247809012,,True
insects_gradual,xgb,MechanismSelector,68.92917798913044,,39.67950636678477,,False
insects_gradual,xgb,FixedSchedule,36.74422554347826,,43.52276381149092,,True
insects_gradual,xgb,AlwaysNudge,3.3721127717391304,,29.5254943738491,,False
insects_gradual,xgb,NeverAdapt,0.0,,30.604911004506917,,True
insects_incremental,gnb,AlwaysRebuild,100.0,,54.845222439592824,,True
insects_incremental,gnb,MechanismSelector,140.0,,54.204232760415984,,False
insects_incremental,gnb,FixedSchedule,84.0,,52.756519113796905,,True
insects_incremental,gnb,AlwaysNudge,64.0,,33.10340357140152,,True
insects_incremental,gnb,NeverAdapt,0.0,,20.591008171981258,,True
insects_incremental,rf,AlwaysRebuild,100.0,13.551927136362366,62.32306780925667,1.4536627536025424,True
insects_incremental,rf,MechanismSelector,91.51515151515152,17.152692967375643,61.75057334981163,1.319497372414009,True
insects_incremental,rf,FixedSchedule,16.96969696969697,0.0,40.62214401412581,0.15006909909422833,True
insects_incremental,rf,AlwaysNudge,2.4242424242424243,0.0,23.82194067485836,0.4163767918420061,True
insects_incremental,rf,NeverAdapt,0.0,0.0,21.24395358209042,0.24025227415425446,True
insects_incremental,sgd,AlwaysRebuild,100.0,143.137256844271,19.93297147003556,3.7165449241922803,False
insects_incremental,sgd,MechanismSelector,62.54716981132076,138.80737887463434,20.4705134636163,3.7300314893720845,True
insects_incremental,sgd,FixedSchedule,0.7547169811320755,1.0334387877455964,20.251625683980215,3.4862981597822547,False
insects_incremental,sgd,AlwaysNudge,0.7547169811320755,1.0334387877455964,20.251625683980215,3.4862981597822547,False
insects_incremental,sgd,NeverAdapt,0.0,0.0,20.420525354855855,4.5315582261102385,True
insects_incremental,xgb,AlwaysRebuild,100.0,,60.08576287377034,,True
insects_incremental,xgb,MechanismSelector,63.2,,57.73367887668904,,True
insects_incremental,xgb,FixedSchedule,23.2,,57.53476579238944,,True
insects_incremental,xgb,AlwaysNudge,4.0,,53.15446396888341,,True
insects_incremental,xgb,NeverAdapt,0.0,,22.011747061026064,,True
