dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,gnb,always_nudge,1,0,10607,10607,0,608,NUDGE,False,0.5615240425974953,False,nan,0.45848789966437026,0.4783607136548313,0.4783607136548313,486,1,0,486,486,763,params,False,0,1,0.10303614293312507,0.22950819672131148
covtype,gnb,always_nudge,1,1,11215,11215,0,608,NUDGE,False,0.522288089579606,False,nan,0.5942528735632184,0.5942528735632184,0.5942528735632184,486,1,0,486,972,763,params,False,0,2,-0.07196478398361239,0.0
covtype,gnb,always_nudge,1,2,11823,11823,0,608,NUDGE,False,0.5150384322009037,False,nan,0.5565656565656566,0.5565656565656566,0.5565656565656566,486,1,0,486,1458,763,params,False,0,3,-0.04152722436475287,0.0
covtype,gnb,always_nudge,1,3,12783,12783,0,960,NUDGE,False,0.6356691678486276,False,nan,0.4549050389386524,0.4439160279496414,0.4439160279496414,768,1,0,768,2226,763,params,False,0,4,0.18076412890997517,0.015625
covtype,gnb,always_nudge,1,4,13327,13327,0,544,NUDGE,False,0.5254929942916451,False,nan,0.45554773633591367,0.45554773633591367,0.45554773633591367,435,1,0,435,2661,763,params,False,0,5,0.06994525795573142,0.0
covtype,gnb,always_nudge,1,5,13839,13839,0,512,NUDGE,False,0.48005966600687094,False,nan,0.508470695970696,0.5640262515262515,0.5640262515262515,409,1,0,409,3070,763,params,False,0,6,-0.028411029963825107,0.06796116504854369
covtype,gnb,always_nudge,1,6,14831,14831,0,992,NUDGE,False,0.6179593554593554,False,nan,0.658115468409586,0.6570261437908498,0.6570261437908498,793,1,0,793,3863,763,params,False,0,7,-0.04015611295023058,0.09045226130653267
covtype,gnb,always_nudge,1,7,15247,15247,0,416,NUDGE,False,0.5970271274619101,False,nan,0.5,0.5,0.5,332,1,0,332,4195,763,params,False,0,8,0.09702712746191011,0.0
covtype,gnb,always_nudge,1,8,15919,15919,0,672,NUDGE,False,0.5863095238095238,False,nan,0.3785310734463277,0.32970137207425343,0.32970137207425343,537,1,0,537,4732,763,params,False,0,9,0.20777845036319614,0.6074074074074074
covtype,gnb,always_nudge,1,9,17391,17391,0,1000,NUDGE,False,0.20196078431372547,False,nan,0.48971193415637854,0.588477366255144,0.588477366255144,800,1,0,800,5532,763,params,False,0,10,-0.28775114984265304,0.165
covtype,gnb,always_nudge,1,10,18703,18703,0,1000,NUDGE,False,0.5536022838254075,False,nan,0.5247940558875787,0.6439993539008237,0.6439993539008237,800,1,0,800,6332,763,params,False,0,11,0.02880822793782889,0.27
covtype,gnb,always_nudge,1,11,18927,18927,0,224,NUDGE,False,0.6288961038961038,False,nan,1.0,1.0,1.0,179,1,0,179,6511,763,params,False,0,12,-0.37110389610389616,0.0
covtype,gnb,always_nudge,1,12,19055,19055,0,128,NUDGE,False,0.6288961038961038,True,nan,0.7307692307692307,0.7307692307692307,0.7307692307692307,102,1,0,102,6613,763,params,False,0,13,-0.10187312687312688,0.0
covtype,gnb,always_nudge,1,13,19215,19215,0,160,NUDGE,False,0.6288961038961038,True,nan,0.5384615384615384,0.5384615384615384,0.5384615384615384,128,1,0,128,6741,763,params,False,0,14,0.0904345654345654,0.0
covtype,gnb,always_nudge,1,14,19439,19439,0,224,NUDGE,False,0.6458739441195581,False,nan,0.45320855614973266,0.482620320855615,0.482620320855615,179,1,0,179,6920,763,params,False,0,15,0.19266538796982546,0.044444444444444446
covtype,gnb,always_nudge,1,15,19663,19663,0,224,NUDGE,False,0.6702380952380952,False,nan,0.47836538461538464,0.47836538461538464,0.47836538461538464,179,1,0,179,7099,763,params,False,0,16,0.19187271062271055,0.0
covtype,gnb,always_nudge,1,16,19791,19791,0,128,NUDGE,False,0.6702380952380952,True,nan,0.5,0.5,0.5,102,1,0,102,7201,763,params,False,0,17,0.1702380952380952,0.0
covtype,gnb,always_nudge,1,17,20655,20655,0,864,NUDGE,False,0.5219702338766832,False,nan,0.540948275862069,0.540948275862069,0.540948275862069,691,1,0,691,7892,763,params,False,0,18,-0.018978041985385774,0.011560693641618497
covtype,gnb,always_nudge,1,18,20911,20911,0,256,NUDGE,False,0.5494273658830621,False,nan,0.8846153846153846,0.8846153846153846,0.8846153846153846,204,1,0,204,8096,763,params,False,0,19,-0.3351880187323225,0.0
covtype,gnb,always_nudge,1,19,21487,21487,0,576,NUDGE,False,0.546078431372549,False,nan,0.4447463768115942,0.45018115942028986,0.45018115942028986,460,1,0,460,8556,763,params,False,0,20,0.10133205456095479,0.008620689655172414
covtype,gnb,always_nudge,1,20,21743,21743,0,256,NUDGE,False,0.5945165945165944,False,nan,0.5735294117647058,0.5735294117647058,0.5735294117647058,204,1,0,204,8760,763,params,False,0,21,0.0209871827518886,0.0
covtype,gnb,always_nudge,1,21,22927,22927,0,1000,NUDGE,False,0.7157894736842105,False,nan,0.43125442948263637,0.46137491141034725,0.46137491141034725,800,1,0,800,9560,763,params,False,0,22,0.28453504420157416,0.05
covtype,gnb,always_nudge,1,22,23599,23599,0,672,NUDGE,False,0.4123931623931624,False,nan,0.35714285714285715,0.47478991596638653,0.47478991596638653,537,1,0,537,10097,763,params,False,0,23,0.055250305250305276,0.2074074074074074
covtype,gnb,always_nudge,1,23,23791,23791,0,192,NUDGE,False,0.4123931623931624,True,nan,1.0,1.0,1.0,153,1,0,153,10250,763,params,False,0,24,-0.5876068376068375,0.0
covtype,gnb,always_nudge,1,24,23887,23891,4,100,NUDGE,False,0.4123931623931624,True,nan,0.20588235294117646,0.20588235294117646,0.20588235294117646,80,1,0,80,10330,763,params,False,0,25,0.20651080945198597,0.0
covtype,gnb,always_nudge,1,25,24079,24079,0,188,NUDGE,False,0.4123931623931624,True,nan,1.0,1.0,1.0,150,1,0,150,10480,763,params,False,0,26,-0.5876068376068375,0.0
covtype,gnb,always_nudge,1,26,24175,24179,4,100,NUDGE,False,0.4123931623931624,True,nan,0.0,0.0,0.0,80,1,0,80,10560,763,params,False,0,27,0.4123931623931624,0.0
covtype,gnb,always_nudge,1,27,24367,24367,0,188,NUDGE,False,0.4123931623931624,True,nan,1.0,1.0,1.0,150,1,0,150,10710,763,params,False,0,28,-0.5876068376068375,0.0
covtype,gnb,always_nudge,1,28,24463,24467,4,100,NUDGE,False,0.4123931623931624,True,nan,0.2,0.2,0.2,80,1,0,80,10790,763,params,False,0,29,0.21239316239316242,0.0
covtype,gnb,always_nudge,1,29,24559,24567,8,100,NUDGE,False,0.4123931623931624,True,nan,0.5,0.5,0.5,80,1,0,80,10870,763,params,False,0,30,-0.08760683760683757,0.0
covtype,gnb,always_nudge,1,30,24751,24751,0,184,NUDGE,False,0.4123931623931624,True,nan,0.25,0.25,0.25,147,1,0,147,11017,763,params,False,0,31,0.16239316239316243,0.0
covtype,gnb,always_nudge,1,31,24847,24851,4,100,NUDGE,False,0.4123931623931624,True,nan,0.5,0.5,0.5,80,1,0,80,11097,763,params,False,0,32,-0.08760683760683757,0.0
covtype,gnb,always_nudge,1,32,25007,25007,0,156,NUDGE,False,0.4123931623931624,True,nan,0.6052631578947368,0.6052631578947368,0.6052631578947368,124,1,0,124,11221,763,params,False,0,33,-0.1928699955015744,0.0
covtype,gnb,always_nudge,1,33,25135,25135,0,128,NUDGE,False,0.4123931623931624,True,nan,0.5,0.5,0.5,102,1,0,102,11323,763,params,False,0,34,-0.08760683760683757,0.0
covtype,gnb,always_nudge,1,34,25423,25423,0,288,NUDGE,False,0.625,False,nan,0.5047619047619047,0.48809523809523814,0.48809523809523814,230,1,0,230,11553,763,params,False,0,35,0.12023809523809526,0.017241379310344827
covtype,gnb,always_nudge,1,35,25711,25711,0,288,NUDGE,False,0.6694444444444445,False,nan,0.4952380952380952,0.4952380952380952,0.4952380952380952,230,1,0,230,11783,763,params,False,0,36,0.1742063492063493,0.0
covtype,gnb,always_nudge,1,36,25871,25871,0,160,NUDGE,False,0.6694444444444445,True,nan,0.6031746031746031,0.6031746031746031,0.6031746031746031,128,1,0,128,11911,763,params,False,0,37,0.06626984126984137,0.0
covtype,gnb,always_nudge,1,37,26159,26159,0,288,NUDGE,False,0.5625133804324556,False,nan,0.4776315789473684,0.4907894736842105,0.4907894736842105,230,1,0,230,12141,763,params,False,0,38,0.08488180148508717,0.017241379310344827
covtype,gnb,always_nudge,1,38,26479,26479,0,320,NUDGE,False,0.5538428602012417,False,nan,0.3953216374269006,0.4064327485380117,0.4064327485380117,256,1,0,256,12397,763,params,False,0,39,0.15852122277434116,0.015625
covtype,gnb,always_nudge,1,39,26767,26767,0,288,NUDGE,False,0.5952696728558797,False,nan,0.38636363636363635,0.3977272727272727,0.3977272727272727,230,1,0,230,12627,763,params,False,0,40,0.20890603649224337,0.017241379310344827
covtype,gnb,always_nudge,1,40,26991,26991,0,224,NUDGE,False,0.5948007702562583,False,nan,1.0,1.0,1.0,179,1,0,179,12806,763,params,False,0,41,-0.4051992297437417,0.0
covtype,gnb,always_nudge,1,41,27087,27091,4,100,NUDGE,False,0.5948007702562583,True,nan,0.13636363636363635,0.13636363636363635,0.13636363636363635,80,1,0,80,12886,763,params,False,0,42,0.458437133892622,0.0
covtype,gnb,always_nudge,1,42,27375,27375,0,284,NUDGE,False,0.5603459927017165,False,nan,1.0,1.0,1.0,227,1,0,227,13113,763,params,False,0,43,-0.4396540072982835,0.0
covtype,gnb,always_nudge,1,43,27727,27727,0,352,NUDGE,False,0.48333333333333334,False,nan,1.0,1.0,1.0,281,1,0,281,13394,763,params,False,0,44,-0.5166666666666666,0.0
covtype,gnb,always_nudge,1,44,27823,27827,4,100,NUDGE,False,0.48333333333333334,True,nan,0.2,0.2,0.2,80,1,0,80,13474,763,params,False,0,45,0.2833333333333333,0.0
covtype,gnb,always_nudge,1,45,28111,28111,0,284,NUDGE,False,0.5416666666666667,False,nan,1.0,1.0,1.0,227,1,0,227,13701,763,params,False,0,46,-0.45833333333333326,0.0
covtype,gnb,always_nudge,1,46,28463,28463,0,352,NUDGE,False,0.5049376299376299,False,nan,0.9859154929577465,0.9859154929577465,0.9859154929577465,281,1,0,281,13982,763,params,False,0,47,-0.4809778630201166,0.0
