dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,gnb,always_rebuild,1,0,10607,10607,0,608,REBUILD,False,0.5615240425974953,False,nan,0.45848789966437026,,0.6455573220279103,608,1,0,608,608,763,params,True,3,0,0.10303614293312507,
covtype,gnb,always_rebuild,1,1,10959,10959,0,352,REBUILD,False,0.3302469135802469,False,nan,0.0,,0.7291304347826086,352,1,0,352,960,763,params,True,1,0,0.3302469135802469,
covtype,gnb,always_rebuild,1,2,11375,11375,0,416,REBUILD,False,0.5492063492063491,False,nan,0.5599999999999999,,0.8676923076923077,416,1,0,416,1376,763,params,True,2,0,-0.0107936507936508,
covtype,gnb,always_rebuild,1,3,11791,11791,0,416,REBUILD,False,0.27285681714546284,False,nan,0.3333333333333333,,0.6515594541910331,416,1,0,416,1792,763,params,True,4,0,-0.06047651618787048,
covtype,gnb,always_rebuild,1,4,12047,12047,0,256,REBUILD,False,0.3483882783882784,False,nan,0.2261904761904762,,0.8214285714285714,256,1,0,256,2048,763,params,False,0,0,0.12219780219780221,
covtype,gnb,always_rebuild,1,5,12527,12527,0,480,REBUILD,False,0.5058897243107768,False,nan,0.4252797893350889,,0.7697647974145669,480,1,0,480,2528,763,params,False,0,0,0.08060993497568791,
covtype,gnb,always_rebuild,1,6,13231,13231,0,704,REBUILD,False,0.7325325345449184,False,nan,0.49778173895820954,,0.6642998613586849,704,1,0,704,3232,763,params,False,0,0,0.23475079558670886,
covtype,gnb,always_rebuild,1,7,14991,14991,0,1000,REBUILD,False,0.576988036593948,False,nan,0.4231837606837607,,0.7577136752136752,1000,1,0,1000,4232,763,params,True,1,0,0.15380427591018736,
covtype,gnb,always_rebuild,1,8,15343,15343,0,352,REBUILD,False,0.6179686277577844,False,nan,0.12727272727272726,,0.990909090909091,352,1,0,352,4584,763,params,True,3,0,0.4906959004850571,
covtype,gnb,always_rebuild,1,9,16495,16495,0,1000,REBUILD,False,0.8942857142857144,False,nan,0.3270042194092827,,0.7952180028129395,1000,1,0,1000,5584,763,params,True,4,0,0.5672814948764316,
covtype,gnb,always_rebuild,1,10,17071,17071,0,576,REBUILD,False,0.7199752628324058,False,nan,0.28273809523809523,,0.4916666666666667,576,1,0,576,6160,763,params,True,4,0,0.4372371675943105,
covtype,gnb,always_rebuild,1,11,17263,17263,0,192,REBUILD,False,0.7199752628324058,True,nan,0.546875,,0.90625,192,1,0,192,6352,763,params,True,4,0,0.17310026283240576,
covtype,gnb,always_rebuild,1,12,18095,18095,0,832,REBUILD,False,0.8891518293141011,False,nan,0.6285296574770259,,0.9421470342522974,832,1,0,832,7184,763,params,True,4,0,0.26062217183707515,
covtype,gnb,always_rebuild,1,13,18287,18287,0,192,REBUILD,False,0.8891518293141011,True,nan,0.9736842105263157,,0.47368421052631576,192,1,0,192,7376,763,params,True,4,0,-0.08453238121221462,
covtype,gnb,always_rebuild,1,14,18479,18479,0,192,REBUILD,False,0.8891518293141011,True,nan,1.0,,1.0,192,1,0,192,7568,763,params,True,4,0,-0.11084817068589892,
covtype,gnb,always_rebuild,1,15,19247,19247,0,768,REBUILD,False,0.9328859060402684,False,nan,0.8176470588235294,,0.9058823529411765,768,1,0,768,8336,763,params,True,4,0,0.11523884721673905,
covtype,gnb,always_rebuild,1,16,19791,19791,0,544,REBUILD,False,0.8658008658008658,False,nan,0.47093023255813954,,0.9608190091001012,544,1,0,544,8880,763,params,True,4,0,0.39487063324272625,
covtype,gnb,always_rebuild,1,17,23151,23151,0,1000,REBUILD,False,0.8003189227498229,False,nan,0.5927960927960928,,0.5735653235653235,1000,1,0,1000,9880,763,params,True,5,0,0.20752282995373006,
covtype,gnb,always_rebuild,1,18,23503,23503,0,352,REBUILD,False,0.6724941724941724,False,nan,0.5865384615384616,,0.7788461538461539,352,1,0,352,10232,763,params,True,5,0,0.08595571095571086,
covtype,gnb,always_rebuild,1,19,23663,23663,0,160,REBUILD,False,0.6724941724941724,True,nan,0.4166666666666667,,0.5512820512820513,160,1,0,160,10392,763,params,True,5,0,0.25582750582750574,
covtype,gnb,always_rebuild,1,20,23791,23791,0,128,REBUILD,False,0.6724941724941724,True,nan,1.0,,1.0,128,1,0,128,10520,763,params,True,5,0,-0.3275058275058276,
covtype,gnb,always_rebuild,1,21,25007,25007,0,1000,REBUILD,False,0.7815829528158296,False,nan,0.7266522503040951,,0.8932288147046898,1000,1,0,1000,11520,763,params,True,5,0,0.054930702511734486,
covtype,gnb,always_rebuild,1,22,25135,25135,0,128,REBUILD,False,0.7815829528158296,True,nan,0.5,,0.5,128,1,0,128,11648,763,params,True,5,0,0.28158295281582957,
covtype,gnb,always_rebuild,1,23,25231,25235,4,100,REBUILD,False,0.7815829528158296,True,nan,0.95,,1.0,100,1,0,100,11748,763,params,True,6,0,-0.1684170471841704,
covtype,gnb,always_rebuild,1,24,26287,26287,0,1000,REBUILD,False,0.5,False,nan,0.5,,0.8660130718954249,1000,1,0,1000,12748,763,params,True,5,0,0.0,
covtype,gnb,always_rebuild,1,25,26447,26447,0,160,REBUILD,False,0.5,True,nan,0.66,,0.8200000000000001,160,1,0,160,12908,763,params,True,5,0,-0.16000000000000003,
covtype,gnb,always_rebuild,1,26,27119,27119,0,672,REBUILD,False,0.5657894736842105,False,nan,0.6428571428571428,,0.8857142857142857,672,1,0,672,13580,763,params,True,5,0,-0.07706766917293228,
covtype,gnb,always_rebuild,1,27,27247,27247,0,128,REBUILD,False,0.5657894736842105,True,nan,0.8006535947712419,,0.5,128,1,0,128,13708,763,params,True,5,0,-0.23486412108703136,
covtype,gnb,always_rebuild,1,28,27407,27407,0,160,REBUILD,False,0.5657894736842105,True,nan,0.78125,,1.0,160,1,0,160,13868,763,params,True,5,0,-0.2154605263157895,
covtype,gnb,always_rebuild,1,29,27663,27663,0,256,REBUILD,False,0.5,False,nan,1.0,,0.9090909090909092,256,1,0,256,14124,763,params,True,5,0,-0.5,
covtype,gnb,always_rebuild,1,30,27855,27855,0,192,REBUILD,False,0.5,True,nan,0.5171052631578947,,0.5,192,1,0,192,14316,763,params,True,5,0,-0.017105263157894735,
covtype,gnb,always_rebuild,1,31,28079,28079,0,224,REBUILD,False,0.4354978354978355,False,nan,1.0,,1.0,224,1,0,224,14540,763,params,True,5,0,-0.5645021645021645,
covtype,gnb,always_rebuild,1,32,28463,28463,0,384,REBUILD,False,0.4585987261146497,False,nan,0.974025974025974,,1.0,384,1,0,384,14924,763,params,True,5,0,-0.5154272479113243,
covtype,gnb,always_rebuild,1,33,28591,28591,0,128,REBUILD,False,0.4585987261146497,True,nan,0.5,,0.5,128,1,0,128,15052,763,params,True,5,0,-0.04140127388535031,
covtype,gnb,always_rebuild,1,34,28943,28943,0,352,REBUILD,False,0.5789295392953929,False,nan,0.6538461538461539,,0.6538461538461539,352,1,0,352,15404,763,params,True,5,0,-0.07491661455076093,
covtype,gnb,always_rebuild,1,35,29135,29135,0,192,REBUILD,False,0.5789295392953929,True,nan,1.0,,1.0,192,1,0,192,15596,763,params,True,5,0,-0.4210704607046071,
covtype,gnb,always_rebuild,1,36,29295,29295,0,160,REBUILD,False,0.5789295392953929,True,nan,0.3590909090909091,,0.5,160,1,0,160,15756,763,params,True,5,0,0.2198386302044838,
covtype,gnb,always_rebuild,1,37,29615,29615,0,320,REBUILD,False,0.547246510200951,False,nan,1.0,,1.0,320,1,0,320,16076,763,params,True,5,0,-0.45275348979904895,
covtype,gnb,always_rebuild,1,38,29871,29871,0,256,REBUILD,False,0.587248322147651,False,nan,0.875,,0.5,256,1,0,256,16332,763,params,True,5,0,-0.287751677852349,
covtype,gnb,always_rebuild,1,39,30031,30031,0,160,REBUILD,False,0.587248322147651,True,nan,0.5,,0.5,160,1,0,160,16492,763,params,True,5,0,0.08724832214765099,
covtype,gnb,always_rebuild,1,40,30127,30131,4,100,REBUILD,False,0.587248322147651,True,nan,0.5,,0.90625,100,1,0,100,16592,763,params,True,5,0,0.08724832214765099,
covtype,gnb,always_rebuild,1,41,30351,30351,0,220,REBUILD,False,0.5604395604395604,False,nan,0.5,,1.0,220,1,0,220,16812,763,params,True,5,0,0.06043956043956045,
covtype,gnb,always_rebuild,1,42,30607,30607,0,256,REBUILD,False,0.5251798561151079,False,nan,0.9034090909090908,,0.5625,256,1,0,256,17068,763,params,True,5,0,-0.37822923479398296,
covtype,gnb,always_rebuild,1,43,30767,30767,0,160,REBUILD,False,0.5251798561151079,True,nan,0.5,,0.5,160,1,0,160,17228,763,params,True,5,0,0.025179856115107868,
covtype,gnb,always_rebuild,1,44,31055,31055,0,288,REBUILD,False,0.4901315789473684,False,nan,1.0,,1.0,288,1,0,288,17516,763,params,True,5,0,-0.5098684210526316,
covtype,gnb,always_rebuild,1,45,31215,31215,0,160,REBUILD,False,0.4901315789473684,True,nan,0.572463768115942,,0.6086956521739131,160,1,0,160,17676,763,params,True,5,0,-0.0823321891685736,
covtype,gnb,always_rebuild,1,46,31439,31439,0,224,REBUILD,False,0.4619883040935672,False,nan,1.0,,1.0,224,1,0,224,17900,763,params,True,5,0,-0.5380116959064327,
covtype,gnb,always_rebuild,1,47,31535,31539,4,100,REBUILD,False,0.4619883040935672,True,nan,0.5,,0.5,100,1,0,100,18000,763,params,True,5,0,-0.038011695906432774,
covtype,gnb,always_rebuild,1,48,31823,31823,0,284,REBUILD,False,0.4965986394557823,False,nan,1.0,,1.0,284,1,0,284,18284,763,params,True,5,0,-0.5034013605442177,
covtype,gnb,always_rebuild,1,49,31951,31951,0,128,REBUILD,False,0.4965986394557823,True,nan,0.6666666666666666,,0.5,128,1,0,128,18412,763,params,True,5,0,-0.17006802721088432,
covtype,gnb,always_rebuild,1,50,32175,32175,0,224,REBUILD,False,0.47019867549668876,False,nan,1.0,,1.0,224,1,0,224,18636,763,params,True,5,0,-0.5298013245033113,
covtype,gnb,always_rebuild,1,51,32303,32303,0,128,REBUILD,False,0.47019867549668876,True,nan,0.5,,0.5,128,1,0,128,18764,763,params,True,5,0,-0.029801324503311244,
covtype,gnb,always_rebuild,1,52,32399,32403,4,100,REBUILD,False,0.47019867549668876,True,nan,1.0,,0.95,100,1,0,100,18864,763,params,True,5,0,-0.5298013245033113,
covtype,gnb,always_rebuild,1,53,32559,32559,0,156,REBUILD,False,0.47019867549668876,True,nan,1.0,,1.0,156,1,0,156,19020,763,params,True,5,0,-0.5298013245033113,
covtype,gnb,always_rebuild,1,54,32719,32719,0,160,REBUILD,False,0.47019867549668876,True,nan,0.5,,0.5,160,1,0,160,19180,763,params,True,5,0,-0.029801324503311244,
covtype,gnb,always_rebuild,1,55,32975,32975,0,256,REBUILD,False,0.5566666666666666,False,nan,1.0,,1.0,256,1,0,256,19436,763,params,True,5,0,-0.44333333333333336,
covtype,gnb,always_rebuild,1,56,33103,33103,0,128,REBUILD,False,0.5566666666666666,True,nan,0.4166666666666667,,0.5,128,1,0,128,19564,763,params,True,5,0,0.13999999999999996,
