dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,gnb,mechanism_selector,4,0,10607,10607,0,608,REBUILD,False,0.5615240425974953,False,0.5415240425974953,0.45848789966437026,0.4783607136548313,0.6455573220279103,1094,2,0,1094,1094,763,params,True,3,0,0.10303614293312507,0.22950819672131148
covtype,gnb,mechanism_selector,4,1,10959,10959,0,352,NUDGE,False,0.3302469135802469,False,0.31024691358024686,0.0,0.6765217391304348,0.6765217391304348,281,1,0,281,1375,763,params,False,0,1,0.3302469135802469,1.0
covtype,gnb,mechanism_selector,4,2,11407,11407,0,448,SKIP,False,0.5198156682027649,False,0.4998156682027649,0.5416666666666666,,0.5416666666666666,0,0,0,0,1375,763,params,False,0,1,-0.021850998463901705,
covtype,gnb,mechanism_selector,4,3,11887,11887,0,480,NUDGE,False,0.3813186813186813,False,0.3613186813186813,0.1267162471395881,0.417990308251447,0.417990308251447,384,1,0,384,1759,763,params,False,0,2,0.25460243417909323,0.8854166666666666
covtype,gnb,mechanism_selector,4,4,12367,12367,0,480,NUDGE,False,0.2615415574599248,False,0.2415415574599248,0.12925170068027209,0.31675303350180195,0.31675303350180195,384,1,0,384,2143,763,params,False,0,3,0.13228985677965271,0.8020833333333334
covtype,gnb,mechanism_selector,4,5,13807,13807,0,1000,SKIP,False,0.3415360501567398,False,0.3215360501567398,0.35488176291633994,,0.35488176291633994,0,0,0,0,2143,763,params,False,0,3,-0.013345712759600115,
covtype,gnb,mechanism_selector,4,6,14543,14543,0,736,SKIP,False,0.3712629216137988,False,0.3512629216137988,0.44468416636701424,,0.44468416636701424,0,0,0,0,2143,763,params,False,0,3,-0.07342124475321543,
covtype,gnb,mechanism_selector,4,7,14927,14927,0,384,REBUILD,False,0.6525193798449612,False,0.6325193798449612,0.5089285714285715,0.5172619047619048,0.7303571428571429,691,2,0,691,2834,763,params,True,1,0,0.14359080841638971,0.012987012987012988
covtype,gnb,mechanism_selector,4,8,15183,15183,0,256,REBUILD,False,0.6609848484848485,False,0.6409848484848485,0.5,0.5,0.7857142857142857,460,2,0,460,3294,763,params,True,3,0,0.1609848484848485,0.0
covtype,gnb,mechanism_selector,4,9,16495,16495,0,1000,REBUILD,False,0.9415204678362573,False,0.9215204678362573,0.3333333333333333,0.7240975152367558,0.7952180028129395,1800,2,0,1800,5094,763,params,True,4,0,0.6081871345029239,0.37
covtype,gnb,mechanism_selector,4,10,17071,17071,0,576,REBUILD,False,0.7199752628324058,False,0.6999752628324057,0.28273809523809523,0.46249999999999997,0.4916666666666667,1036,2,0,1036,6130,763,params,True,4,0,0.4372371675943105,0.3275862068965517
covtype,gnb,mechanism_selector,4,11,17263,17263,0,192,REBUILD,True,0.7199752628324058,True,0.6999752628324057,0.546875,,0.90625,192,1,0,192,6322,763,params,True,4,0,0.17310026283240576,
covtype,gnb,mechanism_selector,4,12,18095,18095,0,832,REBUILD,False,0.8891518293141011,False,0.8691518293141011,0.6285296574770259,0.725751879699248,0.9421470342522974,1497,2,0,1497,7819,763,params,True,4,0,0.26062217183707515,0.041916167664670656
covtype,gnb,mechanism_selector,4,13,18287,18287,0,192,REBUILD,True,0.8891518293141011,True,0.8691518293141011,0.9736842105263157,,0.47368421052631576,192,1,0,192,8011,763,params,True,4,0,-0.08453238121221462,
covtype,gnb,mechanism_selector,4,14,18479,18479,0,192,REBUILD,True,0.8891518293141011,True,0.8691518293141011,1.0,,1.0,192,1,0,192,8203,763,params,True,4,0,-0.11084817068589892,
covtype,gnb,mechanism_selector,4,15,19247,19247,0,768,REBUILD,False,0.9328859060402684,False,0.9128859060402684,0.8176470588235294,0.8848739495798319,0.9058823529411765,1382,2,0,1382,9585,763,params,True,4,0,0.11523884721673905,0.11688311688311688
covtype,gnb,mechanism_selector,4,16,19791,19791,0,544,REBUILD,False,0.8658008658008658,False,0.8458008658008658,0.47093023255813954,0.45348837209302323,0.9608190091001012,979,2,0,979,10564,763,params,True,4,0,0.39487063324272625,0.027522935779816515
covtype,gnb,mechanism_selector,4,17,23151,23151,0,1000,REBUILD,False,0.8003189227498229,False,0.7803189227498228,0.5927960927960928,0.6037851037851037,0.5735653235653235,1800,2,0,1800,12364,763,params,True,5,0,0.20752282995373006,0.17
covtype,gnb,mechanism_selector,4,18,23503,23503,0,352,REBUILD,False,0.6724941724941724,False,0.6524941724941724,0.5865384615384616,0.5865384615384616,0.7788461538461539,633,2,0,633,12997,763,params,True,5,0,0.08595571095571086,0.0
covtype,gnb,mechanism_selector,4,19,23663,23663,0,160,REBUILD,True,0.6724941724941724,True,0.6524941724941724,0.4166666666666667,,0.5512820512820513,160,1,0,160,13157,763,params,True,5,0,0.25582750582750574,
covtype,gnb,mechanism_selector,4,20,23791,23791,0,128,REBUILD,True,0.6724941724941724,True,0.6524941724941724,1.0,,1.0,128,1,0,128,13285,763,params,True,5,0,-0.3275058275058276,
covtype,gnb,mechanism_selector,4,21,25007,25007,0,1000,NUDGE,False,0.7815829528158296,False,0.7615829528158296,0.7266522503040951,0.8170698743073388,0.8170698743073388,800,1,0,800,14085,763,params,False,0,1,0.054930702511734486,0.19
covtype,gnb,mechanism_selector,4,22,25135,25135,0,128,REBUILD,True,0.7815829528158296,True,0.7615829528158296,0.5,,0.5,128,1,0,128,14213,763,params,True,5,0,0.28158295281582957,
covtype,gnb,mechanism_selector,4,23,25231,25235,4,100,REBUILD,True,0.7815829528158296,True,0.7615829528158296,0.95,,1.0,100,1,0,100,14313,763,params,True,6,0,-0.1684170471841704,
covtype,gnb,mechanism_selector,4,24,26287,26287,0,1000,SKIP,False,0.5,False,0.48,0.5,,0.5,0,0,0,0,14313,763,params,False,0,0,0.0,
covtype,gnb,mechanism_selector,4,25,26479,26479,0,192,REBUILD,True,0.5,True,0.48,0.5,,0.78,192,1,0,192,14505,763,params,True,5,0,0.0,
covtype,gnb,mechanism_selector,4,26,26767,26767,0,288,SKIP,False,0.5,False,0.48,0.5681818181818181,,0.5681818181818181,0,0,0,0,14505,763,params,False,0,0,-0.06818181818181812,
covtype,gnb,mechanism_selector,4,27,27119,27119,0,352,NUDGE,False,0.617241890090357,False,0.597241890090357,0.5605691056910569,0.7073170731707317,0.7073170731707317,281,1,0,281,14786,763,params,False,0,1,0.056672784399300125,0.19718309859154928
covtype,gnb,mechanism_selector,4,28,27311,27311,0,192,REBUILD,True,0.617241890090357,True,0.597241890090357,1.0,,1.0,192,1,0,192,14978,763,params,True,5,0,-0.382758109909643,
covtype,gnb,mechanism_selector,4,29,27471,27471,0,160,REBUILD,True,0.617241890090357,True,0.597241890090357,0.5,,0.5,160,1,0,160,15138,763,params,True,5,0,0.11724189009035701,
covtype,gnb,mechanism_selector,4,30,27727,27727,0,256,SKIP,False,0.5018083182640145,False,0.4818083182640145,1.0,,1.0,0,0,0,0,15138,763,params,False,0,0,-0.4981916817359855,
covtype,gnb,mechanism_selector,4,31,27855,27855,0,128,REBUILD,True,0.5018083182640145,True,0.4818083182640145,0.21428571428571427,,0.5,128,1,0,128,15266,763,params,True,5,0,0.2875226039783002,
covtype,gnb,mechanism_selector,4,32,28079,28079,0,224,REBUILD,True,0.4354978354978355,False,0.4154978354978355,1.0,,1.0,224,1,0,224,15490,763,params,True,5,0,-0.5645021645021645,
covtype,gnb,mechanism_selector,4,33,28463,28463,0,384,SKIP,False,0.4585987261146497,False,0.4385987261146497,0.974025974025974,,0.974025974025974,0,0,0,0,15490,763,params,False,0,0,-0.5154272479113243,
covtype,gnb,mechanism_selector,4,34,28719,28719,0,256,NUDGE,False,0.5053763440860215,False,0.4853763440860215,0.4677002583979328,0.5116279069767442,0.5116279069767442,204,1,0,204,15694,763,params,False,0,1,0.03767608568808872,0.038461538461538464
covtype,gnb,mechanism_selector,4,35,28943,28943,0,224,REBUILD,True,0.9578313253012047,False,0.9378313253012047,0.5,,0.5,224,1,0,224,15918,763,params,True,5,0,0.45783132530120474,
covtype,gnb,mechanism_selector,4,36,29135,29135,0,192,REBUILD,True,0.9578313253012047,True,0.9378313253012047,1.0,,1.0,192,1,0,192,16110,763,params,True,5,0,-0.04216867469879526,
covtype,gnb,mechanism_selector,4,37,29295,29295,0,160,REBUILD,True,0.9578313253012047,True,0.9378313253012047,0.3590909090909091,,0.5,160,1,0,160,16270,763,params,True,5,0,0.5987404162102956,
covtype,gnb,mechanism_selector,4,38,29615,29615,0,320,SKIP,False,0.547246510200951,False,0.527246510200951,1.0,,1.0,0,0,0,0,16270,763,params,False,0,0,-0.45275348979904895,
covtype,gnb,mechanism_selector,4,39,29903,29903,0,288,SKIP,False,0.6797604948019476,False,0.6597604948019475,1.0,,1.0,0,0,0,0,16270,763,params,False,0,0,-0.32023950519805244,
covtype,gnb,mechanism_selector,4,40,30031,30031,0,128,REBUILD,True,0.6797604948019476,True,0.6597604948019475,0.5,,0.5,128,1,0,128,16398,763,params,True,5,0,0.17976049480194756,
covtype,gnb,mechanism_selector,4,41,30127,30131,4,100,REBUILD,True,0.6797604948019476,True,0.6597604948019475,0.5,,0.90625,100,1,0,100,16498,763,params,True,5,0,0.17976049480194756,
covtype,gnb,mechanism_selector,4,42,30351,30351,0,220,REBUILD,True,0.5604395604395604,False,0.5404395604395604,0.5,,1.0,220,1,0,220,16718,763,params,True,5,0,0.06043956043956045,
covtype,gnb,mechanism_selector,4,43,30607,30607,0,256,SKIP,False,0.5251798561151079,False,0.5051798561151079,0.9034090909090908,,0.9034090909090908,0,0,0,0,16718,763,params,False,0,0,-0.37822923479398296,
covtype,gnb,mechanism_selector,4,44,30799,30799,0,192,REBUILD,True,0.5251798561151079,True,0.5051798561151079,0.5,,0.5,192,1,0,192,16910,763,params,True,5,0,0.025179856115107868,
covtype,gnb,mechanism_selector,4,45,31119,31119,0,320,SKIP,False,0.5775745257452575,False,0.5575745257452575,1.0,,1.0,0,0,0,0,16910,763,params,False,0,0,-0.42242547425474253,
covtype,gnb,mechanism_selector,4,46,31407,31407,0,288,SKIP,False,0.6495771057814853,False,0.6295771057814853,1.0,,1.0,0,0,0,0,16910,763,params,False,0,0,-0.3504228942185147,
covtype,gnb,mechanism_selector,4,47,31567,31567,0,160,REBUILD,True,0.6495771057814853,True,0.6295771057814853,0.5952380952380952,,0.5952380952380952,160,1,0,160,17070,763,params,True,5,0,0.054339010543390076,
covtype,gnb,mechanism_selector,4,48,31823,31823,0,256,SKIP,False,0.5501808318264014,False,0.5301808318264014,1.0,,1.0,0,0,0,0,17070,763,params,False,0,0,-0.44981916817359857,
covtype,gnb,mechanism_selector,4,49,31983,31983,0,160,REBUILD,True,0.5501808318264014,True,0.5301808318264014,0.5416666666666666,,0.5625,160,1,0,160,17230,763,params,True,5,0,0.008514165159734799,
covtype,gnb,mechanism_selector,4,50,32207,32207,0,224,REBUILD,True,0.5,False,0.48,1.0,,1.0,224,1,0,224,17454,763,params,True,5,0,-0.5,
covtype,gnb,mechanism_selector,4,51,32303,32307,4,100,REBUILD,True,0.5,True,0.48,0.5,,0.5,100,1,0,100,17554,763,params,True,5,0,0.0,
covtype,gnb,mechanism_selector,4,52,32591,32591,0,284,SKIP,False,0.5290598290598291,False,0.509059829059829,1.0,,1.0,0,0,0,0,17554,763,params,False,0,0,-0.47094017094017093,
covtype,gnb,mechanism_selector,4,53,32719,32719,0,128,REBUILD,True,0.5290598290598291,True,0.509059829059829,0.5,,0.5,128,1,0,128,17682,763,params,True,5,0,0.029059829059829068,
covtype,gnb,mechanism_selector,4,54,32975,32975,0,256,SKIP,False,0.5566666666666666,False,0.5366666666666666,1.0,,1.0,0,0,0,0,17682,763,params,False,0,0,-0.44333333333333336,
covtype,gnb,mechanism_selector,4,55,33103,33103,0,128,REBUILD,True,0.5566666666666666,True,0.5366666666666666,0.5,,0.5,128,1,0,128,17810,763,params,True,5,0,0.05666666666666664,
covtype,gnb,mechanism_selector,4,56,33359,33359,0,256,SKIP,False,0.46743111960503264,False,0.4474311196050326,1.0,,1.0,0,0,0,0,17810,763,params,False,0,0,-0.5325688803949673,
covtype,gnb,mechanism_selector,4,57,33487,33487,0,128,REBUILD,True,0.46743111960503264,True,0.4474311196050326,0.5,,0.5,128,1,0,128,17938,763,params,True,5,0,-0.03256888039496736,
covtype,gnb,mechanism_selector,4,58,33775,33775,0,288,SKIP,False,0.5586876891224717,False,0.5386876891224717,1.0,,1.0,0,0,0,0,17938,763,params,False,0,0,-0.4413123108775283,
covtype,gnb,mechanism_selector,4,59,36271,36271,0,1000,NUDGE,False,0.8093163191202407,False,0.7893163191202407,0.5929824561403508,0.8506600660066006,0.8506600660066006,800,1,0,800,18738,763,params,False,0,1,0.21633386297988988,0.22
covtype,gnb,mechanism_selector,4,60,36495,36495,0,224,REBUILD,True,0.5963963963963964,False,0.5763963963963964,1.0,,1.0,224,1,0,224,18962,763,params,True,5,0,-0.4036036036036036,
covtype,gnb,mechanism_selector,4,61,36591,36595,4,100,REBUILD,True,0.5963963963963964,True,0.5763963963963964,0.0,,1.0,100,1,0,100,19062,763,params,True,4,0,0.5963963963963964,
covtype,gnb,mechanism_selector,4,62,37679,37679,0,1000,REBUILD,False,0.8267752148349163,False,0.8067752148349163,0.5,0.49242424242424243,0.49242424242424243,1800,2,0,1800,20862,763,params,True,4,0,0.32677521483491634,0.015
covtype,gnb,mechanism_selector,4,63,37871,37871,0,192,REBUILD,True,0.8267752148349163,True,0.8067752148349163,0.5223214285714286,,0.390625,192,1,0,192,21054,763,params,True,5,0,0.30445378626348774,
covtype,gnb,mechanism_selector,4,64,38255,38255,0,384,REBUILD,False,0.995,False,0.975,0.8095075239398085,0.5564295485636115,0.5,691,2,0,691,21745,763,params,True,5,0,0.18549247606019148,0.24675324675324675
covtype,gnb,mechanism_selector,4,65,38639,38639,0,384,REBUILD,False,0.975,False,0.955,0.5,0.5,0.6029411764705882,691,2,0,691,22436,763,params,True,5,0,0.475,0.0
covtype,gnb,mechanism_selector,4,66,39023,39023,0,384,SKIP,False,0.5,False,0.48,0.625,,0.625,0,0,0,0,22436,763,params,False,0,0,-0.125,
covtype,gnb,mechanism_selector,4,67,39407,39407,0,384,REBUILD,False,1.0,False,0.98,0.6129032258064516,0.5967741935483871,0.5806451612903226,691,2,0,691,23127,763,params,True,5,0,0.3870967741935484,0.03896103896103896
covtype,gnb,mechanism_selector,4,68,39791,39791,0,384,REBUILD,False,1.0,False,0.98,0.5689655172413793,0.5689655172413793,0.5689655172413793,691,2,0,691,23818,763,params,True,5,0,0.43103448275862066,0.025974025974025976
covtype,gnb,mechanism_selector,4,69,40175,40175,0,384,REBUILD,False,0.98,False,0.96,0.5961538461538461,0.5769230769230769,0.5769230769230769,691,2,0,691,24509,763,params,True,5,0,0.38384615384615384,0.012987012987012988
covtype,gnb,mechanism_selector,4,70,40559,40559,0,384,REBUILD,False,0.965,False,0.945,0.58,0.58,0.6,691,2,0,691,25200,763,params,True,5,0,0.385,0.0
covtype,gnb,mechanism_selector,4,71,40943,40943,0,384,REBUILD,False,0.965,False,0.945,0.5714285714285714,0.5238095238095238,0.5476190476190477,691,2,0,691,25891,763,params,True,5,0,0.39357142857142857,0.025974025974025976
covtype,gnb,mechanism_selector,4,72,41327,41327,0,384,SKIP,False,0.4844559585492228,False,0.4644559585492228,0.5,,0.5,0,0,0,0,25891,763,params,False,0,0,-0.015544041450777202,
covtype,gnb,mechanism_selector,4,73,41743,41743,0,416,SKIP,False,0.4756756756756757,False,0.4556756756756757,0.7111111111111111,,0.7111111111111111,0,0,0,0,25891,763,params,False,0,0,-0.23543543543543544,
covtype,gnb,mechanism_selector,4,74,42127,42127,0,384,SKIP,False,0.5,False,0.48,0.6710526315789473,,0.6710526315789473,0,0,0,0,25891,763,params,False,0,0,-0.17105263157894735,
covtype,gnb,mechanism_selector,4,75,42511,42511,0,384,SKIP,False,0.5,False,0.48,0.6710526315789473,,0.6710526315789473,0,0,0,0,25891,763,params,False,0,0,-0.17105263157894735,
covtype,gnb,mechanism_selector,4,76,42895,42895,0,384,SKIP,False,0.5,False,0.48,0.6060606060606061,,0.6060606060606061,0,0,0,0,25891,763,params,False,0,0,-0.10606060606060608,
covtype,gnb,mechanism_selector,4,77,43183,43183,0,288,SKIP,False,0.5,False,0.48,1.0,,1.0,0,0,0,0,25891,763,params,False,0,0,-0.5,
covtype,gnb,mechanism_selector,4,78,43279,43283,4,100,REBUILD,True,0.5,True,0.48,0.45,,1.0,100,1,0,100,25991,763,params,True,5,0,0.04999999999999999,
covtype,gnb,mechanism_selector,4,79,43567,43567,0,284,SKIP,False,0.3154016212232867,False,0.29540162122328667,0.7954545454545454,,0.7954545454545454,0,0,0,0,25991,763,params,False,0,0,-0.4800529242312587,
covtype,gnb,mechanism_selector,4,80,43695,43695,0,128,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.23076923076923078,,1.0,128,1,0,128,26119,763,params,True,5,0,0.0846323904540559,
covtype,gnb,mechanism_selector,4,81,43887,43887,0,192,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,192,1,0,192,26311,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,82,43951,43987,36,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,100,1,0,100,26411,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,83,44015,44087,72,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,100,1,0,100,26511,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,84,44175,44187,12,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,1.0,,1.0,100,1,0,100,26611,763,params,True,5,0,-0.6845983787767134,
covtype,gnb,mechanism_selector,4,85,44335,44335,0,148,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,148,1,0,148,26759,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,86,44463,44463,0,128,REBUILD,True,0.3154016212232867,True,0.29540162122328667,1.0,,1.0,128,1,0,128,26887,763,params,True,5,0,-0.6845983787767134,
covtype,gnb,mechanism_selector,4,87,44655,44655,0,192,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.05128205128205128,,1.0,192,1,0,192,27079,763,params,True,5,0,0.2641195699412354,
covtype,gnb,mechanism_selector,4,88,44719,44755,36,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,100,1,0,100,27179,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,89,44783,44855,72,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.1,,1.0,100,1,0,100,27279,763,params,True,5,0,0.21540162122328668,
covtype,gnb,mechanism_selector,4,90,44975,44975,0,120,REBUILD,True,0.3154016212232867,True,0.29540162122328667,1.0,,1.0,120,1,0,120,27399,763,params,True,5,0,-0.6845983787767134,
covtype,gnb,mechanism_selector,4,91,45135,45135,0,160,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,160,1,0,160,27559,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,92,45231,45235,4,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,1.0,,1.0,100,1,0,100,27659,763,params,True,5,0,-0.6845983787767134,
covtype,gnb,mechanism_selector,4,93,45423,45423,0,188,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.10526315789473684,,1.0,188,1,0,188,27847,763,params,True,5,0,0.21013846332854985,
covtype,gnb,mechanism_selector,4,94,45519,45523,4,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,100,1,0,100,27947,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,95,45647,45647,0,124,REBUILD,True,0.3154016212232867,True,0.29540162122328667,1.0,,1.0,124,1,0,124,28071,763,params,True,5,0,-0.6845983787767134,
covtype,gnb,mechanism_selector,4,96,45807,45807,0,160,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.21875,,1.0,160,1,0,160,28231,763,params,True,5,0,0.09665162122328669,
covtype,gnb,mechanism_selector,4,97,45903,45907,4,100,REBUILD,True,0.3154016212232867,True,0.29540162122328667,0.0,,1.0,100,1,0,100,28331,763,params,True,5,0,0.3154016212232867,
covtype,gnb,mechanism_selector,4,98,46031,46031,0,124,REBUILD,True,0.3154016212232867,True,0.29540162122328667,1.0,,1.0,124,1,0,124,28455,763,params,True,5,0,-0.6845983787767134,
covtype,gnb,mechanism_selector,4,99,46319,46319,0,288,NUDGE,False,0.5291005291005291,False,0.509100529100529,0.5,0.8,0.8,230,1,0,230,28685,763,params,False,0,1,0.02910052910052907,0.6379310344827587
covtype,gnb,mechanism_selector,4,100,46415,46419,4,100,REBUILD,True,0.5291005291005291,True,0.509100529100529,0.0,,1.0,100,1,0,100,28785,763,params,True,5,0,0.5291005291005291,
covtype,gnb,mechanism_selector,4,101,46703,46703,0,284,NUDGE,False,0.5252525252525253,False,0.5052525252525253,0.5,0.7619047619047619,0.7619047619047619,227,1,0,227,29012,763,params,False,0,1,0.025252525252525304,0.8070175438596491
covtype,gnb,mechanism_selector,4,102,46831,46831,0,128,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.0,,1.0,128,1,0,128,29140,763,params,True,5,0,0.5252525252525253,
covtype,gnb,mechanism_selector,4,103,46991,46991,0,160,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.0,,1.0,160,1,0,160,29300,763,params,True,6,0,0.5252525252525253,
covtype,gnb,mechanism_selector,4,104,47119,47119,0,128,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.0,,1.0,128,1,0,128,29428,763,params,True,5,0,0.5252525252525253,
covtype,gnb,mechanism_selector,4,105,47247,47247,0,128,REBUILD,True,0.5252525252525253,True,0.5052525252525253,1.0,,1.0,128,1,0,128,29556,763,params,True,5,0,-0.4747474747474747,
covtype,gnb,mechanism_selector,4,106,47407,47407,0,160,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.5625,,1.0,160,1,0,160,29716,763,params,True,6,0,-0.037247474747474696,
covtype,gnb,mechanism_selector,4,107,47503,47507,4,100,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.0,,1.0,100,1,0,100,29816,763,params,True,5,0,0.5252525252525253,
covtype,gnb,mechanism_selector,4,108,47599,47607,8,100,REBUILD,True,0.5252525252525253,True,0.5052525252525253,1.0,,1.0,100,1,0,100,29916,763,params,True,5,0,-0.4747474747474747,
covtype,gnb,mechanism_selector,4,109,47727,47727,0,120,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.0,,1.0,120,1,0,120,30036,763,params,True,6,0,0.5252525252525253,
covtype,gnb,mechanism_selector,4,110,47887,47887,0,160,REBUILD,True,0.5252525252525253,True,0.5052525252525253,0.5,,1.0,160,1,0,160,30196,763,params,True,5,0,0.025252525252525304,
covtype,gnb,mechanism_selector,4,111,48015,48015,0,128,REBUILD,True,0.5252525252525253,True,0.5052525252525253,1.0,,1.0,128,1,0,128,30324,763,params,True,5,0,-0.4747474747474747,
