dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,rf,always_nudge,3,0,11087,11087,0,1000,NUDGE,False,0.5753562534246632,False,nan,0.6908703798330779,0.6908703798330779,0.6908703798330779,4000,5,5,800,4000,100,trees,True,1,1,-0.11551412640841463,0.02
covtype,rf,always_nudge,3,1,12815,12815,0,1000,NUDGE,False,0.7802197802197802,False,nan,0.7885349261655882,0.7920192467230794,0.7920192467230794,4000,5,5,800,8000,100,trees,False,0,2,-0.008315145945807956,0.005
covtype,rf,always_nudge,3,2,14127,14127,0,1000,NUDGE,False,0.7956129142175653,False,nan,0.6555509224940285,0.6599368874063092,0.6599368874063092,4000,5,5,800,12000,100,trees,False,0,3,0.14006199172353684,0.005
covtype,rf,always_nudge,3,3,15727,15727,0,1000,NUDGE,False,0.5648122965280918,False,nan,0.6300578034682082,0.6533820099381401,0.6533820099381401,4000,5,5,800,16000,100,trees,True,1,4,-0.06524550694011633,0.03
covtype,rf,always_nudge,3,4,16719,16719,0,992,NUDGE,False,0.6189942907334212,False,nan,0.5682539682539683,0.5728516694033935,0.5728516694033935,3965,5,5,793,19965,100,trees,True,4,5,0.050740322479452815,0.010050251256281407
covtype,rf,always_nudge,3,5,17071,17071,0,352,NUDGE,False,0.5431746031746032,False,nan,0.5294117647058824,0.5359477124183006,0.5359477124183006,1405,5,5,281,21370,100,trees,True,4,6,0.01376283846872084,0.014084507042253521
covtype,rf,always_nudge,3,6,17231,17231,0,160,NUDGE,False,0.5431746031746032,True,nan,0.5,0.5,0.5,640,5,5,128,22010,100,trees,True,5,7,0.0431746031746032,0.0
covtype,rf,always_nudge,3,7,17455,17455,0,224,NUDGE,False,0.5853174603174603,False,nan,0.5,0.5,0.5,895,5,5,179,22905,100,trees,True,5,8,0.08531746031746035,0.0
covtype,rf,always_nudge,3,8,17679,17679,0,224,NUDGE,False,0.5877628159697613,False,nan,0.5,0.5,0.5,895,5,5,179,23800,100,trees,True,5,9,0.08776281596976132,0.0
covtype,rf,always_nudge,3,9,17903,17903,0,224,NUDGE,False,0.5928184281842818,False,nan,0.5,0.5,0.5,895,5,5,179,24695,100,trees,True,4,10,0.09281842818428176,0.0
covtype,rf,always_nudge,3,10,18095,18095,0,192,NUDGE,False,0.5928184281842818,True,nan,0.5555555555555555,0.5555555555555555,0.5555555555555555,765,5,5,153,25460,100,trees,True,5,11,0.037262872628726296,0.0
covtype,rf,always_nudge,3,11,18287,18287,0,192,NUDGE,False,0.5928184281842818,True,nan,0.5,0.5,0.5,765,5,5,153,26225,100,trees,True,4,12,0.09281842818428176,0.0
covtype,rf,always_nudge,3,12,18383,18387,4,100,NUDGE,False,0.5928184281842818,True,nan,0.75,0.75,0.75,400,5,5,80,26625,100,trees,True,4,13,-0.15718157181571824,0.0
covtype,rf,always_nudge,3,13,18543,18543,0,156,NUDGE,False,0.5928184281842818,True,nan,0.0,0.0,0.0,620,5,5,124,27245,100,trees,True,4,14,0.5928184281842818,0.0
covtype,rf,always_nudge,3,14,18767,18767,0,224,NUDGE,False,0.6172027290448343,False,nan,0.5555555555555555,0.5555555555555555,0.5555555555555555,895,5,5,179,28140,100,trees,True,4,15,0.06164717348927884,0.0
