dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,rf,fixed_schedule,2,0,11087,11087,0,1000,NUDGE,False,0.5949892222725707,False,nan,0.5339124510304888,0.5336399250553568,0.5336399250553568,4000,5,5,800,4000,100,trees,True,1,1,0.061076771242081884,0.02
covtype,rf,fixed_schedule,2,1,12783,12783,0,1000,NUDGE,False,0.7906593406593406,False,nan,0.6250151423379771,0.6321579994808342,0.6321579994808342,4000,5,5,800,8000,100,trees,False,0,2,0.16564419832136357,0.005
covtype,rf,fixed_schedule,2,2,14127,14127,0,1000,REBUILD,False,0.8495934959349594,False,nan,0.7301342558273619,,1.0,100000,100,100,1000,108000,100,trees,False,0,0,0.11945924010759745,
covtype,rf,fixed_schedule,2,3,15215,15215,0,1000,NUDGE,False,0.5835251758499812,False,nan,0.5976579761378701,0.6252761820592134,0.6252761820592134,4000,5,5,800,112000,100,trees,True,1,1,-0.01413280028788888,0.045
covtype,rf,fixed_schedule,2,4,16655,16655,0,1000,NUDGE,False,0.5,False,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,4000,5,5,800,116000,100,trees,True,4,2,0.16666666666666669,0.01
covtype,rf,fixed_schedule,2,5,16847,16847,0,192,REBUILD,False,0.5,True,nan,0.5,,1.0,19200,100,100,192,135200,100,trees,True,4,0,0.0,
covtype,rf,fixed_schedule,2,6,17263,17263,0,416,NUDGE,False,0.8461497211497212,False,nan,0.4367575122292104,0.4367575122292104,0.4367575122292104,1660,5,5,332,136860,100,trees,True,4,1,0.4093922089205108,0.0
covtype,rf,fixed_schedule,2,7,17455,17455,0,192,NUDGE,False,0.8461497211497212,True,nan,0.2913793103448276,0.2913793103448276,0.2913793103448276,765,5,5,153,137625,100,trees,True,5,2,0.5547704108048936,0.0
covtype,rf,fixed_schedule,2,8,17679,17679,0,224,REBUILD,False,0.6174108197495866,False,nan,0.4666666666666667,,1.0,22400,100,100,224,160025,100,trees,True,4,0,0.15074415308291989,
covtype,rf,fixed_schedule,2,9,18095,18095,0,416,NUDGE,False,0.8703703703703703,False,nan,0.6527777777777778,0.5972222222222222,0.5972222222222222,1660,5,5,332,161685,100,trees,True,4,1,0.21759259259259256,0.023809523809523808
covtype,rf,fixed_schedule,2,10,18319,18319,0,224,NUDGE,False,0.8358974358974359,False,nan,0.5316091954022989,0.5316091954022989,0.5316091954022989,895,5,5,179,162580,100,trees,True,4,2,0.30428824049513703,0.022222222222222223
