dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,rf,mechanism_selector,1,0,11055,11055,0,1000,REBUILD,False,0.5668161178665484,False,0.5468161178665484,0.4997880906971816,0.4967507240234513,1.0,104000,105,105,1800,104000,100,trees,True,2,0,0.06702802716936679,0.035
covtype,rf,mechanism_selector,1,1,11375,11375,0,320,SKIP,False,0.5239104330013421,False,0.5039104330013421,0.5576923076923077,,0.5576923076923077,0,0,0,0,104000,100,trees,False,0,0,-0.03378187469096561,
covtype,rf,mechanism_selector,1,2,12175,12175,0,800,REBUILD,False,0.4252735978112175,False,0.40527359781121747,0.3457482993197279,0.36734693877551017,1.0,83200,105,105,1440,187200,100,trees,True,1,0,0.0795252984914896,0.06875
covtype,rf,mechanism_selector,1,3,12559,12559,0,384,SKIP,False,0.41713742196500814,False,0.3971374219650081,0.4415584415584416,,0.4415584415584416,0,0,0,0,187200,100,trees,False,0,0,-0.024421019593433457,
covtype,rf,mechanism_selector,1,4,13935,13935,0,1000,REBUILD,False,0.4374343817865412,False,0.4174343817865412,0.27508180449356917,0.2781552560964326,1.0,104000,105,105,1800,291200,100,trees,False,0,0,0.16235257729297203,0.08
covtype,rf,mechanism_selector,1,5,14543,14543,0,608,SKIP,False,0.5180777440736996,False,0.49807774407369954,0.5955277172597434,,0.5955277172597434,0,0,0,0,291200,100,trees,False,0,0,-0.07744997318604385,
covtype,rf,mechanism_selector,1,6,15215,15215,0,672,REBUILD,False,0.6068936877076412,False,0.5868936877076412,0.5576923076923077,0.5769230769230769,1.0,69885,105,105,1209,361085,100,trees,True,2,0,0.049201380015333473,0.02962962962962963
covtype,rf,mechanism_selector,1,7,15759,15759,0,544,REBUILD,False,0.8909453819633459,False,0.8709453819633459,0.3074074074074074,0.3111111111111111,1.0,56575,105,105,979,417660,100,trees,True,8,0,0.5835379745559386,0.009174311926605505
covtype,rf,mechanism_selector,1,8,16655,16655,0,896,REBUILD,False,0.8107936507936508,False,0.7907936507936508,0.33878205128205136,0.33878205128205136,1.0,93180,105,105,1612,510840,100,trees,True,8,0,0.4720115995115995,0.0
covtype,rf,mechanism_selector,1,9,17231,17231,0,576,REBUILD,False,0.719047619047619,False,0.699047619047619,0.40740740740740744,0.4197530864197531,1.0,59900,105,105,1036,570740,100,trees,True,8,0,0.3116402116402116,0.008620689655172414
covtype,rf,mechanism_selector,1,10,18095,18095,0,864,REBUILD,False,0.8035714285714287,False,0.7835714285714287,0.6,0.6,1.0,89855,105,105,1555,660595,100,trees,True,8,0,0.20357142857142874,0.0
covtype,rf,mechanism_selector,1,11,19215,19215,0,1000,REBUILD,False,0.926172607879925,False,0.9061726078799249,0.8818452380952381,0.9029761904761905,1.0,104000,105,105,1800,764595,100,trees,True,8,0,0.044327369784686876,0.015
covtype,rf,mechanism_selector,1,12,19567,19567,0,352,REBUILD,False,0.8765432098765432,False,0.8565432098765432,0.6666666666666666,0.6666666666666666,1.0,36605,105,105,633,801200,100,trees,True,8,0,0.2098765432098766,0.0
covtype,rf,mechanism_selector,1,13,20015,20015,0,448,REBUILD,False,0.9615520907158044,False,0.9415520907158044,0.4857142857142857,0.4785714285714286,1.0,46590,105,105,806,847790,100,trees,True,10,0,0.4758378050015187,0.011111111111111112
covtype,rf,mechanism_selector,1,14,22703,22703,0,1000,REBUILD,False,0.9615520907158044,False,0.9415520907158044,0.712059620596206,0.712059620596206,1.0,104000,105,105,1800,951790,100,trees,True,10,0,0.2494924701195984,0.0
covtype,rf,mechanism_selector,1,15,23471,23471,0,768,REBUILD,False,0.85,False,0.83,0.7065486388730249,0.7114030078050637,1.0,79870,105,105,1382,1031660,100,trees,True,10,0,0.1434513611269751,0.006493506493506494
covtype,rf,mechanism_selector,1,16,24303,24303,0,832,REBUILD,False,0.9545454545454546,False,0.9345454545454546,0.853763440860215,0.8698924731182796,1.0,86525,105,105,1497,1118185,100,trees,True,10,0,0.10078201368523954,0.011976047904191617
covtype,rf,mechanism_selector,1,17,24879,24879,0,576,REBUILD,False,1.0,False,0.98,0.8853596202993794,0.8974078130704637,1.0,59900,105,105,1036,1178085,100,trees,True,10,0,0.11464037970062058,0.017241379310344827
