dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,sgd,always_nudge,0,0,11407,11407,0,1000,NUDGE,False,0.1305435216412756,False,nan,0.26279069767441865,0.4472194135490394,0.4472194135490394,800,1,0,800,800,385,params,False,0,1,-0.13224717603314304,0.845
covtype,sgd,always_nudge,0,1,14415,14415,0,1000,NUDGE,False,0.3162393162393162,False,nan,0.20270270270270271,0.16666666666666666,0.16666666666666666,800,1,0,800,1600,385,params,False,0,2,0.11353661353661351,0.97
covtype,sgd,always_nudge,0,2,15375,15375,0,960,NUDGE,False,0.019558769002595476,False,nan,0.0,0.5,0.5,768,1,0,768,2368,385,params,False,0,3,0.019558769002595476,1.0
covtype,sgd,always_nudge,0,3,16527,16527,0,1000,NUDGE,False,0.5,False,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,800,1,0,800,3168,385,params,False,0,4,0.16666666666666669,0.0
covtype,sgd,always_nudge,0,4,16655,16655,0,128,NUDGE,False,0.5,True,nan,0.5,0.5,0.5,102,1,0,102,3270,385,params,False,0,5,0.0,0.0
covtype,sgd,always_nudge,0,5,17231,17231,0,576,NUDGE,False,0.3333333333333333,False,nan,0.3333333333333333,0.3786008230452675,0.3786008230452675,460,1,0,460,3730,385,params,False,0,6,0.0,0.31896551724137934
covtype,sgd,always_nudge,0,6,17327,17331,4,100,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,80,1,0,80,3810,385,params,False,0,7,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,7,17455,17455,0,124,NUDGE,False,0.3333333333333333,True,nan,0.0,0.5,0.5,99,1,0,99,3909,385,params,False,0,8,0.3333333333333333,0.72
covtype,sgd,always_nudge,0,8,17679,17679,0,224,NUDGE,False,0.3333333333333333,False,nan,0.5,0.5,0.5,179,1,0,179,4088,385,params,False,0,9,-0.16666666666666669,0.0
covtype,sgd,always_nudge,0,9,17903,17903,0,224,NUDGE,False,0.3333333333333333,False,nan,0.5,0.5,0.5,179,1,0,179,4267,385,params,False,0,10,-0.16666666666666669,0.0
covtype,sgd,always_nudge,0,10,18095,18095,0,192,NUDGE,False,0.3333333333333333,True,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,153,1,0,153,4420,385,params,False,0,11,0.0,0.0
covtype,sgd,always_nudge,0,11,18255,18255,0,160,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,128,1,0,128,4548,385,params,False,0,12,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,12,18319,18355,36,100,NUDGE,False,0.3333333333333333,True,nan,0.65,0.0,0.0,80,1,0,80,4628,385,params,False,0,13,-0.3166666666666667,1.0
covtype,sgd,always_nudge,0,13,18447,18455,8,100,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,80,1,0,80,4708,385,params,False,0,14,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,14,18543,18555,12,100,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,80,1,0,80,4788,385,params,False,0,15,-0.16666666666666669,1.0
covtype,sgd,always_nudge,0,15,18671,18671,0,116,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,92,1,0,92,4880,385,params,False,0,16,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,16,18767,18771,4,100,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,80,1,0,80,4960,385,params,False,0,17,-0.16666666666666669,1.0
covtype,sgd,always_nudge,0,17,18863,18871,8,100,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,80,1,0,80,5040,385,params,False,0,18,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,18,18991,18991,0,120,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,96,1,0,96,5136,385,params,False,0,19,-0.16666666666666669,1.0
covtype,sgd,always_nudge,0,19,19087,19091,4,100,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,80,1,0,80,5216,385,params,False,0,20,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,20,19215,19215,0,124,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,99,1,0,99,5315,385,params,False,0,21,-0.16666666666666669,1.0
covtype,sgd,always_nudge,0,21,19311,19315,4,100,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,80,1,0,80,5395,385,params,False,0,22,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,22,19439,19439,0,124,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,99,1,0,99,5494,385,params,False,0,23,-0.16666666666666669,1.0
covtype,sgd,always_nudge,0,23,19535,19539,4,100,NUDGE,False,0.3333333333333333,True,nan,1.0,1.0,1.0,80,1,0,80,5574,385,params,False,0,24,-0.6666666666666667,0.0
covtype,sgd,always_nudge,0,24,19663,19663,0,124,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5555555555555556,0.5555555555555556,99,1,0,99,5673,385,params,False,0,25,-0.16666666666666669,0.08
covtype,sgd,always_nudge,0,25,19791,19791,0,128,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,102,1,0,102,5775,385,params,False,0,26,-0.16666666666666669,0.0
covtype,sgd,always_nudge,0,26,19887,19891,4,100,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,80,1,0,80,5855,385,params,False,0,27,-0.16666666666666669,1.0
covtype,sgd,always_nudge,0,27,19983,19991,8,100,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,80,1,0,80,5935,385,params,False,0,28,-0.16666666666666669,0.0
covtype,sgd,always_nudge,0,28,20207,20207,0,216,NUDGE,False,0.5,False,nan,1.0,0.0,0.0,172,1,0,172,6107,385,params,False,0,29,-0.5,1.0
covtype,sgd,always_nudge,0,29,20431,20431,0,224,NUDGE,False,0.5,False,nan,0.0,0.9111111111111111,0.9111111111111111,179,1,0,179,6286,385,params,False,0,30,0.5,0.9111111111111111
covtype,sgd,always_nudge,0,30,20655,20655,0,224,NUDGE,False,0.5,False,nan,0.9333333333333333,1.0,1.0,179,1,0,179,6465,385,params,False,0,31,-0.43333333333333335,0.06666666666666667
covtype,sgd,always_nudge,0,31,20783,20783,0,128,NUDGE,False,0.5,True,nan,0.5,0.5,0.5,102,1,0,102,6567,385,params,False,0,32,0.0,0.0
covtype,sgd,always_nudge,0,32,21007,21007,0,224,NUDGE,False,1.0,False,nan,0.5,0.5,0.5,179,1,0,179,6746,385,params,False,0,33,0.5,0.0
covtype,sgd,always_nudge,0,33,21263,21263,0,256,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,204,1,0,204,6950,385,params,False,0,34,0.0,0.0
covtype,sgd,always_nudge,0,34,21487,21487,0,224,NUDGE,False,1.0,False,nan,0.5,0.5,0.5,179,1,0,179,7129,385,params,False,0,35,0.5,0.0
covtype,sgd,always_nudge,0,35,21743,21743,0,256,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,204,1,0,204,7333,385,params,False,0,36,0.0,0.0
covtype,sgd,always_nudge,0,36,21967,21967,0,224,NUDGE,False,0.5,False,nan,0.5,0.5161290322580645,0.5161290322580645,179,1,0,179,7512,385,params,False,0,37,0.0,0.022222222222222223
covtype,sgd,always_nudge,0,37,22191,22191,0,224,NUDGE,False,0.5,False,nan,0.5277777777777778,0.5,0.5,179,1,0,179,7691,385,params,False,0,38,-0.02777777777777779,0.022222222222222223
covtype,sgd,always_nudge,0,38,22447,22447,0,256,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,204,1,0,204,7895,385,params,False,0,39,0.0,0.0
covtype,sgd,always_nudge,0,39,22671,22671,0,224,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,179,1,0,179,8074,385,params,False,0,40,0.0,0.0
covtype,sgd,always_nudge,0,40,22927,22927,0,256,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,204,1,0,204,8278,385,params,False,0,41,0.0,0.0
covtype,sgd,always_nudge,0,41,23183,23183,0,256,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,204,1,0,204,8482,385,params,False,0,42,0.0,0.0
covtype,sgd,always_nudge,0,42,23343,23343,0,160,NUDGE,False,0.5,True,nan,0.0,0.5,0.5,128,1,0,128,8610,385,params,False,0,43,0.5,1.0
covtype,sgd,always_nudge,0,43,23535,23535,0,192,NUDGE,False,0.5,True,nan,1.0,1.0,1.0,153,1,0,153,8763,385,params,False,0,44,-0.5,0.0
covtype,sgd,always_nudge,0,44,23727,23727,0,192,NUDGE,False,0.5,True,nan,0.5,0.5,0.5,153,1,0,153,8916,385,params,False,0,45,0.0,0.0
covtype,sgd,always_nudge,0,45,23887,23887,0,160,NUDGE,False,0.5,True,nan,0.5,0.5,0.5,128,1,0,128,9044,385,params,False,0,46,0.0,0.0
covtype,sgd,always_nudge,0,46,24015,24015,0,128,NUDGE,False,0.5,True,nan,0.5,0.5,0.5,102,1,0,102,9146,385,params,False,0,47,0.0,1.0
covtype,sgd,always_nudge,0,47,24175,24175,0,160,NUDGE,False,0.5,True,nan,0.5,0.5,0.5,128,1,0,128,9274,385,params,False,0,48,0.0,1.0
covtype,sgd,always_nudge,0,48,24335,24335,0,160,NUDGE,False,0.5,True,nan,1.0,1.0,1.0,128,1,0,128,9402,385,params,False,0,49,-0.5,0.0
covtype,sgd,always_nudge,0,49,24559,24559,0,224,NUDGE,False,0.5,False,nan,0.5,0.5,0.5,179,1,0,179,9581,385,params,False,0,50,0.0,0.0
covtype,sgd,always_nudge,0,50,24847,24847,0,288,NUDGE,False,0.7818454292442731,False,nan,0.5,0.5,0.5,230,1,0,230,9811,385,params,False,0,51,0.28184542924427314,0.0
covtype,sgd,always_nudge,0,51,25007,25007,0,160,NUDGE,False,0.7818454292442731,True,nan,0.4230769230769231,0.4230769230769231,0.4230769230769231,128,1,0,128,9939,385,params,False,0,52,0.35876850616735007,0.0
covtype,sgd,always_nudge,0,52,25135,25135,0,128,NUDGE,False,0.7818454292442731,True,nan,0.5,0.5,0.5,102,1,0,102,10041,385,params,False,0,53,0.28184542924427314,0.0
covtype,sgd,always_nudge,0,53,25295,25295,0,160,NUDGE,False,0.7818454292442731,True,nan,0.5,0.5,0.5,128,1,0,128,10169,385,params,False,0,54,0.28184542924427314,1.0
covtype,sgd,always_nudge,0,54,25359,25395,36,100,NUDGE,False,0.7818454292442731,True,nan,0.5,0.5,0.5,80,1,0,80,10249,385,params,False,0,55,0.28184542924427314,0.0
covtype,sgd,always_nudge,0,55,25487,25495,8,100,NUDGE,False,0.7818454292442731,True,nan,1.0,1.0,1.0,80,1,0,80,10329,385,params,False,0,56,-0.21815457075572686,0.0
covtype,sgd,always_nudge,0,56,25775,25775,0,280,NUDGE,False,0.54,False,nan,1.0,1.0,1.0,224,1,0,224,10553,385,params,False,0,57,-0.45999999999999996,0.0
covtype,sgd,always_nudge,0,57,25871,25875,4,100,NUDGE,False,0.54,True,nan,0.8,0.0,0.0,80,1,0,80,10633,385,params,False,0,58,-0.26,0.95
covtype,sgd,always_nudge,0,58,26095,26095,0,220,NUDGE,False,0.4653179190751445,False,nan,1.0,1.0,1.0,176,1,0,176,10809,385,params,False,0,59,-0.5346820809248555,0.0
