dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,sgd,fixed_schedule,4,0,10639,10639,0,640,NUDGE,False,0.2884538459559243,False,nan,0.4135400516795865,0.3423403469915097,0.3423403469915097,512,1,0,512,512,385,params,False,0,1,-0.1250862057236622,0.6015625
covtype,sgd,fixed_schedule,4,1,11119,11119,0,480,NUDGE,False,0.34558823529411764,False,nan,0.42765567765567764,0.33669108669108666,0.33669108669108666,384,1,0,384,896,385,params,False,0,2,-0.08206744236156,0.6666666666666666
covtype,sgd,fixed_schedule,4,2,11407,11407,0,288,REBUILD,False,0.647287239779959,False,nan,0.3177933177933178,,0.4090909090909091,288000,1000,0,288,288896,385,params,True,2,0,0.3294939219866411,
covtype,sgd,fixed_schedule,4,3,12879,12879,0,1000,NUDGE,False,0.10714285714285715,False,nan,0.2140365002683843,0.1896135265700483,0.1896135265700483,800,1,0,800,289696,385,params,False,0,1,-0.10689364312552715,0.635
covtype,sgd,fixed_schedule,4,4,13903,13903,0,1000,NUDGE,False,0.10843537414965987,False,nan,0.03153551429413498,0.0659035409035409,0.0659035409035409,800,1,0,800,290496,385,params,False,0,2,0.07689985985552489,0.275
covtype,sgd,fixed_schedule,4,5,14959,14959,0,1000,REBUILD,False,0.04487179487179488,False,nan,0.143001443001443,,0.30952380952380953,1000000,1000,0,1000,1290496,385,params,True,1,0,-0.09812964812964811,
covtype,sgd,fixed_schedule,4,6,15279,15279,0,320,NUDGE,False,0.15809322033898304,False,nan,0.0,0.9017857142857143,0.9017857142857143,256,1,0,256,1290752,385,params,False,0,1,0.15809322033898304,1.0
covtype,sgd,fixed_schedule,4,7,15631,15631,0,352,NUDGE,False,0.6041553257122119,False,nan,0.4644808743169399,0.5792349726775957,0.5792349726775957,281,1,0,281,1291033,385,params,False,0,2,0.13967445139527196,0.4084507042253521
covtype,sgd,fixed_schedule,4,8,16719,16719,0,1000,REBUILD,False,0.5047904191616767,False,nan,0.23287671232876714,,0.40404040404040403,1000000,1000,0,1000,2291033,385,params,True,4,0,0.2719137068329095,
covtype,sgd,fixed_schedule,4,9,17231,17231,0,512,NUDGE,False,0.43678160919540227,False,nan,0.3284313725490196,0.46441539578794483,0.46441539578794483,409,1,0,409,2291442,385,params,False,0,1,0.10835023664638266,0.17475728155339806
covtype,sgd,fixed_schedule,4,10,17455,17455,0,224,NUDGE,False,0.6421957671957672,False,nan,0.5398706896551724,0.5021551724137931,0.5021551724137931,179,1,0,179,2291621,385,params,False,0,2,0.10232507754059483,0.2
covtype,sgd,fixed_schedule,4,11,17679,17679,0,224,REBUILD,False,0.6470588235294118,False,nan,0.5333333333333333,,0.75,224000,1000,0,224,2515621,385,params,True,4,0,0.11372549019607847,
covtype,sgd,fixed_schedule,4,12,17903,17903,0,224,NUDGE,False,0.4259259259259259,False,nan,0.696969696969697,0.44696969696969696,0.44696969696969696,179,1,0,179,2515800,385,params,False,0,1,-0.27104377104377114,0.6666666666666666
covtype,sgd,fixed_schedule,4,13,18095,18095,0,192,NUDGE,False,0.4259259259259259,True,nan,0.3888888888888889,0.3888888888888889,0.3888888888888889,153,1,0,153,2515953,385,params,False,0,2,0.03703703703703698,0.1794871794871795
covtype,sgd,fixed_schedule,4,14,18319,18319,0,224,REBUILD,False,0.5708255159474671,False,nan,0.4482758620689655,,0.5287356321839081,224000,1000,0,224,2739953,385,params,True,4,0,0.12254965387850159,
covtype,sgd,fixed_schedule,4,15,19215,19215,0,896,NUDGE,False,0.4827586206896552,False,nan,0.5095238095238095,0.6523809523809524,0.6523809523809524,716,1,0,716,2740669,385,params,False,0,1,-0.026765188834154297,0.08333333333333333
