dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,xgb,always_nudge,3,0,10735,10735,0,736,NUDGE,False,0.5871902648286145,False,nan,0.4443996008923867,0.4302402493301494,0.4302402493301494,2940,5,5,588,2940,105,rounds,True,3,1,0.14279066393622775,0.22972972972972974
covtype,xgb,always_nudge,3,1,11311,11311,0,576,NUDGE,False,0.3686910453059036,False,nan,0.7627329192546584,0.7708074534161491,0.7708074534161491,2300,5,5,460,5240,110,rounds,True,4,2,-0.3940418739487548,0.1724137931034483
covtype,xgb,always_nudge,3,2,12783,12783,0,1000,NUDGE,False,0.7971167141992913,False,nan,0.7131882553142396,0.6430417351677195,0.6430417351677195,4000,5,5,800,9240,115,rounds,False,0,3,0.08392845888505174,0.04
covtype,xgb,always_nudge,3,3,14159,14159,0,1000,NUDGE,False,0.7610643335215209,False,nan,0.6524326244069293,0.6266595636102835,0.6266595636102835,4000,5,5,800,13240,120,rounds,False,0,4,0.10863170911459163,0.1
covtype,xgb,always_nudge,3,4,15471,15471,0,1000,NUDGE,False,0.49784255086897883,False,nan,0.43449464706949736,0.6307385229540918,0.6307385229540918,4000,5,5,800,17240,125,rounds,True,1,5,0.06334790379948146,0.15
covtype,xgb,always_nudge,3,5,16655,16655,0,1000,NUDGE,False,0.6950140056022409,False,nan,0.5610827664399093,0.6407044799901943,0.6407044799901943,4000,5,5,800,21240,130,rounds,True,4,6,0.13393123916233163,0.16
covtype,xgb,always_nudge,3,6,18127,18127,0,1000,NUDGE,False,0.5746305418719212,False,nan,0.5922094508301404,0.7777777777777778,0.7777777777777778,4000,5,5,800,25240,135,rounds,True,4,7,-0.01757890895821923,0.155
covtype,xgb,always_nudge,3,7,18319,18319,0,192,NUDGE,False,0.5746305418719212,True,nan,0.5431034482758621,0.4971264367816092,0.4971264367816092,765,5,5,153,26005,140,rounds,True,5,8,0.0315270935960591,0.10256410256410256
covtype,xgb,always_nudge,3,8,18543,18543,0,224,NUDGE,False,0.7076736788838285,False,nan,0.5657657657657658,0.5927927927927928,0.5927927927927928,895,5,5,179,26900,145,rounds,True,4,9,0.14190791311806272,0.15555555555555556
covtype,xgb,always_nudge,3,9,18767,18767,0,224,NUDGE,False,0.6270537454747981,False,nan,0.5444444444444444,0.5694444444444444,0.5694444444444444,895,5,5,179,27795,150,rounds,True,4,10,0.08260930103035369,0.06666666666666667
