dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,xgb,mechanism_selector,0,0,10735,10735,0,736,REBUILD,False,0.5871902648286145,False,0.5671902648286145,0.4443996008923867,0.4302402493301494,1.0,76540,105,105,1324,76540,100,rounds,True,4,0,0.14279066393622775,0.22972972972972974
covtype,xgb,mechanism_selector,0,1,12111,12111,0,1000,NUDGE,False,0.48920218108767405,False,0.46920218108767403,0.2906619138607449,0.5007173108793546,0.5007173108793546,4000,5,5,800,80540,105,rounds,True,1,1,0.19854026722692913,0.51
covtype,xgb,mechanism_selector,0,2,13487,13487,0,1000,SKIP,False,0.25087301587301586,False,0.23087301587301587,0.47605389442598744,,0.47605389442598744,0,0,0,0,80540,105,rounds,False,0,1,-0.2251808785529716,
covtype,xgb,mechanism_selector,0,3,14447,14447,0,960,NUDGE,False,0.3627725789332367,False,0.3427725789332367,0.31965063803299093,0.35892079053843756,0.35892079053843756,3840,5,5,768,84380,110,rounds,True,1,2,0.04312194090024579,0.34375
covtype,xgb,mechanism_selector,0,4,14799,14799,0,352,SKIP,False,0.42028626034924993,False,0.4002862603492499,0.7916666666666666,,0.7916666666666666,0,0,0,0,84380,110,rounds,False,0,2,-0.3713804063174167,
covtype,xgb,mechanism_selector,0,5,15247,15247,0,448,REBUILD,False,0.690634018984702,False,0.670634018984702,0.17989864864864866,0.5472972972972974,1.0,46590,105,105,806,130970,100,rounds,True,2,0,0.5107353703360533,0.3888888888888889
covtype,xgb,mechanism_selector,0,6,16527,16527,0,1000,REBUILD,False,0.8556547619047619,False,0.8356547619047618,0.2805907172995781,0.579077716305072,1.0,104000,105,105,1800,234970,100,rounds,True,8,0,0.5750640446051838,0.235
covtype,xgb,mechanism_selector,0,7,17231,17231,0,704,REBUILD,False,0.7290552584670232,False,0.7090552584670232,0.3950617283950617,0.5478395061728395,1.0,73215,105,105,1267,308185,100,rounds,True,8,0,0.33399353007196153,0.07092198581560284
covtype,xgb,mechanism_selector,0,8,18095,18095,0,864,REBUILD,False,0.7890211640211641,False,0.769021164021164,0.6,0.7194444444444444,1.0,89855,105,105,1555,398040,100,rounds,True,8,0,0.1890211640211641,0.06936416184971098
covtype,xgb,mechanism_selector,0,9,18991,18991,0,896,NUDGE,False,0.9241400875547217,False,0.9041400875547216,0.8922756531616812,0.9473053136438218,0.9473053136438218,3580,5,5,716,401620,105,rounds,True,4,1,0.03186443439304043,0.03888888888888889
