dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
covtype,xgb,never_adapt,1,0,10735,10735,0,736,SKIP,False,0.5871902648286145,False,nan,0.4443996008923867,,0.4443996008923867,0,0,0,0,0,100,rounds,False,0,0,0.14279066393622775,
covtype,xgb,never_adapt,1,1,11343,11343,0,608,SKIP,False,0.403984563216047,False,nan,0.7411263318112633,,0.7411263318112633,0,0,0,0,0,100,rounds,False,0,0,-0.33714176859521633,
covtype,xgb,never_adapt,1,2,12815,12815,0,1000,SKIP,False,0.7448543170275327,False,nan,0.7930147668823627,,0.7930147668823627,0,0,0,0,0,100,rounds,False,0,0,-0.048160449854830034,
covtype,xgb,never_adapt,1,3,14127,14127,0,1000,SKIP,False,0.7705402856966611,False,nan,0.7308187134502925,,0.7308187134502925,0,0,0,0,0,100,rounds,False,0,0,0.03972157224636863,
covtype,xgb,never_adapt,1,4,15183,15183,0,1000,SKIP,False,0.6031439593035811,False,nan,0.40641941661405323,,0.40641941661405323,0,0,0,0,0,100,rounds,False,0,0,0.19672454268952788,
covtype,xgb,never_adapt,1,5,17071,17071,0,1000,SKIP,False,0.3654970760233918,False,nan,0.48981657179000626,,0.48981657179000626,0,0,0,0,0,100,rounds,False,0,0,-0.12431949576661444,
covtype,xgb,never_adapt,1,6,17231,17231,0,160,SKIP,False,0.3654970760233918,True,nan,0.4,,0.4,0,0,0,0,0,100,rounds,False,0,0,-0.0345029239766082,
covtype,xgb,never_adapt,1,7,17391,17391,0,160,SKIP,False,0.3654970760233918,True,nan,1.0,,1.0,0,0,0,0,0,100,rounds,False,0,0,-0.6345029239766082,
covtype,xgb,never_adapt,1,8,17583,17583,0,192,SKIP,False,0.3654970760233918,True,nan,0.9230769230769231,,0.9230769230769231,0,0,0,0,0,100,rounds,False,0,0,-0.5575798470535314,
covtype,xgb,never_adapt,1,9,17711,17711,0,128,SKIP,False,0.3654970760233918,True,nan,0.34615384615384615,,0.34615384615384615,0,0,0,0,0,100,rounds,False,0,0,0.019343229869545675,
