dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,gnb,always_nudge,0,0,5362,5362,0,832,NUDGE,False,0.772877618522602,False,nan,0.6227544910179641,0.6227544910179641,0.6227544910179641,665,1,0,665,665,34,params,False,0,1,0.15012312750463785,0.0
elec2,gnb,always_nudge,0,1,5522,5522,0,160,NUDGE,False,0.772877618522602,True,nan,1.0,1.0,1.0,128,1,0,128,793,34,params,False,0,2,-0.22712238147739805,0.0
elec2,gnb,always_nudge,0,2,6674,6674,0,1000,NUDGE,False,0.865,False,nan,0.61,0.62,0.62,800,1,0,800,1593,34,params,False,0,3,0.255,0.01
elec2,gnb,always_nudge,0,3,6962,6962,0,288,NUDGE,False,0.83,False,nan,0.39655172413793105,0.39655172413793105,0.39655172413793105,230,1,0,230,1823,34,params,False,0,4,0.4334482758620689,0.0
elec2,gnb,always_nudge,0,4,7282,7282,0,320,NUDGE,False,0.72,False,nan,0.28125,0.28125,0.28125,256,1,0,256,2079,34,params,False,0,5,0.43875,0.0
elec2,gnb,always_nudge,0,5,7794,7794,0,512,NUDGE,False,0.51,False,nan,0.8155339805825242,0.7961165048543689,0.7961165048543689,409,1,0,409,2488,34,params,False,0,6,-0.30553398058252423,0.05825242718446602
elec2,gnb,always_nudge,0,6,8658,8658,0,864,NUDGE,False,0.875,False,nan,0.7687861271676301,0.7630057803468208,0.7630057803468208,691,1,0,691,3179,34,params,False,0,7,0.10621387283236994,0.017341040462427744
elec2,gnb,always_nudge,0,7,9458,9458,0,800,NUDGE,False,0.86,False,nan,0.79375,0.8,0.8,640,1,0,640,3819,34,params,False,0,8,0.06625000000000003,0.00625
elec2,gnb,always_nudge,0,8,9970,9970,0,512,NUDGE,False,0.88,False,nan,0.6601941747572816,0.6699029126213593,0.6699029126213593,409,1,0,409,4228,34,params,False,0,9,0.2198058252427184,0.009708737864077669
elec2,gnb,always_nudge,0,9,10386,10386,0,416,NUDGE,False,0.875,False,nan,0.5714285714285714,0.6190476190476191,0.6190476190476191,332,1,0,332,4560,34,params,False,0,10,0.3035714285714286,0.047619047619047616
