dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,gnb,always_rebuild,0,0,5362,5362,0,832,REBUILD,False,0.772877618522602,False,nan,0.6227544910179641,,0.6526946107784432,832,1,0,832,832,34,params,False,0,0,0.15012312750463785,
elec2,gnb,always_rebuild,0,1,5650,5650,0,288,REBUILD,False,0.8,False,nan,0.4827586206896552,,0.9137931034482759,288,1,0,288,1120,34,params,False,0,0,0.31724137931034485,
elec2,gnb,always_rebuild,0,2,5874,5874,0,224,REBUILD,False,0.88,False,nan,0.6,,0.8444444444444444,224,1,0,224,1344,34,params,False,0,0,0.28,
elec2,gnb,always_rebuild,0,3,6482,6482,0,608,REBUILD,False,0.825,False,nan,0.5245901639344263,,0.8770491803278688,608,1,0,608,1952,34,params,False,0,0,0.3004098360655737,
elec2,gnb,always_rebuild,0,4,7090,7090,0,608,REBUILD,False,0.7,False,nan,0.5245901639344263,,0.8688524590163934,608,1,0,608,2560,34,params,False,0,0,0.1754098360655737,
elec2,gnb,always_rebuild,0,5,7378,7378,0,288,REBUILD,False,0.475,False,nan,0.7413793103448276,,0.9137931034482759,288,1,0,288,2848,34,params,False,0,0,-0.26637931034482765,
elec2,gnb,always_rebuild,0,6,7986,7986,0,608,REBUILD,False,0.835,False,nan,0.6147540983606558,,0.9098360655737705,608,1,0,608,3456,34,params,False,0,0,0.2202459016393442,
elec2,gnb,always_rebuild,0,7,8498,8498,0,512,REBUILD,False,0.92,False,nan,0.7669902912621359,,0.7669902912621359,512,1,0,512,3968,34,params,False,0,0,0.15300970873786413,
elec2,gnb,always_rebuild,0,8,9010,9010,0,512,REBUILD,False,0.675,False,nan,0.2815533980582524,,0.8446601941747572,512,1,0,512,4480,34,params,False,0,0,0.39344660194174763,
elec2,gnb,always_rebuild,0,9,9298,9298,0,288,REBUILD,False,0.91,False,nan,0.43103448275862066,,0.8103448275862069,288,1,0,288,4768,34,params,False,0,0,0.47896551724137937,
elec2,gnb,always_rebuild,0,10,9586,9586,0,288,REBUILD,False,0.725,False,nan,0.25862068965517243,,0.9482758620689655,288,1,0,288,5056,34,params,False,0,0,0.46637931034482755,
elec2,gnb,always_rebuild,0,11,10258,10258,0,672,REBUILD,False,0.775,False,nan,0.5333333333333333,,0.837037037037037,672,1,0,672,5728,34,params,False,0,0,0.2416666666666667,
elec2,gnb,always_rebuild,0,12,10834,10834,0,576,REBUILD,False,0.84,False,nan,0.6896551724137931,,0.7413793103448276,576,1,0,576,6304,34,params,False,0,0,0.15034482758620682,
elec2,gnb,always_rebuild,0,13,11570,11570,0,736,REBUILD,False,0.72,False,nan,0.6148648648648649,,0.7635135135135135,736,1,0,736,7040,34,params,False,0,0,0.10513513513513506,
elec2,gnb,always_rebuild,0,14,11794,11794,0,224,REBUILD,False,0.855,False,nan,0.4888888888888889,,0.6444444444444445,224,1,0,224,7264,34,params,False,0,0,0.3661111111111111,
elec2,gnb,always_rebuild,0,15,12338,12338,0,544,REBUILD,False,0.775,False,nan,0.48623853211009177,,0.8256880733944955,544,1,0,544,7808,34,params,False,0,0,0.28876146788990825,
elec2,gnb,always_rebuild,0,16,12594,12594,0,256,REBUILD,False,0.795,False,nan,0.4230769230769231,,0.8461538461538461,256,1,0,256,8064,34,params,False,0,0,0.37192307692307697,
elec2,gnb,always_rebuild,0,17,14162,14162,0,1000,REBUILD,False,0.51,False,nan,0.6,,0.73,1000,1,0,1000,9064,34,params,False,0,0,-0.08999999999999997,
elec2,gnb,always_rebuild,0,18,14450,14450,0,288,REBUILD,False,0.79,False,nan,0.3448275862068966,,0.8448275862068966,288,1,0,288,9352,34,params,False,0,0,0.44517241379310346,
elec2,gnb,always_rebuild,0,19,15058,15058,0,608,REBUILD,False,0.89,False,nan,0.5573770491803278,,0.8114754098360656,608,1,0,608,9960,34,params,False,0,0,0.3326229508196722,
elec2,gnb,always_rebuild,0,20,15698,15698,0,640,REBUILD,False,0.79,False,nan,0.6953125,,0.65625,640,1,0,640,10600,34,params,False,0,0,0.09468750000000004,
elec2,gnb,always_rebuild,0,21,16722,16722,0,1000,REBUILD,False,0.44,False,nan,0.305,,0.915,1000,1,0,1000,11600,34,params,False,0,0,0.135,
elec2,gnb,always_rebuild,0,22,17330,17330,0,608,REBUILD,False,0.875,False,nan,0.6311475409836066,,0.860655737704918,608,1,0,608,12208,34,params,False,0,0,0.2438524590163934,
elec2,gnb,always_rebuild,0,23,17586,17586,0,256,REBUILD,False,0.685,False,nan,0.9423076923076923,,0.8076923076923077,256,1,0,256,12464,34,params,False,0,0,-0.25730769230769224,
elec2,gnb,always_rebuild,0,24,18194,18194,0,608,REBUILD,False,0.835,False,nan,0.6557377049180327,,0.7622950819672131,608,1,0,608,13072,34,params,False,0,0,0.17926229508196723,
elec2,gnb,always_rebuild,0,25,18802,18802,0,608,REBUILD,False,0.865,False,nan,0.6311475409836066,,0.9344262295081968,608,1,0,608,13680,34,params,False,0,0,0.2338524590163934,
elec2,gnb,always_rebuild,0,26,19090,19090,0,288,REBUILD,False,0.67,False,nan,0.2413793103448276,,0.3793103448275862,288,1,0,288,13968,34,params,False,0,0,0.4286206896551724,
elec2,gnb,always_rebuild,0,27,19250,19250,0,160,REBUILD,False,0.67,True,nan,0.84375,,0.75,160,1,0,160,14128,34,params,False,0,0,-0.17374999999999996,
elec2,gnb,always_rebuild,0,28,20210,20210,0,960,REBUILD,False,0.58,False,nan,0.7864583333333334,,0.7291666666666666,960,1,0,960,15088,34,params,False,0,0,-0.2064583333333334,
elec2,gnb,always_rebuild,0,29,20498,20498,0,288,REBUILD,False,0.33,False,nan,0.5517241379310345,,0.46551724137931033,288,1,0,288,15376,34,params,False,0,0,-0.22172413793103446,
elec2,gnb,always_rebuild,0,30,21042,21042,0,544,REBUILD,False,0.61,False,nan,0.3577981651376147,,0.8990825688073395,544,1,0,544,15920,34,params,False,0,0,0.2522018348623853,
elec2,gnb,always_rebuild,0,31,21714,21714,0,672,REBUILD,False,0.83,False,nan,0.6592592592592592,,0.7185185185185186,672,1,0,672,16592,34,params,False,0,0,0.17074074074074075,
elec2,gnb,always_rebuild,0,32,22514,22514,0,800,REBUILD,False,0.815,False,nan,0.63125,,0.74375,800,1,0,800,17392,34,params,False,0,0,0.18374999999999997,
elec2,gnb,always_rebuild,0,33,23378,23378,0,864,REBUILD,False,0.655,False,nan,0.791907514450867,,0.8092485549132948,864,1,0,864,18256,34,params,False,0,0,-0.13690751445086702,
elec2,gnb,always_rebuild,0,34,23730,23730,0,352,REBUILD,False,0.57,False,nan,0.9859154929577465,,0.9014084507042254,352,1,0,352,18608,34,params,False,0,0,-0.41591549295774655,
elec2,gnb,always_rebuild,0,35,23922,23922,0,192,REBUILD,False,0.57,True,nan,0.3076923076923077,,0.8974358974358975,192,1,0,192,18800,34,params,False,0,0,0.26230769230769224,
elec2,gnb,always_rebuild,0,36,24274,24274,0,352,REBUILD,False,0.645,False,nan,0.2676056338028169,,0.8732394366197183,352,1,0,352,19152,34,params,False,0,0,0.37739436619718314,
elec2,gnb,always_rebuild,0,37,24530,24530,0,256,REBUILD,False,0.775,False,nan,0.38461538461538464,,0.38461538461538464,256,1,0,256,19408,34,params,False,0,0,0.3903846153846154,
elec2,gnb,always_rebuild,0,38,24786,24786,0,256,REBUILD,False,0.7,False,nan,0.40384615384615385,,0.9038461538461539,256,1,0,256,19664,34,params,False,0,0,0.2961538461538461,
elec2,gnb,always_rebuild,0,39,25202,25202,0,416,REBUILD,False,0.745,False,nan,0.4642857142857143,,0.7261904761904762,416,1,0,416,20080,34,params,False,0,0,0.2807142857142857,
elec2,gnb,always_rebuild,0,40,25554,25554,0,352,REBUILD,False,0.485,False,nan,0.9154929577464789,,0.9154929577464789,352,1,0,352,20432,34,params,False,0,0,-0.4304929577464789,
elec2,gnb,always_rebuild,0,41,25874,25874,0,320,REBUILD,False,0.845,False,nan,0.390625,,0.390625,320,1,0,320,20752,34,params,False,0,0,0.454375,
elec2,gnb,always_rebuild,0,42,26130,26130,0,256,REBUILD,False,0.925,False,nan,0.5384615384615384,,0.9038461538461539,256,1,0,256,21008,34,params,False,0,0,0.3865384615384616,
elec2,gnb,always_rebuild,0,43,27058,27058,0,928,REBUILD,False,0.645,False,nan,0.40860215053763443,,0.9247311827956989,928,1,0,928,21936,34,params,False,0,0,0.23639784946236558,
elec2,gnb,always_rebuild,0,44,27378,27378,0,320,REBUILD,False,0.775,False,nan,0.5,,0.875,320,1,0,320,22256,34,params,False,0,0,0.275,
elec2,gnb,always_rebuild,0,45,27602,27602,0,224,REBUILD,False,0.7,False,nan,0.3333333333333333,,0.6888888888888889,224,1,0,224,22480,34,params,False,0,0,0.36666666666666664,
elec2,gnb,always_rebuild,0,46,27826,27826,0,224,REBUILD,False,0.455,False,nan,0.7333333333333333,,0.7777777777777778,224,1,0,224,22704,34,params,False,0,0,-0.27833333333333327,
elec2,gnb,always_rebuild,0,47,28466,28466,0,640,REBUILD,False,0.725,False,nan,0.4140625,,0.9296875,640,1,0,640,23344,34,params,False,0,0,0.3109375,
elec2,gnb,always_rebuild,0,48,28786,28786,0,320,REBUILD,False,0.82,False,nan,0.515625,,0.5,320,1,0,320,23664,34,params,False,0,0,0.30437499999999995,
elec2,gnb,always_rebuild,0,49,29938,29938,0,1000,REBUILD,False,0.55,False,nan,0.27,,0.815,1000,1,0,1000,24664,34,params,False,0,0,0.28,
elec2,gnb,always_rebuild,0,50,30290,30290,0,352,REBUILD,False,0.765,False,nan,0.39436619718309857,,0.4507042253521127,352,1,0,352,25016,34,params,False,0,0,0.37063380281690145,
elec2,gnb,always_rebuild,0,51,30674,30674,0,384,REBUILD,False,0.68,False,nan,0.36363636363636365,,0.922077922077922,384,1,0,384,25400,34,params,False,0,0,0.3163636363636364,
elec2,gnb,always_rebuild,0,52,31026,31026,0,352,REBUILD,False,0.775,False,nan,0.4225352112676056,,0.38028169014084506,352,1,0,352,25752,34,params,False,0,0,0.3524647887323944,
elec2,gnb,always_rebuild,0,53,31474,31474,0,448,REBUILD,False,0.785,False,nan,0.5111111111111111,,0.7777777777777778,448,1,0,448,26200,34,params,False,0,0,0.27388888888888896,
elec2,gnb,always_rebuild,0,54,31954,31954,0,480,REBUILD,False,0.525,False,nan,0.4270833333333333,,0.53125,480,1,0,480,26680,34,params,False,0,0,0.09791666666666671,
elec2,gnb,always_rebuild,0,55,32210,32210,0,256,REBUILD,False,0.825,False,nan,0.34615384615384615,,0.3269230769230769,256,1,0,256,26936,34,params,False,0,0,0.4788461538461538,
elec2,gnb,always_rebuild,0,56,32850,32850,0,640,REBUILD,False,0.595,False,nan,0.3203125,,0.7734375,640,1,0,640,27576,34,params,False,0,0,0.2746875,
elec2,gnb,always_rebuild,0,57,33010,33010,0,160,REBUILD,False,0.595,True,nan,0.25,,0.875,160,1,0,160,27736,34,params,False,0,0,0.345,
elec2,gnb,always_rebuild,0,58,33490,33490,0,480,REBUILD,False,0.835,False,nan,0.4895833333333333,,0.7083333333333334,480,1,0,480,28216,34,params,False,0,0,0.34541666666666665,
elec2,gnb,always_rebuild,0,59,33874,33874,0,384,REBUILD,False,0.675,False,nan,0.987012987012987,,0.987012987012987,384,1,0,384,28600,34,params,False,0,0,-0.31201298701298696,
elec2,gnb,always_rebuild,0,60,34002,34002,0,128,REBUILD,False,0.675,True,nan,0.46153846153846156,,1.0,128,1,0,128,28728,34,params,False,0,0,0.21346153846153848,
elec2,gnb,always_rebuild,0,61,34130,34130,0,128,REBUILD,False,0.675,True,nan,0.9615384615384616,,0.9615384615384616,128,1,0,128,28856,34,params,False,0,0,-0.2865384615384615,
elec2,gnb,always_rebuild,0,62,34354,34354,0,224,REBUILD,False,0.33,False,nan,0.8888888888888888,,0.5111111111111111,224,1,0,224,29080,34,params,False,0,0,-0.5588888888888888,
elec2,gnb,always_rebuild,0,63,37618,37618,0,1000,REBUILD,False,0.725,False,nan,0.82,,0.86,1000,1,0,1000,30080,34,params,False,0,0,-0.09499999999999997,
elec2,gnb,always_rebuild,0,64,38162,38162,0,544,REBUILD,False,0.695,False,nan,0.47706422018348627,,0.9174311926605505,544,1,0,544,30624,34,params,False,0,0,0.2179357798165137,
elec2,gnb,always_rebuild,0,65,39154,39154,0,992,REBUILD,False,0.805,False,nan,0.6984924623115578,,0.7135678391959799,992,1,0,992,31616,34,params,False,0,0,0.10650753768844223,
elec2,gnb,always_rebuild,0,66,39538,39538,0,384,REBUILD,False,0.49,False,nan,0.8441558441558441,,0.8311688311688312,384,1,0,384,32000,34,params,False,0,0,-0.3541558441558441,
elec2,gnb,always_rebuild,0,67,40658,40658,0,1000,REBUILD,False,0.745,False,nan,0.66,,0.84,1000,1,0,1000,33000,34,params,False,0,0,0.08499999999999996,
elec2,gnb,always_rebuild,0,68,41458,41458,0,800,REBUILD,False,0.85,False,nan,0.7125,,0.725,800,1,0,800,33800,34,params,False,0,0,0.13749999999999996,
elec2,gnb,always_rebuild,0,69,42034,42034,0,576,REBUILD,False,0.795,False,nan,0.646551724137931,,0.7068965517241379,576,1,0,576,34376,34,params,False,0,0,0.148448275862069,
elec2,gnb,always_rebuild,0,70,42258,42258,0,224,REBUILD,False,0.79,False,nan,0.4666666666666667,,0.8444444444444444,224,1,0,224,34600,34,params,False,0,0,0.32333333333333336,
elec2,gnb,always_rebuild,0,71,43346,43346,0,1000,REBUILD,False,0.745,False,nan,0.72,,0.62,1000,1,0,1000,35600,34,params,False,0,0,0.025000000000000022,
elec2,gnb,always_rebuild,0,72,43890,43890,0,544,REBUILD,False,0.585,False,nan,0.4036697247706422,,0.8623853211009175,544,1,0,544,36144,34,params,False,0,0,0.18133027522935774,
elec2,gnb,always_rebuild,0,73,44178,44178,0,288,REBUILD,False,0.685,False,nan,0.9655172413793104,,0.9310344827586207,288,1,0,288,36432,34,params,False,0,0,-0.28051724137931033,
elec2,gnb,always_rebuild,0,74,44370,44370,0,192,REBUILD,False,0.685,True,nan,0.23076923076923078,,0.20512820512820512,192,1,0,192,36624,34,params,False,0,0,0.45423076923076927,
elec2,gnb,always_rebuild,0,75,44594,44594,0,224,REBUILD,False,0.875,False,nan,1.0,,1.0,224,1,0,224,36848,34,params,False,0,0,-0.125,
elec2,gnb,always_rebuild,0,76,44690,44694,4,100,REBUILD,False,0.875,True,nan,0.2,,0.75,100,1,0,100,36948,34,params,False,0,0,0.675,
