dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,gnb,fixed_schedule,2,0,5362,5362,0,832,NUDGE,False,0.772877618522602,False,nan,0.6227544910179641,0.6227544910179641,0.6227544910179641,665,1,0,665,665,34,params,False,0,1,0.15012312750463785,0.0
elec2,gnb,fixed_schedule,2,1,5522,5522,0,160,NUDGE,False,0.772877618522602,True,nan,1.0,1.0,1.0,128,1,0,128,793,34,params,False,0,2,-0.22712238147739805,0.0
elec2,gnb,fixed_schedule,2,2,6674,6674,0,1000,REBUILD,False,0.865,False,nan,0.61,,0.74,1000,1,0,1000,1793,34,params,False,0,0,0.255,
elec2,gnb,fixed_schedule,2,3,7122,7122,0,448,NUDGE,False,0.94,False,nan,0.5888888888888889,0.7777777777777778,0.7777777777777778,358,1,0,358,2151,34,params,False,0,1,0.35111111111111104,0.4777777777777778
elec2,gnb,fixed_schedule,2,4,7570,7570,0,448,NUDGE,False,0.48,False,nan,0.7444444444444445,0.9222222222222223,0.9222222222222223,358,1,0,358,2509,34,params,False,0,2,-0.2644444444444445,0.17777777777777778
elec2,gnb,fixed_schedule,2,5,8562,8562,0,992,REBUILD,False,0.865,False,nan,0.6834170854271356,,0.8241206030150754,992,1,0,992,3501,34,params,False,0,0,0.18158291457286435,
elec2,gnb,fixed_schedule,2,6,9074,9074,0,512,NUDGE,False,0.705,False,nan,0.34951456310679613,0.8737864077669902,0.8737864077669902,409,1,0,409,3910,34,params,False,0,1,0.35548543689320383,0.7766990291262136
elec2,gnb,fixed_schedule,2,7,9298,9298,0,224,NUDGE,False,0.87,False,nan,0.3111111111111111,0.3111111111111111,0.3111111111111111,179,1,0,179,4089,34,params,False,0,2,0.5588888888888889,0.0
elec2,gnb,fixed_schedule,2,8,9650,9650,0,352,REBUILD,False,0.79,False,nan,0.6056338028169014,,0.8591549295774648,352,1,0,352,4441,34,params,False,0,0,0.18436619718309866,
elec2,gnb,fixed_schedule,2,9,9970,9970,0,320,NUDGE,False,0.83,False,nan,0.546875,0.65625,0.65625,256,1,0,256,4697,34,params,False,0,1,0.28312499999999996,0.109375
elec2,gnb,fixed_schedule,2,10,10514,10514,0,544,NUDGE,False,0.325,False,nan,0.6513761467889908,0.7981651376146789,0.7981651376146789,435,1,0,435,5132,34,params,False,0,2,-0.3263761467889908,0.47706422018348627
elec2,gnb,fixed_schedule,2,11,11506,11506,0,992,REBUILD,False,0.83,False,nan,0.6934673366834171,,0.914572864321608,992,1,0,992,6124,34,params,False,0,0,0.13653266331658287,
elec2,gnb,fixed_schedule,2,12,11826,11826,0,320,NUDGE,False,0.335,False,nan,0.90625,0.5625,0.5625,256,1,0,256,6380,34,params,False,0,1,-0.57125,0.53125
elec2,gnb,fixed_schedule,2,13,12242,12242,0,416,NUDGE,False,0.745,False,nan,0.39285714285714285,0.7380952380952381,0.7380952380952381,332,1,0,332,6712,34,params,False,0,2,0.35214285714285715,0.36904761904761907
elec2,gnb,fixed_schedule,2,14,12594,12594,0,352,REBUILD,False,0.805,False,nan,0.4084507042253521,,0.8169014084507042,352,1,0,352,7064,34,params,False,0,0,0.3965492957746479,
elec2,gnb,fixed_schedule,2,15,14162,14162,0,1000,NUDGE,False,0.51,False,nan,0.6,0.7,0.7,800,1,0,800,7864,34,params,False,0,1,-0.08999999999999997,0.47
elec2,gnb,fixed_schedule,2,16,15058,15058,0,896,NUDGE,False,0.8,False,nan,0.6833333333333333,0.6555555555555556,0.6555555555555556,716,1,0,716,8580,34,params,False,0,2,0.1166666666666667,0.08333333333333333
elec2,gnb,fixed_schedule,2,17,15698,15698,0,640,REBUILD,False,0.775,False,nan,0.59375,,0.65625,640,1,0,640,9220,34,params,False,0,0,0.18125000000000002,
elec2,gnb,fixed_schedule,2,18,16722,16722,0,1000,NUDGE,False,0.44,False,nan,0.305,0.895,0.895,800,1,0,800,10020,34,params,False,0,1,0.135,0.73
elec2,gnb,fixed_schedule,2,19,17426,17426,0,704,NUDGE,False,0.89,False,nan,0.6524822695035462,0.6524822695035462,0.6524822695035462,563,1,0,563,10583,34,params,False,0,2,0.23751773049645386,0.0
elec2,gnb,fixed_schedule,2,20,18546,18546,0,1000,REBUILD,False,0.51,False,nan,0.275,,0.885,1000,1,0,1000,11583,34,params,False,0,0,0.235,
elec2,gnb,fixed_schedule,2,21,19058,19058,0,512,NUDGE,False,0.96,False,nan,0.5825242718446602,0.6796116504854369,0.6796116504854369,409,1,0,409,11992,34,params,False,0,1,0.3774757281553398,0.0970873786407767
elec2,gnb,fixed_schedule,2,22,19250,19250,0,192,NUDGE,False,0.96,True,nan,0.9743589743589743,0.8717948717948718,0.8717948717948718,153,1,0,153,12145,34,params,False,0,2,-0.014358974358974375,0.10256410256410256
elec2,gnb,fixed_schedule,2,23,19826,19826,0,576,REBUILD,False,0.755,False,nan,0.5172413793103449,,0.5517241379310345,576,1,0,576,12721,34,params,False,0,0,0.23775862068965514,
elec2,gnb,fixed_schedule,2,24,20114,20114,0,288,NUDGE,False,0.79,False,nan,0.4827586206896552,0.3793103448275862,0.3793103448275862,230,1,0,230,12951,34,params,False,0,1,0.30724137931034484,0.10344827586206896
elec2,gnb,fixed_schedule,2,25,20530,20530,0,416,NUDGE,False,0.575,False,nan,0.38095238095238093,0.38095238095238093,0.38095238095238093,332,1,0,332,13283,34,params,False,0,2,0.19404761904761902,0.0
elec2,gnb,fixed_schedule,2,26,21170,21170,0,640,REBUILD,False,0.73,False,nan,0.890625,,0.8828125,640,1,0,640,13923,34,params,False,0,0,-0.16062500000000002,
elec2,gnb,fixed_schedule,2,27,21618,21618,0,448,NUDGE,False,0.885,False,nan,0.6444444444444445,0.6444444444444445,0.6444444444444445,358,1,0,358,14281,34,params,False,0,1,0.24055555555555552,0.0
elec2,gnb,fixed_schedule,2,28,22514,22514,0,896,NUDGE,False,0.87,False,nan,0.6777777777777778,0.7555555555555555,0.7555555555555555,716,1,0,716,14997,34,params,False,0,2,0.19222222222222218,0.1111111111111111
elec2,gnb,fixed_schedule,2,29,23378,23378,0,864,REBUILD,False,0.63,False,nan,0.7687861271676301,,0.8092485549132948,864,1,0,864,15861,34,params,False,0,0,-0.13878612716763006,
elec2,gnb,fixed_schedule,2,30,23730,23730,0,352,NUDGE,False,0.57,False,nan,0.9859154929577465,0.8873239436619719,0.8873239436619719,281,1,0,281,16142,34,params,False,0,1,-0.41591549295774655,0.09859154929577464
elec2,gnb,fixed_schedule,2,31,23922,23922,0,192,NUDGE,False,0.57,True,nan,0.3076923076923077,0.3076923076923077,0.3076923076923077,153,1,0,153,16295,34,params,False,0,2,0.26230769230769224,0.0
elec2,gnb,fixed_schedule,2,32,24050,24050,0,128,REBUILD,False,0.57,True,nan,1.0,,1.0,128,1,0,128,16423,34,params,False,0,0,-0.43000000000000005,
elec2,gnb,fixed_schedule,2,33,24530,24530,0,480,NUDGE,False,0.865,False,nan,0.5208333333333334,0.5,0.5,384,1,0,384,16807,34,params,False,0,1,0.3441666666666666,0.020833333333333332
elec2,gnb,fixed_schedule,2,34,24722,24722,0,192,NUDGE,False,0.865,True,nan,0.1282051282051282,0.15384615384615385,0.15384615384615385,153,1,0,153,16960,34,params,False,0,2,0.7367948717948718,0.02564102564102564
elec2,gnb,fixed_schedule,2,35,25330,25330,0,608,REBUILD,False,0.785,False,nan,0.5819672131147541,,0.7540983606557377,608,1,0,608,17568,34,params,False,0,0,0.20303278688524595,
elec2,gnb,fixed_schedule,2,36,25554,25554,0,224,NUDGE,False,0.74,False,nan,0.9111111111111111,0.9111111111111111,0.9111111111111111,179,1,0,179,17747,34,params,False,0,1,-0.1711111111111111,0.0
elec2,gnb,fixed_schedule,2,37,25874,25874,0,320,NUDGE,False,0.83,False,nan,0.390625,0.390625,0.390625,256,1,0,256,18003,34,params,False,0,2,0.43937499999999996,0.0
elec2,gnb,fixed_schedule,2,38,26194,26194,0,320,REBUILD,False,0.94,False,nan,0.6875,,0.6875,320,1,0,320,18323,34,params,False,0,0,0.25249999999999995,
elec2,gnb,fixed_schedule,2,39,27218,27218,0,1000,NUDGE,False,0.855,False,nan,0.755,0.76,0.76,800,1,0,800,19123,34,params,False,0,1,0.09999999999999998,0.095
elec2,gnb,fixed_schedule,2,40,27442,27442,0,224,NUDGE,False,0.62,False,nan,0.4,0.9777777777777777,0.9777777777777777,179,1,0,179,19302,34,params,False,0,2,0.21999999999999997,0.6222222222222222
elec2,gnb,fixed_schedule,2,41,27602,27602,0,160,REBUILD,False,0.62,True,nan,0.21875,,0.84375,160,1,0,160,19462,34,params,False,0,0,0.40125,
elec2,gnb,fixed_schedule,2,42,28466,28466,0,864,NUDGE,False,0.62,False,nan,0.8265895953757225,0.7976878612716763,0.7976878612716763,691,1,0,691,20153,34,params,False,0,1,-0.20658959537572252,0.3063583815028902
elec2,gnb,fixed_schedule,2,43,28626,28626,0,160,NUDGE,False,0.62,True,nan,1.0,1.0,1.0,128,1,0,128,20281,34,params,False,0,2,-0.38,0.0
elec2,gnb,fixed_schedule,2,44,29010,29010,0,384,REBUILD,False,0.635,False,nan,0.948051948051948,,0.922077922077922,384,1,0,384,20665,34,params,False,0,0,-0.313051948051948,
elec2,gnb,fixed_schedule,2,45,29938,29938,0,928,NUDGE,False,0.68,False,nan,0.7096774193548387,0.8333333333333334,0.8333333333333334,742,1,0,742,21407,34,params,False,0,1,-0.029677419354838697,0.1881720430107527
elec2,gnb,fixed_schedule,2,46,30290,30290,0,352,NUDGE,False,0.8,False,nan,0.39436619718309857,0.39436619718309857,0.39436619718309857,281,1,0,281,21688,34,params,False,0,2,0.4056338028169015,0.0
elec2,gnb,fixed_schedule,2,47,31378,31378,0,1000,REBUILD,False,0.715,False,nan,0.68,,0.675,1000,1,0,1000,22688,34,params,False,0,0,0.03499999999999992,
elec2,gnb,fixed_schedule,2,48,32114,32114,0,736,NUDGE,False,0.6,False,nan,0.831081081081081,0.8716216216216216,0.8716216216216216,588,1,0,588,23276,34,params,False,0,1,-0.23108108108108105,0.0945945945945946
elec2,gnb,fixed_schedule,2,49,32498,32498,0,384,NUDGE,False,0.58,False,nan,0.8441558441558441,0.8051948051948052,0.8051948051948052,307,1,0,307,23583,34,params,False,0,2,-0.26415584415584414,0.03896103896103896
elec2,gnb,fixed_schedule,2,50,32850,32850,0,352,REBUILD,False,0.435,False,nan,0.8450704225352113,,0.8873239436619719,352,1,0,352,23935,34,params,False,0,0,-0.41007042253521125,
elec2,gnb,fixed_schedule,2,51,33010,33010,0,160,NUDGE,False,0.435,True,nan,0.25,0.25,0.25,128,1,0,128,24063,34,params,False,0,1,0.185,0.0
elec2,gnb,fixed_schedule,2,52,33362,33362,0,352,NUDGE,False,0.76,False,nan,0.4647887323943662,0.4647887323943662,0.4647887323943662,281,1,0,281,24344,34,params,False,0,2,0.2952112676056338,0.056338028169014086
elec2,gnb,fixed_schedule,2,53,33906,33906,0,544,REBUILD,False,0.35,False,nan,0.08256880733944955,,0.9908256880733946,544,1,0,544,24888,34,params,False,0,0,0.26743119266055043,
elec2,gnb,fixed_schedule,2,54,34226,34226,0,320,NUDGE,False,0.47,False,nan,0.046875,0.125,0.125,256,1,0,256,25144,34,params,False,0,1,0.423125,0.078125
elec2,gnb,fixed_schedule,2,55,34450,34450,0,224,NUDGE,False,0.575,False,nan,0.7555555555555555,0.7555555555555555,0.7555555555555555,179,1,0,179,25323,34,params,False,0,2,-0.18055555555555558,0.0
elec2,gnb,fixed_schedule,2,56,34642,34642,0,192,REBUILD,False,0.575,True,nan,0.38461538461538464,,0.8461538461538461,192,1,0,192,25515,34,params,False,0,0,0.19038461538461532,
elec2,gnb,fixed_schedule,2,57,34898,34898,0,256,NUDGE,False,0.7,False,nan,0.5192307692307693,0.4807692307692308,0.4807692307692308,204,1,0,204,25719,34,params,False,0,1,0.18076923076923068,1.0
elec2,gnb,fixed_schedule,2,58,34994,34998,4,100,NUDGE,False,0.7,True,nan,0.9,0.7,0.7,80,1,0,80,25799,34,params,False,0,2,-0.20000000000000007,0.2
elec2,gnb,fixed_schedule,2,59,35122,35122,0,124,REBUILD,False,0.7,True,nan,0.28,,0.92,124,1,0,124,25923,34,params,False,0,0,0.41999999999999993,
elec2,gnb,fixed_schedule,2,60,35762,35762,0,640,NUDGE,False,0.575,False,nan,0.859375,0.828125,0.828125,512,1,0,512,26435,34,params,False,0,1,-0.28437500000000004,0.3125
elec2,gnb,fixed_schedule,2,61,35922,35922,0,160,NUDGE,False,0.575,True,nan,0.34375,0.34375,0.34375,128,1,0,128,26563,34,params,False,0,2,0.23124999999999996,0.0
elec2,gnb,fixed_schedule,2,62,36274,36274,0,352,REBUILD,False,0.31,False,nan,0.8028169014084507,,0.5915492957746479,352,1,0,352,26915,34,params,False,0,0,-0.49281690140845075,
elec2,gnb,fixed_schedule,2,63,37170,37170,0,896,NUDGE,False,0.66,False,nan,0.8111111111111111,0.8333333333333334,0.8333333333333334,716,1,0,716,27631,34,params,False,0,1,-0.15111111111111108,0.17777777777777778
elec2,gnb,fixed_schedule,2,64,37458,37458,0,288,NUDGE,False,0.825,False,nan,0.43103448275862066,0.5689655172413793,0.5689655172413793,230,1,0,230,27861,34,params,False,0,2,0.3939655172413793,0.13793103448275862
elec2,gnb,fixed_schedule,2,65,39154,39154,0,1000,REBUILD,False,0.84,False,nan,0.72,,0.705,1000,1,0,1000,28861,34,params,False,0,0,0.12,
