dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,gnb,mechanism_selector,1,0,5362,5362,0,832,REBUILD,False,0.772877618522602,False,0.7528776185226019,0.6227544910179641,0.6227544910179641,0.6526946107784432,1497,2,0,1497,1497,34,params,False,0,0,0.15012312750463785,0.0
elec2,gnb,mechanism_selector,1,1,5650,5650,0,288,REBUILD,False,0.8,False,0.78,0.4827586206896552,0.7413793103448276,0.9137931034482759,518,2,0,518,2015,34,params,False,0,0,0.31724137931034485,0.25862068965517243
elec2,gnb,mechanism_selector,1,2,5874,5874,0,224,REBUILD,True,0.88,False,0.86,0.6,,0.8444444444444444,224,1,0,224,2239,34,params,False,0,0,0.28,
elec2,gnb,mechanism_selector,1,3,6482,6482,0,608,NUDGE,False,0.825,False,0.8049999999999999,0.5245901639344263,0.9016393442622951,0.9016393442622951,486,1,0,486,2725,34,params,False,0,1,0.3004098360655737,0.47540983606557374
elec2,gnb,mechanism_selector,1,4,6802,6802,0,320,SKIP,False,0.715,False,0.695,0.96875,,0.96875,0,0,0,0,2725,34,params,False,0,1,-0.25375000000000003,
elec2,gnb,mechanism_selector,1,5,7122,7122,0,320,REBUILD,False,0.78,False,0.76,0.5,0.5,0.796875,576,2,0,576,3301,34,params,False,0,0,0.28,0.0
elec2,gnb,mechanism_selector,1,6,8530,8530,0,1000,NUDGE,False,0.725,False,0.705,0.65,0.77,0.77,800,1,0,800,4101,34,params,False,0,1,0.07499999999999996,0.12
elec2,gnb,mechanism_selector,1,7,9298,9298,0,768,REBUILD,False,0.98,False,0.96,0.7337662337662337,0.7337662337662337,0.8246753246753247,1382,2,0,1382,5483,34,params,False,0,0,0.24623376623376625,0.0
elec2,gnb,mechanism_selector,1,8,9458,9458,0,160,REBUILD,True,0.98,True,0.96,0.28125,,0.90625,160,1,0,160,5643,34,params,False,0,0,0.69875,
elec2,gnb,mechanism_selector,1,9,9650,9650,0,192,REBUILD,True,0.98,True,0.96,0.9743589743589743,,0.9743589743589743,192,1,0,192,5835,34,params,False,0,0,0.005641025641025643,
