dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,gnb,never_adapt,1,0,5362,5362,0,832,SKIP,False,0.772877618522602,False,nan,0.6227544910179641,,0.6227544910179641,0,0,0,0,0,34,params,False,0,0,0.15012312750463785,
elec2,gnb,never_adapt,1,1,5522,5522,0,160,SKIP,False,0.772877618522602,True,nan,1.0,,1.0,0,0,0,0,0,34,params,False,0,0,-0.22712238147739805,
elec2,gnb,never_adapt,1,2,6674,6674,0,1000,SKIP,False,0.865,False,nan,0.635,,0.635,0,0,0,0,0,34,params,False,0,0,0.22999999999999998,
elec2,gnb,never_adapt,1,3,6962,6962,0,288,SKIP,False,0.845,False,nan,0.41379310344827586,,0.41379310344827586,0,0,0,0,0,34,params,False,0,0,0.4312068965517241,
elec2,gnb,never_adapt,1,4,7282,7282,0,320,SKIP,False,0.74,False,nan,0.28125,,0.28125,0,0,0,0,0,34,params,False,0,0,0.45875,
elec2,gnb,never_adapt,1,5,7794,7794,0,512,SKIP,False,0.56,False,nan,0.8543689320388349,,0.8543689320388349,0,0,0,0,0,34,params,False,0,0,-0.29436893203883485,
elec2,gnb,never_adapt,1,6,8690,8690,0,896,SKIP,False,0.85,False,nan,0.7111111111111111,,0.7111111111111111,0,0,0,0,0,34,params,False,0,0,0.13888888888888884,
elec2,gnb,never_adapt,1,7,9458,9458,0,768,SKIP,False,0.925,False,nan,0.7727272727272727,,0.7727272727272727,0,0,0,0,0,34,params,False,0,0,0.15227272727272734,
elec2,gnb,never_adapt,1,8,10514,10514,0,1000,SKIP,False,0.905,False,nan,0.66,,0.66,0,0,0,0,0,34,params,False,0,0,0.245,
elec2,gnb,never_adapt,1,9,10802,10802,0,288,SKIP,False,0.88,False,nan,0.4827586206896552,,0.4827586206896552,0,0,0,0,0,34,params,False,0,0,0.3972413793103448,
elec2,gnb,never_adapt,1,10,11058,11058,0,256,SKIP,False,0.63,False,nan,0.8461538461538461,,0.8461538461538461,0,0,0,0,0,34,params,False,0,0,-0.21615384615384614,
elec2,gnb,never_adapt,1,11,11250,11250,0,192,SKIP,False,0.63,True,nan,0.9487179487179487,,0.9487179487179487,0,0,0,0,0,34,params,False,0,0,-0.3187179487179487,
elec2,gnb,never_adapt,1,12,11506,11506,0,256,SKIP,False,0.8,False,nan,0.34615384615384615,,0.34615384615384615,0,0,0,0,0,34,params,False,0,0,0.4538461538461539,
elec2,gnb,never_adapt,1,13,11826,11826,0,320,SKIP,False,0.665,False,nan,0.171875,,0.171875,0,0,0,0,0,34,params,False,0,0,0.49312500000000004,
elec2,gnb,never_adapt,1,14,12626,12626,0,800,SKIP,False,0.48,False,nan,0.3125,,0.3125,0,0,0,0,0,34,params,False,0,0,0.16749999999999998,
elec2,gnb,never_adapt,1,15,14162,14162,0,1000,SKIP,False,0.53,False,nan,0.4,,0.4,0,0,0,0,0,34,params,False,0,0,0.13,
elec2,gnb,never_adapt,1,16,14834,14834,0,672,SKIP,False,0.43,False,nan,0.3333333333333333,,0.3333333333333333,0,0,0,0,0,34,params,False,0,0,0.09666666666666668,
elec2,gnb,never_adapt,1,17,15378,15378,0,544,SKIP,False,0.35,False,nan,0.26605504587155965,,0.26605504587155965,0,0,0,0,0,34,params,False,0,0,0.08394495412844033,
