dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,rf,always_nudge,1,0,5362,5362,0,832,NUDGE,False,0.7894156560088202,False,nan,0.718562874251497,0.718562874251497,0.718562874251497,3325,5,5,665,3325,100,trees,False,0,1,0.07085278175732324,0.0
elec2,rf,always_nudge,1,1,5522,5522,0,160,NUDGE,False,0.7894156560088202,True,nan,1.0,1.0,1.0,640,5,5,128,3965,100,trees,False,0,2,-0.21058434399117976,0.0
elec2,rf,always_nudge,1,2,6290,6290,0,768,NUDGE,False,0.755,False,nan,0.6493506493506493,0.6363636363636364,0.6363636363636364,3070,5,5,614,7035,100,trees,False,0,3,0.10564935064935066,0.05194805194805195
elec2,rf,always_nudge,1,3,7186,7186,0,896,NUDGE,False,0.89,False,nan,0.6722222222222223,0.6777777777777778,0.6777777777777778,3580,5,5,716,10615,100,trees,False,0,4,0.21777777777777774,0.005555555555555556
elec2,rf,always_nudge,1,4,8210,8210,0,1000,NUDGE,False,0.75,False,nan,0.895,0.92,0.92,4000,5,5,800,14615,100,trees,False,0,5,-0.14500000000000002,0.025
elec2,rf,always_nudge,1,5,9298,9298,0,1000,NUDGE,False,0.865,False,nan,0.75,0.75,0.75,4000,5,5,800,18615,100,trees,False,0,6,0.11499999999999999,0.0
elec2,rf,always_nudge,1,6,9650,9650,0,352,NUDGE,False,0.815,False,nan,0.5633802816901409,0.5633802816901409,0.5633802816901409,1405,5,5,281,20020,100,trees,False,0,7,0.2516197183098591,0.0
elec2,rf,always_nudge,1,7,9874,9874,0,224,NUDGE,False,0.905,False,nan,0.5111111111111111,0.5111111111111111,0.5111111111111111,895,5,5,179,20915,100,trees,False,0,8,0.39388888888888896,0.0
elec2,rf,always_nudge,1,8,10898,10898,0,1000,NUDGE,False,0.91,False,nan,0.79,0.805,0.805,4000,5,5,800,24915,100,trees,False,0,9,0.12,0.025
elec2,rf,always_nudge,1,9,11570,11570,0,672,NUDGE,False,0.925,False,nan,0.674074074074074,0.674074074074074,0.674074074074074,2685,5,5,537,27600,100,trees,False,0,10,0.250925925925926,0.0
elec2,rf,always_nudge,1,10,11890,11890,0,320,NUDGE,False,0.895,False,nan,0.5625,0.5625,0.5625,1280,5,5,256,28880,100,trees,False,0,11,0.3325,0.0
elec2,rf,always_nudge,1,11,12594,12594,0,704,NUDGE,False,0.845,False,nan,0.6382978723404256,0.6382978723404256,0.6382978723404256,2815,5,5,563,31695,100,trees,False,0,12,0.2067021276595744,0.0
elec2,rf,always_nudge,1,12,14066,14066,0,1000,NUDGE,False,0.92,False,nan,0.85,0.855,0.855,4000,5,5,800,35695,100,trees,False,0,13,0.07000000000000006,0.005
elec2,rf,always_nudge,1,13,14962,14962,0,896,NUDGE,False,0.79,False,nan,0.7,0.7,0.7,3580,5,5,716,39275,100,trees,False,0,14,0.09000000000000008,0.0
elec2,rf,always_nudge,1,14,15314,15314,0,352,NUDGE,False,0.645,False,nan,0.9859154929577465,0.9859154929577465,0.9859154929577465,1405,5,5,281,40680,100,trees,False,0,15,-0.3409154929577465,0.0
elec2,rf,always_nudge,1,15,15730,15730,0,416,NUDGE,False,0.77,False,nan,0.47619047619047616,0.47619047619047616,0.47619047619047616,1660,5,5,332,42340,100,trees,False,0,16,0.29380952380952385,0.0
elec2,rf,always_nudge,1,16,16178,16178,0,448,NUDGE,False,0.575,False,nan,0.9111111111111111,0.9111111111111111,0.9111111111111111,1790,5,5,358,44130,100,trees,False,0,17,-0.33611111111111114,0.022222222222222223
elec2,rf,always_nudge,1,17,17682,17682,0,1000,NUDGE,False,0.805,False,nan,0.94,0.92,0.92,4000,5,5,800,48130,100,trees,False,0,18,-0.1349999999999999,0.02
elec2,rf,always_nudge,1,18,18194,18194,0,512,NUDGE,False,0.91,False,nan,0.6504854368932039,0.6504854368932039,0.6504854368932039,2045,5,5,409,50175,100,trees,False,0,19,0.2595145631067961,0.0
elec2,rf,always_nudge,1,19,19058,19058,0,864,NUDGE,False,0.81,False,nan,0.7514450867052023,0.7572254335260116,0.7572254335260116,3455,5,5,691,53630,100,trees,False,0,20,0.058554913294797784,0.028901734104046242
elec2,rf,always_nudge,1,20,19250,19250,0,192,NUDGE,False,0.81,True,nan,0.7692307692307693,0.8205128205128205,0.8205128205128205,765,5,5,153,54395,100,trees,False,0,21,0.04076923076923078,0.05128205128205128
elec2,rf,always_nudge,1,21,19474,19474,0,224,NUDGE,False,0.81,False,nan,0.3111111111111111,0.3111111111111111,0.3111111111111111,895,5,5,179,55290,100,trees,False,0,22,0.49888888888888894,0.0
elec2,rf,always_nudge,1,22,19762,19762,0,288,NUDGE,False,0.875,False,nan,0.6206896551724138,0.6379310344827587,0.6379310344827587,1150,5,5,230,56440,100,trees,False,0,23,0.2543103448275862,0.017241379310344827
elec2,rf,always_nudge,1,23,19922,19922,0,160,NUDGE,False,0.875,True,nan,0.8125,0.875,0.875,640,5,5,128,57080,100,trees,False,0,24,0.0625,0.0625
elec2,rf,always_nudge,1,24,20114,20114,0,192,NUDGE,False,0.875,True,nan,0.10256410256410256,0.10256410256410256,0.10256410256410256,765,5,5,153,57845,100,trees,False,0,25,0.7724358974358975,0.0
elec2,rf,always_nudge,1,25,20338,20338,0,224,NUDGE,False,0.445,False,nan,0.7777777777777778,0.7777777777777778,0.7777777777777778,895,5,5,179,58740,100,trees,False,0,26,-0.3327777777777778,0.0
elec2,rf,always_nudge,1,26,20498,20498,0,160,NUDGE,False,0.445,True,nan,0.09375,0.09375,0.09375,640,5,5,128,59380,100,trees,False,0,27,0.35125,0.0
elec2,rf,always_nudge,1,27,21074,21074,0,576,NUDGE,False,0.595,False,nan,0.8793103448275862,0.8706896551724138,0.8706896551724138,2300,5,5,460,61680,100,trees,False,0,28,-0.2843103448275862,0.008620689655172414
elec2,rf,always_nudge,1,28,21554,21554,0,480,NUDGE,False,0.925,False,nan,0.7395833333333334,0.7395833333333334,0.7395833333333334,1920,5,5,384,63600,100,trees,False,0,29,0.18541666666666667,0.0
elec2,rf,always_nudge,1,29,21810,21810,0,256,NUDGE,False,0.78,False,nan,0.9807692307692307,0.9807692307692307,0.9807692307692307,1020,5,5,204,64620,100,trees,False,0,30,-0.2007692307692307,0.0
elec2,rf,always_nudge,1,30,22514,22514,0,704,NUDGE,False,0.895,False,nan,0.7163120567375887,0.7163120567375887,0.7163120567375887,2815,5,5,563,67435,100,trees,False,0,31,0.17868794326241133,0.0
elec2,rf,always_nudge,1,31,23346,23346,0,832,NUDGE,False,0.615,False,nan,0.7365269461077845,0.718562874251497,0.718562874251497,3325,5,5,665,70760,100,trees,False,0,32,-0.12152694610778447,0.029940119760479042
elec2,rf,always_nudge,1,32,23730,23730,0,384,NUDGE,False,0.65,False,nan,0.987012987012987,0.974025974025974,0.974025974025974,1535,5,5,307,72295,100,trees,False,0,33,-0.337012987012987,0.012987012987012988
elec2,rf,always_nudge,1,33,23922,23922,0,192,NUDGE,False,0.65,True,nan,0.3076923076923077,0.3076923076923077,0.3076923076923077,765,5,5,153,73060,100,trees,False,0,34,0.3423076923076923,0.0
elec2,rf,always_nudge,1,34,24050,24050,0,128,NUDGE,False,0.65,True,nan,1.0,1.0,1.0,510,5,5,102,73570,100,trees,False,0,35,-0.35,0.0
elec2,rf,always_nudge,1,35,24530,24530,0,480,NUDGE,False,0.82,False,nan,0.53125,0.53125,0.53125,1920,5,5,384,75490,100,trees,False,0,36,0.28874999999999995,0.0
elec2,rf,always_nudge,1,36,24722,24722,0,192,NUDGE,False,0.82,True,nan,0.1282051282051282,0.1282051282051282,0.1282051282051282,765,5,5,153,76255,100,trees,False,0,37,0.6917948717948718,0.0
elec2,rf,always_nudge,1,37,25202,25202,0,480,NUDGE,False,0.78,False,nan,0.53125,0.53125,0.53125,1920,5,5,384,78175,100,trees,False,0,38,0.24875000000000003,0.0
elec2,rf,always_nudge,1,38,25874,25874,0,672,NUDGE,False,0.77,False,nan,0.7037037037037037,0.7037037037037037,0.7037037037037037,2685,5,5,537,80860,100,trees,False,0,39,0.0662962962962963,0.0
elec2,rf,always_nudge,1,39,26194,26194,0,320,NUDGE,False,0.94,False,nan,0.6875,0.6875,0.6875,1280,5,5,256,82140,100,trees,False,0,40,0.25249999999999995,0.0
elec2,rf,always_nudge,1,40,27378,27378,0,1000,NUDGE,False,0.84,False,nan,0.675,0.675,0.675,4000,5,5,800,86140,100,trees,False,0,41,0.16499999999999992,0.02
elec2,rf,always_nudge,1,41,27986,27986,0,608,NUDGE,False,0.64,False,nan,0.8688524590163934,0.8770491803278688,0.8770491803278688,2430,5,5,486,88570,100,trees,False,0,42,-0.2288524590163934,0.00819672131147541
elec2,rf,always_nudge,1,42,28818,28818,0,832,NUDGE,False,0.75,False,nan,0.562874251497006,0.562874251497006,0.562874251497006,3325,5,5,665,91895,100,trees,False,0,43,0.18712574850299402,0.0
elec2,rf,always_nudge,1,43,29010,29010,0,192,NUDGE,False,0.75,True,nan,0.9743589743589743,0.9743589743589743,0.9743589743589743,765,5,5,153,92660,100,trees,False,0,44,-0.22435897435897434,0.0
