dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,rf,always_rebuild,3,0,5362,5362,0,832,REBUILD,False,0.7717750826901875,False,nan,0.688622754491018,,1.0,83200,100,100,832,83200,100,trees,False,0,0,0.08315232819916951,
elec2,rf,always_rebuild,3,1,5650,5650,0,288,REBUILD,False,0.93,False,nan,0.5862068965517241,,1.0,28800,100,100,288,112000,100,trees,False,0,0,0.34379310344827596,
elec2,rf,always_rebuild,3,2,7282,7282,0,1000,REBUILD,False,0.67,False,nan,0.635,,1.0,100000,100,100,1000,212000,100,trees,False,0,0,0.03500000000000003,
elec2,rf,always_rebuild,3,3,9298,9298,0,1000,REBUILD,False,0.78,False,nan,0.61,,1.0,100000,100,100,1000,312000,100,trees,False,0,0,0.17000000000000004,
elec2,rf,always_rebuild,3,4,10034,10034,0,736,REBUILD,False,0.61,False,nan,0.38513513513513514,,1.0,73600,100,100,736,385600,100,trees,False,0,0,0.22486486486486484,
elec2,rf,always_rebuild,3,5,11570,11570,0,1000,REBUILD,False,0.86,False,nan,0.77,,1.0,100000,100,100,1000,485600,100,trees,False,0,0,0.08999999999999997,
elec2,rf,always_rebuild,3,6,11826,11826,0,256,REBUILD,False,0.775,False,nan,0.2692307692307692,,1.0,25600,100,100,256,511200,100,trees,False,0,0,0.5057692307692307,
elec2,rf,always_rebuild,3,7,12274,12274,0,448,REBUILD,False,0.54,False,nan,0.8222222222222222,,1.0,44800,100,100,448,556000,100,trees,False,0,0,-0.28222222222222215,
elec2,rf,always_rebuild,3,8,12594,12594,0,320,REBUILD,False,0.745,False,nan,0.28125,,1.0,32000,100,100,320,588000,100,trees,False,0,0,0.46375,
elec2,rf,always_rebuild,3,9,13458,13458,0,864,REBUILD,False,0.52,False,nan,0.6416184971098265,,1.0,86400,100,100,864,674400,100,trees,False,0,0,-0.12161849710982653,
elec2,rf,always_rebuild,3,10,14482,14482,0,1000,REBUILD,False,0.75,False,nan,0.655,,1.0,100000,100,100,1000,774400,100,trees,False,0,0,0.09499999999999997,
elec2,rf,always_rebuild,3,11,14962,14962,0,480,REBUILD,False,0.915,False,nan,0.6145833333333334,,1.0,48000,100,100,480,822400,100,trees,False,0,0,0.30041666666666667,
elec2,rf,always_rebuild,3,12,15314,15314,0,352,REBUILD,False,0.85,False,nan,0.6197183098591549,,1.0,35200,100,100,352,857600,100,trees,False,0,0,0.2302816901408451,
elec2,rf,always_rebuild,3,13,15538,15538,0,224,REBUILD,False,0.815,False,nan,0.5777777777777777,,1.0,22400,100,100,224,880000,100,trees,False,0,0,0.23722222222222222,
elec2,rf,always_rebuild,3,14,15698,15698,0,160,REBUILD,False,0.815,True,nan,0.34375,,1.0,16000,100,100,160,896000,100,trees,False,0,0,0.47124999999999995,
elec2,rf,always_rebuild,3,15,16018,16018,0,320,REBUILD,False,0.86,False,nan,0.453125,,1.0,32000,100,100,320,928000,100,trees,False,0,0,0.406875,
elec2,rf,always_rebuild,3,16,16498,16498,0,480,REBUILD,False,0.73,False,nan,0.6041666666666666,,1.0,48000,100,100,480,976000,100,trees,False,0,0,0.12583333333333335,
elec2,rf,always_rebuild,3,17,17522,17522,0,1000,REBUILD,False,0.745,False,nan,0.625,,1.0,100000,100,100,1000,1076000,100,trees,False,0,0,0.12,
elec2,rf,always_rebuild,3,18,18482,18482,0,960,REBUILD,False,0.76,False,nan,0.9375,,1.0,96000,100,100,960,1172000,100,trees,False,0,0,-0.1775,
elec2,rf,always_rebuild,3,19,19058,19058,0,576,REBUILD,False,0.95,False,nan,0.6724137931034483,,1.0,57600,100,100,576,1229600,100,trees,False,0,0,0.27758620689655167,
elec2,rf,always_rebuild,3,20,19314,19314,0,256,REBUILD,False,0.635,False,nan,0.7307692307692307,,1.0,25600,100,100,256,1255200,100,trees,False,0,0,-0.09576923076923072,
elec2,rf,always_rebuild,3,21,19474,19474,0,160,REBUILD,False,0.635,True,nan,0.40625,,1.0,16000,100,100,160,1271200,100,trees,False,0,0,0.22875,
elec2,rf,always_rebuild,3,22,20466,20466,0,992,REBUILD,False,0.82,False,nan,0.7236180904522613,,1.0,99200,100,100,992,1370400,100,trees,False,0,0,0.09638190954773862,
elec2,rf,always_rebuild,3,23,20722,20722,0,256,REBUILD,False,0.59,False,nan,1.0,,1.0,25600,100,100,256,1396000,100,trees,False,0,0,-0.41000000000000003,
elec2,rf,always_rebuild,3,24,22098,22098,0,1000,REBUILD,False,0.89,False,nan,0.785,,1.0,100000,100,100,1000,1496000,100,trees,False,0,0,0.10499999999999998,
elec2,rf,always_rebuild,3,25,22514,22514,0,416,REBUILD,False,0.905,False,nan,0.5595238095238095,,1.0,41600,100,100,416,1537600,100,trees,False,0,0,0.3454761904761905,
elec2,rf,always_rebuild,3,26,23314,23314,0,800,REBUILD,False,0.58,False,nan,0.5125,,1.0,80000,100,100,800,1617600,100,trees,False,0,0,0.0675,
elec2,rf,always_rebuild,3,27,23570,23570,0,256,REBUILD,False,0.83,False,nan,0.2692307692307692,,1.0,25600,100,100,256,1643200,100,trees,False,0,0,0.5607692307692307,
elec2,rf,always_rebuild,3,28,23826,23826,0,256,REBUILD,False,0.385,False,nan,0.8653846153846154,,1.0,25600,100,100,256,1668800,100,trees,False,0,0,-0.4803846153846154,
elec2,rf,always_rebuild,3,29,24050,24050,0,224,REBUILD,False,0.41,False,nan,0.8444444444444444,,1.0,22400,100,100,224,1691200,100,trees,False,0,0,-0.43444444444444447,
elec2,rf,always_rebuild,3,30,24562,24562,0,512,REBUILD,False,0.83,False,nan,0.5436893203883495,,1.0,51200,100,100,512,1742400,100,trees,False,0,0,0.28631067961165046,
elec2,rf,always_rebuild,3,31,24850,24850,0,288,REBUILD,False,0.655,False,nan,0.8793103448275862,,1.0,28800,100,100,288,1771200,100,trees,False,0,0,-0.22431034482758616,
elec2,rf,always_rebuild,3,32,25618,25618,0,768,REBUILD,False,0.66,False,nan,0.8766233766233766,,1.0,76800,100,100,768,1848000,100,trees,False,0,0,-0.2166233766233766,
elec2,rf,always_rebuild,3,33,25874,25874,0,256,REBUILD,False,0.905,False,nan,0.34615384615384615,,1.0,25600,100,100,256,1873600,100,trees,False,0,0,0.5588461538461539,
elec2,rf,always_rebuild,3,34,26162,26162,0,288,REBUILD,False,0.77,False,nan,0.41379310344827586,,1.0,28800,100,100,288,1902400,100,trees,False,0,0,0.35620689655172416,
elec2,rf,always_rebuild,3,35,26386,26386,0,224,REBUILD,False,0.725,False,nan,0.9777777777777777,,1.0,22400,100,100,224,1924800,100,trees,False,0,0,-0.25277777777777777,
elec2,rf,always_rebuild,3,36,26674,26674,0,288,REBUILD,False,0.875,False,nan,0.4827586206896552,,1.0,28800,100,100,288,1953600,100,trees,False,0,0,0.3922413793103448,
elec2,rf,always_rebuild,3,37,27026,27026,0,352,REBUILD,False,0.87,False,nan,0.6338028169014085,,1.0,35200,100,100,352,1988800,100,trees,False,0,0,0.2361971830985915,
elec2,rf,always_rebuild,3,38,27378,27378,0,352,REBUILD,False,0.865,False,nan,0.49295774647887325,,1.0,35200,100,100,352,2024000,100,trees,False,0,0,0.37204225352112674,
elec2,rf,always_rebuild,3,39,27602,27602,0,224,REBUILD,False,0.73,False,nan,0.3333333333333333,,1.0,22400,100,100,224,2046400,100,trees,False,0,0,0.39666666666666667,
elec2,rf,always_rebuild,3,40,28786,28786,0,1000,REBUILD,False,0.68,False,nan,0.685,,1.0,100000,100,100,1000,2146400,100,trees,False,0,0,-0.0050000000000000044,
elec2,rf,always_rebuild,3,41,29042,29042,0,256,REBUILD,False,0.655,False,nan,0.19230769230769232,,1.0,25600,100,100,256,2172000,100,trees,False,0,0,0.46269230769230774,
elec2,rf,always_rebuild,3,42,29714,29714,0,672,REBUILD,False,0.635,False,nan,0.34814814814814815,,1.0,67200,100,100,672,2239200,100,trees,False,0,0,0.28685185185185186,
