dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,rf,fixed_schedule,1,0,5362,5362,0,832,NUDGE,False,0.7894156560088202,False,nan,0.718562874251497,0.718562874251497,0.718562874251497,3325,5,5,665,3325,100,trees,False,0,1,0.07085278175732324,0.0
elec2,rf,fixed_schedule,1,1,5522,5522,0,160,NUDGE,False,0.7894156560088202,True,nan,1.0,1.0,1.0,640,5,5,128,3965,100,trees,False,0,2,-0.21058434399117976,0.0
elec2,rf,fixed_schedule,1,2,6290,6290,0,768,REBUILD,False,0.755,False,nan,0.6493506493506493,,1.0,76800,100,100,768,80765,100,trees,False,0,0,0.10564935064935066,
elec2,rf,fixed_schedule,1,3,7250,7250,0,960,NUDGE,False,0.815,False,nan,0.59375,0.5989583333333334,0.5989583333333334,3840,5,5,768,84605,100,trees,False,0,1,0.22124999999999995,0.005208333333333333
elec2,rf,fixed_schedule,1,4,7794,7794,0,544,NUDGE,False,0.475,False,nan,0.8073394495412844,0.8073394495412844,0.8073394495412844,2175,5,5,435,86780,100,trees,False,0,2,-0.33233944954128447,0.01834862385321101
elec2,rf,fixed_schedule,1,5,8658,8658,0,864,REBUILD,False,0.95,False,nan,0.791907514450867,,1.0,86400,100,100,864,173180,100,trees,False,0,0,0.1580924855491329,
elec2,rf,fixed_schedule,1,6,9298,9298,0,640,NUDGE,False,0.925,False,nan,0.6875,0.6875,0.6875,2560,5,5,512,175740,100,trees,False,0,1,0.23750000000000004,0.0
elec2,rf,fixed_schedule,1,7,9650,9650,0,352,NUDGE,False,0.86,False,nan,0.5633802816901409,0.5633802816901409,0.5633802816901409,1405,5,5,281,177145,100,trees,False,0,2,0.2966197183098591,0.0
elec2,rf,fixed_schedule,1,8,11570,11570,0,1000,REBUILD,False,0.905,False,nan,0.69,,1.0,100000,100,100,1000,277145,100,trees,False,0,0,0.21500000000000008,
elec2,rf,fixed_schedule,1,9,11826,11826,0,256,NUDGE,False,0.795,False,nan,0.34615384615384615,0.36538461538461536,0.36538461538461536,1020,5,5,204,278165,100,trees,False,0,1,0.4488461538461539,0.019230769230769232
elec2,rf,fixed_schedule,1,10,12242,12242,0,416,NUDGE,False,0.67,False,nan,0.30952380952380953,0.30952380952380953,0.30952380952380953,1660,5,5,332,279825,100,trees,False,0,2,0.3604761904761905,0.0
elec2,rf,fixed_schedule,1,11,12594,12594,0,352,REBUILD,False,0.645,False,nan,0.2112676056338028,,1.0,35200,100,100,352,315025,100,trees,False,0,0,0.4337323943661972,
elec2,rf,fixed_schedule,1,12,13458,13458,0,864,NUDGE,False,0.545,False,nan,0.6589595375722543,0.6647398843930635,0.6647398843930635,3455,5,5,691,318480,100,trees,False,0,1,-0.1139595375722543,0.005780346820809248
