dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,rf,never_adapt,3,0,5362,5362,0,832,SKIP,False,0.7717750826901875,False,nan,0.688622754491018,,0.688622754491018,0,0,0,0,0,100,trees,False,0,0,0.08315232819916951,
elec2,rf,never_adapt,3,1,5490,5490,0,128,SKIP,False,0.7717750826901875,True,nan,0.9615384615384616,,0.9615384615384616,0,0,0,0,0,100,trees,False,0,0,-0.1897633788482741,
elec2,rf,never_adapt,3,2,6130,6130,0,640,SKIP,False,0.815,False,nan,0.71875,,0.71875,0,0,0,0,0,100,trees,False,0,0,0.09624999999999995,
elec2,rf,never_adapt,3,3,6514,6514,0,384,SKIP,False,0.665,False,nan,0.9090909090909091,,0.9090909090909091,0,0,0,0,0,100,trees,False,0,0,-0.24409090909090903,
elec2,rf,never_adapt,3,4,7090,7090,0,576,SKIP,False,0.795,False,nan,0.6551724137931034,,0.6551724137931034,0,0,0,0,0,100,trees,False,0,0,0.13982758620689661,
elec2,rf,never_adapt,3,5,8306,8306,0,1000,SKIP,False,0.635,False,nan,0.835,,0.835,0,0,0,0,0,100,trees,False,0,0,-0.19999999999999996,
elec2,rf,never_adapt,3,6,9298,9298,0,992,SKIP,False,0.845,False,nan,0.7336683417085427,,0.7336683417085427,0,0,0,0,0,100,trees,False,0,0,0.1113316582914573,
elec2,rf,never_adapt,3,7,9554,9554,0,256,SKIP,False,0.82,False,nan,0.36538461538461536,,0.36538461538461536,0,0,0,0,0,100,trees,False,0,0,0.4546153846153846,
elec2,rf,never_adapt,3,8,10098,10098,0,544,SKIP,False,0.755,False,nan,0.9541284403669725,,0.9541284403669725,0,0,0,0,0,100,trees,False,0,0,-0.19912844036697253,
elec2,rf,never_adapt,3,9,10898,10898,0,800,SKIP,False,0.965,False,nan,0.775,,0.775,0,0,0,0,0,100,trees,False,0,0,0.18999999999999995,
elec2,rf,never_adapt,3,10,11154,11154,0,256,SKIP,False,0.925,False,nan,0.4807692307692308,,0.4807692307692308,0,0,0,0,0,100,trees,False,0,0,0.44423076923076926,
elec2,rf,never_adapt,3,11,11570,11570,0,416,SKIP,False,0.755,False,nan,0.5357142857142857,,0.5357142857142857,0,0,0,0,0,100,trees,False,0,0,0.2192857142857143,
elec2,rf,never_adapt,3,12,11890,11890,0,320,SKIP,False,0.825,False,nan,0.578125,,0.578125,0,0,0,0,0,100,trees,False,0,0,0.24687499999999996,
