dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,sgd,always_nudge,4,0,5362,5362,0,832,NUDGE,False,0.7541345093715546,False,nan,0.6227544910179641,0.6107784431137725,0.6107784431137725,665,1,0,665,665,9,params,False,0,1,0.13138001835359048,0.011976047904191617
elec2,sgd,always_nudge,4,1,5490,5490,0,128,NUDGE,False,0.7541345093715546,True,nan,0.9615384615384616,0.5769230769230769,0.5769230769230769,102,1,0,102,767,9,params,False,0,2,-0.207403952166907,0.46153846153846156
elec2,sgd,always_nudge,4,2,5618,5618,0,128,NUDGE,False,0.7541345093715546,True,nan,0.6923076923076923,0.6538461538461539,0.6538461538461539,102,1,0,102,869,9,params,False,0,3,0.06182681706386228,0.6538461538461539
elec2,sgd,always_nudge,4,3,6194,6194,0,576,NUDGE,False,0.89,False,nan,0.5862068965517241,0.41379310344827586,0.41379310344827586,460,1,0,460,1329,9,params,False,0,4,0.3037931034482759,0.1724137931034483
elec2,sgd,always_nudge,4,4,6706,6706,0,512,NUDGE,False,0.665,False,nan,0.36893203883495146,0.4563106796116505,0.4563106796116505,409,1,0,409,1738,9,params,False,0,5,0.2960679611650486,0.08737864077669903
elec2,sgd,always_nudge,4,5,6962,6962,0,256,NUDGE,False,0.775,False,nan,0.23076923076923078,0.23076923076923078,0.23076923076923078,204,1,0,204,1942,9,params,False,0,6,0.5442307692307693,0.0
elec2,sgd,always_nudge,4,6,7282,7282,0,320,NUDGE,False,0.685,False,nan,0.28125,0.75,0.75,256,1,0,256,2198,9,params,False,0,7,0.40375000000000005,0.78125
elec2,sgd,always_nudge,4,7,9298,9298,0,1000,NUDGE,False,0.725,False,nan,0.68,0.775,0.775,800,1,0,800,2998,9,params,False,0,8,0.04499999999999993,0.105
elec2,sgd,always_nudge,4,8,9458,9458,0,160,NUDGE,False,0.725,True,nan,0.25,0.84375,0.84375,128,1,0,128,3126,9,params,False,0,9,0.475,0.59375
elec2,sgd,always_nudge,4,9,9970,9970,0,512,NUDGE,False,0.785,False,nan,0.6116504854368932,0.5145631067961165,0.5145631067961165,409,1,0,409,3535,9,params,False,0,10,0.17334951456310688,0.8737864077669902
elec2,sgd,always_nudge,4,10,10258,10258,0,288,NUDGE,False,0.79,False,nan,0.5,0.6896551724137931,0.6896551724137931,230,1,0,230,3765,9,params,False,0,11,0.29000000000000004,0.8103448275862069
elec2,sgd,always_nudge,4,11,11570,11570,0,1000,NUDGE,False,0.585,False,nan,0.565,0.565,0.565,800,1,0,800,4565,9,params,False,0,12,0.020000000000000018,0.0
elec2,sgd,always_nudge,4,12,11762,11762,0,192,NUDGE,False,0.585,True,nan,0.8974358974358975,0.7948717948717948,0.7948717948717948,153,1,0,153,4718,9,params,False,0,13,-0.3124358974358975,0.20512820512820512
elec2,sgd,always_nudge,4,13,12242,12242,0,480,NUDGE,False,0.72,False,nan,0.4270833333333333,0.4791666666666667,0.4791666666666667,384,1,0,384,5102,9,params,False,0,14,0.29291666666666666,0.07291666666666667
elec2,sgd,always_nudge,4,14,12594,12594,0,352,NUDGE,False,0.725,False,nan,0.29577464788732394,0.29577464788732394,0.29577464788732394,281,1,0,281,5383,9,params,False,0,15,0.42922535211267604,0.0
elec2,sgd,always_nudge,4,15,12850,12850,0,256,NUDGE,False,0.465,False,nan,0.9615384615384616,0.8076923076923077,0.8076923076923077,204,1,0,204,5587,9,params,False,0,16,-0.49653846153846154,0.19230769230769232
