dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,sgd,fixed_schedule,2,0,5362,5362,0,832,NUDGE,False,0.75303197353914,False,nan,0.6227544910179641,0.6167664670658682,0.6167664670658682,665,1,0,665,665,9,params,False,0,1,0.13027748252117588,0.005988023952095809
elec2,sgd,fixed_schedule,2,1,5490,5490,0,128,NUDGE,False,0.75303197353914,True,nan,0.9615384615384616,0.9615384615384616,0.9615384615384616,102,1,0,102,767,9,params,False,0,2,-0.2085064879993216,0.0
elec2,sgd,fixed_schedule,2,2,6674,6674,0,1000,REBUILD,False,0.88,False,nan,0.665,,0.6,51000,51,0,1000,51767,9,params,False,0,0,0.21499999999999997,
elec2,sgd,fixed_schedule,2,3,7314,7314,0,640,NUDGE,False,0.76,False,nan,0.609375,0.4375,0.4375,512,1,0,512,52279,9,params,False,0,1,0.150625,0.28125
elec2,sgd,fixed_schedule,2,4,7794,7794,0,480,NUDGE,False,0.505,False,nan,0.78125,0.6875,0.6875,384,1,0,384,52663,9,params,False,0,2,-0.27625,0.2604166666666667
elec2,sgd,fixed_schedule,2,5,8178,8178,0,384,REBUILD,False,0.705,False,nan,0.42857142857142855,,0.7012987012987013,24960,65,0,384,77623,9,params,False,0,0,0.2764285714285714,
elec2,sgd,fixed_schedule,2,6,8306,8306,0,128,NUDGE,False,0.705,True,nan,0.19230769230769232,0.8846153846153846,0.8846153846153846,102,1,0,102,77725,9,params,False,0,1,0.5126923076923077,0.9230769230769231
elec2,sgd,fixed_schedule,2,7,9106,9106,0,800,NUDGE,False,0.81,False,nan,0.60625,0.71875,0.71875,640,1,0,640,78365,9,params,False,0,2,0.2037500000000001,0.3
elec2,sgd,fixed_schedule,2,8,10866,10866,0,1000,REBUILD,False,0.78,False,nan,0.62,,0.68,51000,51,0,1000,129365,9,params,False,0,0,0.16000000000000003,
elec2,sgd,fixed_schedule,2,9,11570,11570,0,704,NUDGE,False,0.645,False,nan,0.5673758865248227,0.6312056737588653,0.6312056737588653,563,1,0,563,129928,9,params,False,0,1,0.07762411347517728,0.06382978723404255
elec2,sgd,fixed_schedule,2,10,12274,12274,0,704,NUDGE,False,0.655,False,nan,0.5460992907801419,0.41134751773049644,0.41134751773049644,563,1,0,563,130491,9,params,False,0,2,0.10890070921985817,0.2907801418439716
elec2,sgd,fixed_schedule,2,11,12594,12594,0,320,REBUILD,False,0.765,False,nan,0.21875,,0.484375,12480,39,0,320,142971,9,params,False,0,0,0.54625,
elec2,sgd,fixed_schedule,2,12,13106,13106,0,512,NUDGE,False,0.485,False,nan,0.30097087378640774,0.8543689320388349,0.8543689320388349,409,1,0,409,143380,9,params,False,0,1,0.18402912621359224,0.7669902912621359
elec2,sgd,fixed_schedule,2,13,13394,13394,0,288,NUDGE,False,0.77,False,nan,0.39655172413793105,0.8620689655172413,0.8620689655172413,230,1,0,230,143610,9,params,False,0,2,0.37344827586206897,0.6724137931034483
elec2,sgd,fixed_schedule,2,14,14834,14834,0,1000,REBUILD,False,0.585,False,nan,0.575,,0.7,60000,60,0,1000,203610,9,params,False,0,0,0.010000000000000009,
elec2,sgd,fixed_schedule,2,15,15058,15058,0,224,NUDGE,False,0.805,False,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,179,1,0,179,203789,9,params,False,0,1,0.47166666666666673,0.0
elec2,sgd,fixed_schedule,2,16,16722,16722,0,1000,NUDGE,False,0.615,False,nan,0.695,0.635,0.635,800,1,0,800,204589,9,params,False,0,2,-0.07999999999999996,0.65
elec2,sgd,fixed_schedule,2,17,17234,17234,0,512,REBUILD,False,0.65,False,nan,0.32038834951456313,,0.7572815533980582,26112,51,0,512,230701,9,params,False,0,0,0.3296116504854369,
elec2,sgd,fixed_schedule,2,18,18962,18962,0,1000,NUDGE,False,0.705,False,nan,0.675,0.65,0.65,800,1,0,800,231501,9,params,False,0,1,0.029999999999999916,0.045
elec2,sgd,fixed_schedule,2,19,20210,20210,0,1000,NUDGE,False,0.68,False,nan,0.795,0.405,0.405,800,1,0,800,232301,9,params,False,0,2,-0.11499999999999999,0.66
elec2,sgd,fixed_schedule,2,20,20530,20530,0,320,REBUILD,False,0.695,False,nan,0.28125,,0.78125,16960,53,0,320,249261,9,params,False,0,0,0.41374999999999995,
elec2,sgd,fixed_schedule,2,21,22098,22098,0,1000,NUDGE,False,0.365,False,nan,0.4,0.635,0.635,800,1,0,800,250061,9,params,False,0,1,-0.03500000000000003,0.915
elec2,sgd,fixed_schedule,2,22,22546,22546,0,448,NUDGE,False,0.775,False,nan,0.3,0.3333333333333333,0.3333333333333333,358,1,0,358,250419,9,params,False,0,2,0.47500000000000003,0.03333333333333333
elec2,sgd,fixed_schedule,2,23,23218,23218,0,672,REBUILD,False,0.705,False,nan,0.4962962962962963,,0.7555555555555555,46368,69,0,672,296787,9,params,False,0,0,0.20870370370370367,
elec2,sgd,fixed_schedule,2,24,23538,23538,0,320,NUDGE,False,0.245,False,nan,0.765625,0.453125,0.453125,256,1,0,256,297043,9,params,False,0,1,-0.520625,0.6875
elec2,sgd,fixed_schedule,2,25,23826,23826,0,288,NUDGE,False,0.66,False,nan,0.8620689655172413,0.8620689655172413,0.8620689655172413,230,1,0,230,297273,9,params,False,0,2,-0.2020689655172413,0.0
elec2,sgd,fixed_schedule,2,26,24146,24146,0,320,REBUILD,False,0.37,False,nan,0.875,,0.65625,14400,45,0,320,311673,9,params,False,0,0,-0.505,
elec2,sgd,fixed_schedule,2,27,24402,24402,0,256,NUDGE,False,0.665,False,nan,0.2692307692307692,0.8846153846153846,0.8846153846153846,204,1,0,204,311877,9,params,False,0,1,0.3957692307692308,0.8461538461538461
elec2,sgd,fixed_schedule,2,28,24754,24754,0,352,NUDGE,False,0.625,False,nan,0.22535211267605634,0.22535211267605634,0.22535211267605634,281,1,0,281,312158,9,params,False,0,2,0.39964788732394363,0.0
elec2,sgd,fixed_schedule,2,29,25202,25202,0,448,REBUILD,False,0.725,False,nan,0.5,,0.8444444444444444,25088,56,0,448,337246,9,params,False,0,0,0.22499999999999998,
elec2,sgd,fixed_schedule,2,30,25618,25618,0,416,NUDGE,False,0.7,False,nan,0.8928571428571429,0.9166666666666666,0.9166666666666666,332,1,0,332,337578,9,params,False,0,1,-0.19285714285714295,0.047619047619047616
elec2,sgd,fixed_schedule,2,31,26514,26514,0,896,NUDGE,False,0.55,False,nan,0.7444444444444445,0.6166666666666667,0.6166666666666667,716,1,0,716,338294,9,params,False,0,2,-0.19444444444444442,0.55
