dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,sgd,mechanism_selector,4,0,5362,5362,0,832,REBUILD,False,0.7541345093715546,False,0.7341345093715546,0.6227544910179641,0.6107784431137725,0.4311377245508982,77209,93,0,1497,77209,9,params,False,0,0,0.13138001835359048,0.011976047904191617
elec2,sgd,mechanism_selector,4,1,5490,5490,0,128,REBUILD,True,0.7541345093715546,True,0.7341345093715546,0.34615384615384615,,0.9615384615384616,2944,23,0,128,80153,9,params,False,0,0,0.40798066321770843,
elec2,sgd,mechanism_selector,4,2,5618,5618,0,128,REBUILD,True,0.7541345093715546,True,0.7341345093715546,0.3076923076923077,,0.6923076923076923,3328,26,0,128,83481,9,params,False,0,0,0.44644220167924686,
elec2,sgd,mechanism_selector,4,3,6514,6514,0,896,SKIP,False,0.59,False,0.57,0.7222222222222222,,0.7222222222222222,0,0,0,0,83481,9,params,False,0,0,-0.13222222222222224,
elec2,sgd,mechanism_selector,4,4,7090,7090,0,576,REBUILD,False,0.64,False,0.62,0.4396551724137931,0.5,0.8017241379310345,33292,58,0,1036,116773,9,params,False,0,0,0.20034482758620692,0.28448275862068967
elec2,sgd,mechanism_selector,4,5,8082,8082,0,992,SKIP,False,0.685,False,0.665,0.8291457286432161,,0.8291457286432161,0,0,0,0,116773,9,params,False,0,0,-0.14414572864321606,
elec2,sgd,mechanism_selector,4,6,8402,8402,0,320,SKIP,False,0.675,False,0.655,0.875,,0.875,0,0,0,0,116773,9,params,False,0,0,-0.19999999999999996,
elec2,sgd,mechanism_selector,4,7,9298,9298,0,896,REBUILD,False,0.795,False,0.775,0.7333333333333333,0.7333333333333333,0.8888888888888888,65228,73,0,1612,182001,9,params,False,0,0,0.06166666666666676,0.011111111111111112
elec2,sgd,mechanism_selector,4,8,10002,10002,0,704,REBUILD,False,0.735,False,0.715,0.6028368794326241,0.5957446808510638,0.7092198581560284,37875,54,0,1267,219876,9,params,False,0,0,0.1321631205673759,0.0070921985815602835
elec2,sgd,mechanism_selector,4,9,10834,10834,0,832,REBUILD,False,0.855,False,0.835,0.6706586826347305,0.5449101796407185,0.6227544910179641,53081,64,0,1497,272957,9,params,False,0,0,0.18434131736526949,0.1497005988023952
elec2,sgd,mechanism_selector,4,10,11122,11122,0,288,SKIP,False,0.625,False,0.605,0.9137931034482759,,0.9137931034482759,0,0,0,0,272957,9,params,False,0,0,-0.2887931034482759,
elec2,sgd,mechanism_selector,4,11,12242,12242,0,1000,REBUILD,False,0.725,False,0.705,0.655,0.435,0.65,60800,61,0,1800,333757,9,params,False,0,0,0.06999999999999995,0.32
elec2,sgd,mechanism_selector,4,12,12466,12466,0,224,REBUILD,True,0.55,False,0.53,0.9111111111111111,,0.8444444444444444,10752,48,0,224,344509,9,params,False,0,0,-0.36111111111111105,
elec2,sgd,mechanism_selector,4,13,12626,12626,0,160,REBUILD,True,0.55,True,0.53,0.125,,0.875,6880,43,0,160,351389,9,params,False,0,0,0.42500000000000004,
elec2,sgd,mechanism_selector,4,14,13170,13170,0,544,SKIP,False,0.655,False,0.635,0.8348623853211009,,0.8348623853211009,0,0,0,0,351389,9,params,False,0,0,-0.17986238532110088,
elec2,sgd,mechanism_selector,4,15,13394,13394,0,224,REBUILD,True,0.62,False,0.6,0.26666666666666666,,0.8666666666666667,9408,42,0,224,360797,9,params,False,0,0,0.35333333333333333,
elec2,sgd,mechanism_selector,4,16,14354,14354,0,960,REBUILD,False,0.765,False,0.745,0.59375,0.7395833333333334,0.75,52608,55,0,1728,413405,9,params,False,0,0,0.17125,0.23958333333333334
elec2,sgd,mechanism_selector,4,17,15794,15794,0,1000,REBUILD,False,0.715,False,0.695,0.595,0.575,0.565,62800,63,0,1800,476205,9,params,False,0,0,0.12,0.02
elec2,sgd,mechanism_selector,4,18,17298,17298,0,1000,SKIP,False,0.575,False,0.5549999999999999,0.755,,0.755,0,0,0,0,476205,9,params,False,0,0,-0.18000000000000005,
elec2,sgd,mechanism_selector,4,19,18290,18290,0,992,SKIP,False,0.615,False,0.595,0.7989949748743719,,0.7989949748743719,0,0,0,0,476205,9,params,False,0,0,-0.18399497487437189,
elec2,sgd,mechanism_selector,4,20,19058,19058,0,768,REBUILD,False,0.78,False,0.76,0.7077922077922078,0.7077922077922078,0.7727272727272727,63590,83,0,1382,539795,9,params,False,0,0,0.07220779220779228,0.1038961038961039
elec2,sgd,mechanism_selector,4,21,19250,19250,0,192,REBUILD,True,0.78,True,0.76,0.9230769230769231,,0.6923076923076923,3072,16,0,192,542867,9,params,False,0,0,-0.1430769230769231,
