dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,sgd,never_adapt,4,0,5362,5362,0,832,SKIP,False,0.7541345093715546,False,nan,0.6227544910179641,,0.6227544910179641,0,0,0,0,0,9,params,False,0,0,0.13138001835359048,
elec2,sgd,never_adapt,4,1,5522,5522,0,160,SKIP,False,0.7541345093715546,True,nan,1.0,,1.0,0,0,0,0,0,9,params,False,0,0,-0.24586549062844543,
elec2,sgd,never_adapt,4,2,6226,6226,0,704,SKIP,False,0.815,False,nan,0.5815602836879432,,0.5815602836879432,0,0,0,0,0,9,params,False,0,0,0.23343971631205673,
elec2,sgd,never_adapt,4,3,6674,6674,0,448,SKIP,False,0.765,False,nan,0.3888888888888889,,0.3888888888888889,0,0,0,0,0,9,params,False,0,0,0.3761111111111111,
elec2,sgd,never_adapt,4,4,6962,6962,0,288,SKIP,False,0.785,False,nan,0.3620689655172414,,0.3620689655172414,0,0,0,0,0,9,params,False,0,0,0.42293103448275865,
elec2,sgd,never_adapt,4,5,7282,7282,0,320,SKIP,False,0.7,False,nan,0.28125,,0.28125,0,0,0,0,0,9,params,False,0,0,0.41874999999999996,
elec2,sgd,never_adapt,4,6,7826,7826,0,544,SKIP,False,0.465,False,nan,0.8440366972477065,,0.8440366972477065,0,0,0,0,0,9,params,False,0,0,-0.37903669724770644,
elec2,sgd,never_adapt,4,7,8146,8146,0,320,SKIP,False,0.58,False,nan,0.890625,,0.890625,0,0,0,0,0,9,params,False,0,0,-0.31062500000000004,
elec2,sgd,never_adapt,4,8,8434,8434,0,288,SKIP,False,0.56,False,nan,0.9310344827586207,,0.9310344827586207,0,0,0,0,0,9,params,False,0,0,-0.3710344827586206,
elec2,sgd,never_adapt,4,9,8690,8690,0,256,SKIP,False,0.64,False,nan,0.46153846153846156,,0.46153846153846156,0,0,0,0,0,9,params,False,0,0,0.17846153846153845,
elec2,sgd,never_adapt,4,10,9362,9362,0,672,SKIP,False,0.835,False,nan,0.725925925925926,,0.725925925925926,0,0,0,0,0,9,params,False,0,0,0.10907407407407399,
elec2,sgd,never_adapt,4,11,9554,9554,0,192,SKIP,False,0.835,True,nan,0.23076923076923078,,0.23076923076923078,0,0,0,0,0,9,params,False,0,0,0.6042307692307691,
elec2,sgd,never_adapt,4,12,10002,10002,0,448,SKIP,False,0.705,False,nan,0.43333333333333335,,0.43333333333333335,0,0,0,0,0,9,params,False,0,0,0.2716666666666666,
elec2,sgd,never_adapt,4,13,10130,10130,0,128,SKIP,False,0.705,True,nan,1.0,,1.0,0,0,0,0,0,9,params,False,0,0,-0.29500000000000004,
elec2,sgd,never_adapt,4,14,10322,10322,0,192,SKIP,False,0.705,True,nan,0.5128205128205128,,0.5128205128205128,0,0,0,0,0,9,params,False,0,0,0.19217948717948719,
elec2,sgd,never_adapt,4,15,10578,10578,0,256,SKIP,False,0.7,False,nan,0.9615384615384616,,0.9615384615384616,0,0,0,0,0,9,params,False,0,0,-0.2615384615384616,
elec2,sgd,never_adapt,4,16,11570,11570,0,992,SKIP,False,0.73,False,nan,0.5628140703517588,,0.5628140703517588,0,0,0,0,0,9,params,False,0,0,0.1671859296482412,
elec2,sgd,never_adapt,4,17,11762,11762,0,192,SKIP,False,0.73,True,nan,0.9230769230769231,,0.9230769230769231,0,0,0,0,0,9,params,False,0,0,-0.19307692307692315,
elec2,sgd,never_adapt,4,18,11890,11890,0,128,SKIP,False,0.73,True,nan,0.07692307692307693,,0.07692307692307693,0,0,0,0,0,9,params,False,0,0,0.6530769230769231,
elec2,sgd,never_adapt,4,19,12242,12242,0,352,SKIP,False,0.555,False,nan,0.9014084507042254,,0.9014084507042254,0,0,0,0,0,9,params,False,0,0,-0.3464084507042253,
elec2,sgd,never_adapt,4,20,12434,12434,0,192,SKIP,False,0.555,True,nan,0.9743589743589743,,0.9743589743589743,0,0,0,0,0,9,params,False,0,0,-0.4193589743589743,
elec2,sgd,never_adapt,4,21,12658,12658,0,224,SKIP,False,0.865,False,nan,0.37777777777777777,,0.37777777777777777,0,0,0,0,0,9,params,False,0,0,0.4872222222222222,
elec2,sgd,never_adapt,4,22,13138,13138,0,480,SKIP,False,0.53,False,nan,0.84375,,0.84375,0,0,0,0,0,9,params,False,0,0,-0.31375,
elec2,sgd,never_adapt,4,23,13714,13714,0,576,SKIP,False,0.665,False,nan,0.3793103448275862,,0.3793103448275862,0,0,0,0,0,9,params,False,0,0,0.28568965517241385,
elec2,sgd,never_adapt,4,24,14578,14578,0,864,SKIP,False,0.8,False,nan,0.5433526011560693,,0.5433526011560693,0,0,0,0,0,9,params,False,0,0,0.25664739884393073,
elec2,sgd,never_adapt,4,25,14898,14898,0,320,SKIP,False,0.49,False,nan,0.71875,,0.71875,0,0,0,0,0,9,params,False,0,0,-0.22875,
elec2,sgd,never_adapt,4,26,15282,15282,0,384,SKIP,False,0.505,False,nan,0.8441558441558441,,0.8441558441558441,0,0,0,0,0,9,params,False,0,0,-0.3391558441558441,
elec2,sgd,never_adapt,4,27,15794,15794,0,512,SKIP,False,0.76,False,nan,0.4854368932038835,,0.4854368932038835,0,0,0,0,0,9,params,False,0,0,0.2745631067961165,
elec2,sgd,never_adapt,4,28,17298,17298,0,1000,SKIP,False,0.585,False,nan,0.765,,0.765,0,0,0,0,0,9,params,False,0,0,-0.18000000000000005,
elec2,sgd,never_adapt,4,29,17522,17522,0,224,SKIP,False,0.6,False,nan,0.4666666666666667,,0.4666666666666667,0,0,0,0,0,9,params,False,0,0,0.1333333333333333,
elec2,sgd,never_adapt,4,30,19058,19058,0,1000,SKIP,False,0.68,False,nan,0.73,,0.73,0,0,0,0,0,9,params,False,0,0,-0.04999999999999993,
elec2,sgd,never_adapt,4,31,19282,19282,0,224,SKIP,False,0.45,False,nan,0.8666666666666667,,0.8666666666666667,0,0,0,0,0,9,params,False,0,0,-0.4166666666666667,
elec2,sgd,never_adapt,4,32,19826,19826,0,544,SKIP,False,0.595,False,nan,0.3669724770642202,,0.3669724770642202,0,0,0,0,0,9,params,False,0,0,0.22802752293577977,
elec2,sgd,never_adapt,4,33,20114,20114,0,288,SKIP,False,0.745,False,nan,0.29310344827586204,,0.29310344827586204,0,0,0,0,0,9,params,False,0,0,0.45189655172413795,
elec2,sgd,never_adapt,4,34,20338,20338,0,224,SKIP,False,0.435,False,nan,0.7555555555555555,,0.7555555555555555,0,0,0,0,0,9,params,False,0,0,-0.32055555555555554,
elec2,sgd,never_adapt,4,35,20498,20498,0,160,SKIP,False,0.435,True,nan,0.09375,,0.09375,0,0,0,0,0,9,params,False,0,0,0.34125,
elec2,sgd,never_adapt,4,36,21170,21170,0,672,SKIP,False,0.57,False,nan,0.837037037037037,,0.837037037037037,0,0,0,0,0,9,params,False,0,0,-0.2670370370370371,
elec2,sgd,never_adapt,4,37,21618,21618,0,448,SKIP,False,0.895,False,nan,0.6111111111111112,,0.6111111111111112,0,0,0,0,0,9,params,False,0,0,0.28388888888888886,
elec2,sgd,never_adapt,4,38,22546,22546,0,928,SKIP,False,0.805,False,nan,0.521505376344086,,0.521505376344086,0,0,0,0,0,9,params,False,0,0,0.28349462365591405,
elec2,sgd,never_adapt,4,39,23282,23282,0,736,SKIP,False,0.64,False,nan,0.6148648648648649,,0.6148648648648649,0,0,0,0,0,9,params,False,0,0,0.0251351351351351,
elec2,sgd,never_adapt,4,40,23538,23538,0,256,SKIP,False,0.82,False,nan,0.3269230769230769,,0.3269230769230769,0,0,0,0,0,9,params,False,0,0,0.493076923076923,
