dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,xgb,always_nudge,2,0,4722,4722,0,192,NUDGE,False,0.8004410143329658,False,nan,0.9230769230769231,0.9230769230769231,0.9230769230769231,765,5,5,153,765,105,rounds,False,0,1,-0.12263590874395736,0.0
elec2,xgb,always_nudge,2,1,5426,5426,0,704,NUDGE,False,0.83,False,nan,0.5957446808510638,0.5106382978723404,0.5106382978723404,2815,5,5,563,3580,110,rounds,False,0,2,0.23425531914893616,0.14184397163120568
elec2,xgb,always_nudge,2,2,6194,6194,0,768,NUDGE,False,0.89,False,nan,0.6623376623376623,0.8766233766233766,0.8766233766233766,3070,5,5,614,6650,115,rounds,False,0,3,0.22766233766233768,0.37012987012987014
elec2,xgb,always_nudge,2,3,6386,6386,0,192,NUDGE,False,0.89,True,nan,0.8205128205128205,0.8461538461538461,0.8461538461538461,765,5,5,153,7415,120,rounds,False,0,4,0.06948717948717953,0.3333333333333333
elec2,xgb,always_nudge,2,4,7090,7090,0,704,NUDGE,False,0.79,False,nan,0.6737588652482269,0.8085106382978723,0.8085106382978723,2815,5,5,563,10230,125,rounds,False,0,5,0.11624113475177311,0.24822695035460993
elec2,xgb,always_nudge,2,5,9298,9298,0,1000,NUDGE,False,0.77,False,nan,0.62,0.62,0.62,4000,5,5,800,14230,130,rounds,False,0,6,0.15000000000000002,0.16
elec2,xgb,always_nudge,2,6,9586,9586,0,288,NUDGE,False,0.68,False,nan,0.9482758620689655,0.9827586206896551,0.9827586206896551,1150,5,5,230,15380,135,rounds,False,0,7,-0.2682758620689655,0.034482758620689655
elec2,xgb,always_nudge,2,7,9778,9778,0,192,NUDGE,False,0.68,True,nan,0.9230769230769231,0.8974358974358975,0.8974358974358975,765,5,5,153,16145,140,rounds,False,0,8,-0.24307692307692308,0.07692307692307693
elec2,xgb,always_nudge,2,8,9970,9970,0,192,NUDGE,False,0.68,True,nan,0.38461538461538464,0.41025641025641024,0.41025641025641024,765,5,5,153,16910,145,rounds,False,0,9,0.2953846153846154,0.02564102564102564
elec2,xgb,always_nudge,2,9,10994,10994,0,1000,NUDGE,False,0.85,False,nan,0.715,0.695,0.695,4000,5,5,800,20910,150,rounds,False,0,10,0.135,0.27
elec2,xgb,always_nudge,2,10,11570,11570,0,576,NUDGE,False,0.805,False,nan,0.646551724137931,0.8706896551724138,0.8706896551724138,2300,5,5,460,23210,155,rounds,False,0,11,0.158448275862069,0.22413793103448276
elec2,xgb,always_nudge,2,11,12594,12594,0,1000,NUDGE,False,0.83,False,nan,0.565,0.68,0.68,4000,5,5,800,27210,160,rounds,False,0,12,0.265,0.125
elec2,xgb,always_nudge,2,12,14194,14194,0,1000,NUDGE,False,0.77,False,nan,0.695,0.795,0.795,4000,5,5,800,31210,165,rounds,False,0,13,0.07500000000000007,0.11
elec2,xgb,always_nudge,2,13,15154,15154,0,960,NUDGE,False,0.795,False,nan,0.6197916666666666,0.8385416666666666,0.8385416666666666,3840,5,5,768,35050,170,rounds,False,0,14,0.1752083333333334,0.3229166666666667
elec2,xgb,always_nudge,2,14,15698,15698,0,544,NUDGE,False,0.745,False,nan,0.6330275229357798,0.6605504587155964,0.6605504587155964,2175,5,5,435,37225,175,rounds,False,0,15,0.1119724770642202,0.027522935779816515
elec2,xgb,always_nudge,2,15,16178,16178,0,480,NUDGE,False,0.8,False,nan,0.4895833333333333,0.4895833333333333,0.4895833333333333,1920,5,5,384,39145,180,rounds,False,0,16,0.31041666666666673,0.041666666666666664
elec2,xgb,always_nudge,2,16,17074,17074,0,896,NUDGE,False,0.57,False,nan,0.6611111111111111,0.8055555555555556,0.8055555555555556,3580,5,5,716,42725,185,rounds,False,0,17,-0.09111111111111114,0.24444444444444444
elec2,xgb,always_nudge,2,17,18610,18610,0,1000,NUDGE,False,0.875,False,nan,0.93,0.955,0.955,4000,5,5,800,46725,190,rounds,False,0,18,-0.05500000000000005,0.035
elec2,xgb,always_nudge,2,18,19058,19058,0,448,NUDGE,False,0.97,False,nan,0.6111111111111112,0.5888888888888889,0.5888888888888889,1790,5,5,358,48515,195,rounds,False,0,19,0.3588888888888888,0.022222222222222223
elec2,xgb,always_nudge,2,19,19250,19250,0,192,NUDGE,False,0.97,True,nan,0.8461538461538461,0.7692307692307693,0.7692307692307693,765,5,5,153,49280,200,rounds,False,0,20,0.12384615384615383,0.38461538461538464
elec2,xgb,always_nudge,2,20,19538,19538,0,288,NUDGE,False,0.555,False,nan,0.8620689655172413,0.9137931034482759,0.9137931034482759,1150,5,5,230,50430,205,rounds,False,0,21,-0.3070689655172413,0.1896551724137931
elec2,xgb,always_nudge,2,21,19826,19826,0,288,NUDGE,False,0.85,False,nan,0.46551724137931033,0.6724137931034483,0.6724137931034483,1150,5,5,230,51580,210,rounds,False,0,22,0.38448275862068965,0.2413793103448276
elec2,xgb,always_nudge,2,22,20434,20434,0,608,NUDGE,False,0.82,False,nan,0.5819672131147541,0.6885245901639344,0.6885245901639344,2430,5,5,486,54010,215,rounds,False,0,23,0.23803278688524587,0.13934426229508196
elec2,xgb,always_nudge,2,23,22162,22162,0,1000,NUDGE,False,0.705,False,nan,0.595,0.76,0.76,4000,5,5,800,58010,220,rounds,False,0,24,0.10999999999999999,0.225
elec2,xgb,always_nudge,2,24,22514,22514,0,352,NUDGE,False,0.89,False,nan,0.4788732394366197,0.5352112676056338,0.5352112676056338,1405,5,5,281,59415,225,rounds,False,0,25,0.4111267605633803,0.056338028169014086
elec2,xgb,always_nudge,2,25,22610,22614,4,100,NUDGE,False,0.89,True,nan,0.95,0.8,0.8,400,5,5,80,59815,230,rounds,False,0,26,-0.05999999999999994,0.25
elec2,xgb,always_nudge,2,26,23186,23186,0,572,NUDGE,False,0.765,False,nan,0.41739130434782606,0.6086956521739131,0.6086956521739131,2285,5,5,457,62100,235,rounds,False,0,27,0.34760869565217395,0.2956521739130435
elec2,xgb,always_nudge,2,27,23410,23410,0,224,NUDGE,False,0.695,False,nan,0.8444444444444444,0.8444444444444444,0.8444444444444444,895,5,5,179,62995,240,rounds,False,0,28,-0.1494444444444445,0.0
elec2,xgb,always_nudge,2,28,23794,23794,0,384,NUDGE,False,0.6,False,nan,0.9090909090909091,0.935064935064935,0.935064935064935,1535,5,5,307,64530,245,rounds,False,0,29,-0.3090909090909091,0.025974025974025976
elec2,xgb,always_nudge,2,29,24082,24082,0,288,NUDGE,False,0.415,False,nan,0.9827586206896551,0.7931034482758621,0.7931034482758621,1150,5,5,230,65680,250,rounds,False,0,30,-0.5677586206896552,0.1896551724137931
elec2,xgb,always_nudge,2,30,24274,24274,0,192,NUDGE,False,0.415,True,nan,0.7435897435897436,0.9230769230769231,0.9230769230769231,765,5,5,153,66445,255,rounds,False,0,31,-0.32858974358974363,0.1794871794871795
elec2,xgb,always_nudge,2,31,24722,24722,0,448,NUDGE,False,0.72,False,nan,0.36666666666666664,0.3888888888888889,0.3888888888888889,1790,5,5,358,68235,260,rounds,False,0,32,0.35333333333333333,0.022222222222222223
elec2,xgb,always_nudge,2,32,25202,25202,0,480,NUDGE,False,0.85,False,nan,0.59375,0.5416666666666666,0.5416666666666666,1920,5,5,384,70155,265,rounds,False,0,33,0.25625,0.09375
elec2,xgb,always_nudge,2,33,25874,25874,0,672,NUDGE,False,0.75,False,nan,0.6888888888888889,0.7111111111111111,0.7111111111111111,2685,5,5,537,72840,270,rounds,False,0,34,0.061111111111111116,0.022222222222222223
elec2,xgb,always_nudge,2,34,26194,26194,0,320,NUDGE,False,0.895,False,nan,0.703125,0.6875,0.6875,1280,5,5,256,74120,275,rounds,False,0,35,0.19187500000000002,0.015625
