dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,xgb,always_rebuild,2,0,4722,4722,0,192,REBUILD,False,0.8004410143329658,False,nan,0.9230769230769231,,1.0,19200,100,100,192,19200,100,rounds,False,0,0,-0.12263590874395736,
elec2,xgb,always_rebuild,2,1,5362,5362,0,640,REBUILD,False,0.89,False,nan,0.6640625,,1.0,64000,100,100,640,83200,100,rounds,False,0,0,0.2259375,
elec2,xgb,always_rebuild,2,2,5650,5650,0,288,REBUILD,False,0.94,False,nan,0.5517241379310345,,1.0,28800,100,100,288,112000,100,rounds,False,0,0,0.38827586206896547,
elec2,xgb,always_rebuild,2,3,6674,6674,0,1000,REBUILD,False,0.795,False,nan,0.64,,1.0,100000,100,100,1000,212000,100,rounds,False,0,0,0.15500000000000003,
elec2,xgb,always_rebuild,2,4,7186,7186,0,512,REBUILD,False,0.945,False,nan,0.7281553398058253,,1.0,51200,100,100,512,263200,100,rounds,False,0,0,0.2168446601941747,
elec2,xgb,always_rebuild,2,5,9298,9298,0,1000,REBUILD,False,0.74,False,nan,0.645,,1.0,100000,100,100,1000,363200,100,rounds,False,0,0,0.09499999999999997,
elec2,xgb,always_rebuild,2,6,9586,9586,0,288,REBUILD,False,0.705,False,nan,0.29310344827586204,,1.0,28800,100,100,288,392000,100,rounds,False,0,0,0.4118965517241379,
elec2,xgb,always_rebuild,2,7,9714,9714,0,128,REBUILD,False,0.705,True,nan,0.9615384615384616,,1.0,12800,100,100,128,404800,100,rounds,False,0,0,-0.2565384615384616,
elec2,xgb,always_rebuild,2,8,11570,11570,0,1000,REBUILD,False,0.88,False,nan,0.745,,1.0,100000,100,100,1000,504800,100,rounds,False,0,0,0.135,
elec2,xgb,always_rebuild,2,9,11826,11826,0,256,REBUILD,False,0.765,False,nan,0.23076923076923078,,1.0,25600,100,100,256,530400,100,rounds,False,0,0,0.5342307692307693,
elec2,xgb,always_rebuild,2,10,12594,12594,0,768,REBUILD,False,0.54,False,nan,0.8246753246753247,,1.0,76800,100,100,768,607200,100,rounds,False,0,0,-0.28467532467532464,
