dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,xgb,fixed_schedule,1,0,4722,4722,0,192,NUDGE,False,0.8004410143329658,False,nan,0.9230769230769231,0.9230769230769231,0.9230769230769231,765,5,5,153,765,105,rounds,False,0,1,-0.12263590874395736,0.0
elec2,xgb,fixed_schedule,1,1,5426,5426,0,704,NUDGE,False,0.83,False,nan,0.5957446808510638,0.5106382978723404,0.5106382978723404,2815,5,5,563,3580,110,rounds,False,0,2,0.23425531914893616,0.14184397163120568
elec2,xgb,fixed_schedule,1,2,6194,6194,0,768,REBUILD,False,0.89,False,nan,0.6623376623376623,,1.0,76800,100,100,768,80380,100,rounds,False,0,0,0.22766233766233768,
elec2,xgb,fixed_schedule,1,3,7186,7186,0,992,NUDGE,False,0.84,False,nan,0.6984924623115578,0.7336683417085427,0.7336683417085427,3965,5,5,793,84345,105,rounds,False,0,1,0.14150753768844215,0.135678391959799
elec2,xgb,fixed_schedule,1,4,9298,9298,0,1000,NUDGE,False,0.775,False,nan,0.73,0.695,0.695,4000,5,5,800,88345,110,rounds,False,0,2,0.04500000000000004,0.075
elec2,xgb,fixed_schedule,1,5,10994,10994,0,1000,REBUILD,False,0.67,False,nan,0.605,,1.0,100000,100,100,1000,188345,100,rounds,False,0,0,0.06500000000000006,
elec2,xgb,fixed_schedule,1,6,11570,11570,0,576,NUDGE,False,0.89,False,nan,0.6982758620689655,0.6982758620689655,0.6982758620689655,2300,5,5,460,190645,105,rounds,False,0,1,0.1917241379310345,0.0
elec2,xgb,fixed_schedule,1,7,12562,12562,0,992,NUDGE,False,0.82,False,nan,0.6130653266331658,0.7286432160804021,0.7286432160804021,3965,5,5,793,194610,110,rounds,False,0,2,0.20693467336683413,0.135678391959799
elec2,xgb,fixed_schedule,1,8,12658,12662,4,100,REBUILD,False,0.82,True,nan,1.0,,1.0,10000,100,100,100,204610,100,rounds,False,0,0,-0.18000000000000005,
elec2,xgb,fixed_schedule,1,9,14130,14130,0,1000,NUDGE,False,0.95,False,nan,0.79,0.79,0.79,4000,5,5,800,208610,105,rounds,False,0,1,0.15999999999999992,0.01
elec2,xgb,fixed_schedule,1,10,14962,14962,0,832,NUDGE,False,0.8,False,nan,0.6826347305389222,0.6946107784431138,0.6946107784431138,3325,5,5,665,211935,110,rounds,False,0,2,0.11736526946107784,0.011976047904191617
elec2,xgb,fixed_schedule,1,11,15314,15314,0,352,REBUILD,False,0.66,False,nan,0.9154929577464789,,1.0,35200,100,100,352,247135,100,rounds,False,0,0,-0.25549295774647884,
elec2,xgb,fixed_schedule,1,12,16178,16178,0,864,NUDGE,False,0.72,False,nan,0.8439306358381503,0.6820809248554913,0.6820809248554913,3455,5,5,691,250590,105,rounds,False,0,1,-0.12393063583815034,0.18497109826589594
elec2,xgb,fixed_schedule,1,13,19058,19058,0,1000,NUDGE,False,0.64,False,nan,0.51,0.775,0.775,4000,5,5,800,254590,110,rounds,False,0,2,0.13,0.315
elec2,xgb,fixed_schedule,1,14,19250,19250,0,192,REBUILD,False,0.64,True,nan,0.9487179487179487,,1.0,19200,100,100,192,273790,100,rounds,False,0,0,-0.30871794871794866,
elec2,xgb,fixed_schedule,1,15,20210,20210,0,960,NUDGE,False,0.76,False,nan,0.6666666666666666,0.6875,0.6875,3840,5,5,768,277630,105,rounds,False,0,1,0.09333333333333338,0.1875
elec2,xgb,fixed_schedule,1,16,21362,21362,0,1000,NUDGE,False,0.755,False,nan,0.885,0.83,0.83,4000,5,5,800,281630,110,rounds,False,0,2,-0.13,0.055
elec2,xgb,fixed_schedule,1,17,22514,22514,0,1000,REBUILD,False,0.845,False,nan,0.745,,1.0,100000,100,100,1000,381630,100,rounds,False,0,0,0.09999999999999998,
elec2,xgb,fixed_schedule,1,18,22674,22674,0,160,NUDGE,False,0.845,True,nan,0.34375,0.84375,0.84375,640,5,5,128,382270,105,rounds,False,0,1,0.50125,0.6875
