dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,xgb,mechanism_selector,1,0,4722,4722,0,192,REBUILD,True,0.8004410143329658,False,0.7804410143329658,0.9230769230769231,,1.0,19200,100,100,192,19200,100,rounds,False,0,0,-0.12263590874395736,
elec2,xgb,mechanism_selector,1,1,5362,5362,0,640,REBUILD,False,0.89,False,0.87,0.6640625,0.59375,1.0,66560,105,105,1152,85760,100,rounds,False,0,0,0.2259375,0.0859375
elec2,xgb,mechanism_selector,1,2,5650,5650,0,288,REBUILD,False,0.94,False,0.9199999999999999,0.5517241379310345,0.5517241379310345,1.0,29950,105,105,518,115710,100,rounds,False,0,0,0.38827586206896547,0.0
elec2,xgb,mechanism_selector,1,3,6674,6674,0,1000,REBUILD,False,0.795,False,0.775,0.64,0.77,1.0,104000,105,105,1800,219710,100,rounds,False,0,0,0.15500000000000003,0.17
elec2,xgb,mechanism_selector,1,4,7186,7186,0,512,REBUILD,False,0.945,False,0.9249999999999999,0.7281553398058253,0.6699029126213593,1.0,53245,105,105,921,272955,100,rounds,False,0,0,0.2168446601941747,0.0970873786407767
elec2,xgb,mechanism_selector,1,5,9298,9298,0,1000,REBUILD,False,0.74,False,0.72,0.645,0.58,1.0,104000,105,105,1800,376955,100,rounds,False,0,0,0.09499999999999997,0.175
elec2,xgb,mechanism_selector,1,6,9586,9586,0,288,NUDGE,False,0.705,False,0.6849999999999999,0.29310344827586204,0.9137931034482759,0.9137931034482759,1150,5,5,230,378105,105,rounds,False,0,1,0.4118965517241379,0.6206896551724138
elec2,xgb,mechanism_selector,1,7,10034,10034,0,448,SKIP,False,0.635,False,0.615,0.9111111111111111,,0.9111111111111111,0,0,0,0,378105,105,rounds,False,0,1,-0.2761111111111111,
elec2,xgb,mechanism_selector,1,8,11250,11250,0,1000,SKIP,False,0.785,False,0.765,0.86,,0.86,0,0,0,0,378105,105,rounds,False,0,1,-0.07499999999999996,
elec2,xgb,mechanism_selector,1,9,11570,11570,0,320,NUDGE,False,0.69,False,0.6699999999999999,0.5,0.8125,0.8125,1280,5,5,256,379385,110,rounds,False,0,2,0.18999999999999995,0.3125
elec2,xgb,mechanism_selector,1,10,11858,11858,0,288,NUDGE,False,0.83,False,0.8099999999999999,0.4827586206896552,0.896551724137931,0.896551724137931,1150,5,5,230,380535,115,rounds,False,0,3,0.34724137931034477,0.5517241379310345
elec2,xgb,mechanism_selector,1,11,12594,12594,0,736,REBUILD,False,0.79,False,0.77,0.4527027027027027,0.4864864864864865,1.0,76540,105,105,1324,457075,100,rounds,False,0,0,0.33729729729729735,0.0472972972972973
elec2,xgb,mechanism_selector,1,12,13458,13458,0,864,SKIP,False,0.525,False,0.505,0.630057803468208,,0.630057803468208,0,0,0,0,457075,100,rounds,False,0,0,-0.10505780346820803,
elec2,xgb,mechanism_selector,1,13,13842,13842,0,384,SKIP,False,0.55,False,0.53,0.8961038961038961,,0.8961038961038961,0,0,0,0,457075,100,rounds,False,0,0,-0.346103896103896,
elec2,xgb,mechanism_selector,1,14,14642,14642,0,800,REBUILD,False,0.59,False,0.57,0.475,0.5,1.0,83200,105,105,1440,540275,100,rounds,False,0,0,0.11499999999999999,0.025
elec2,xgb,mechanism_selector,1,15,14962,14962,0,320,NUDGE,False,0.875,False,0.855,0.46875,0.90625,0.90625,1280,5,5,256,541555,105,rounds,False,0,1,0.40625,0.4375
elec2,xgb,mechanism_selector,1,16,15698,15698,0,736,REBUILD,False,0.76,False,0.74,0.722972972972973,0.668918918918919,1.0,76540,105,105,1324,618095,100,rounds,False,0,0,0.03702702702702698,0.14864864864864866
elec2,xgb,mechanism_selector,1,17,16018,16018,0,320,REBUILD,False,0.885,False,0.865,0.453125,0.5625,1.0,33280,105,105,576,651375,100,rounds,False,0,0,0.431875,0.109375
elec2,xgb,mechanism_selector,1,18,16434,16434,0,416,SKIP,False,0.715,False,0.695,0.9880952380952381,,0.9880952380952381,0,0,0,0,651375,100,rounds,False,0,0,-0.27309523809523817,
elec2,xgb,mechanism_selector,1,19,16914,16914,0,480,SKIP,False,0.605,False,0.585,0.8645833333333334,,0.8645833333333334,0,0,0,0,651375,100,rounds,False,0,0,-0.2595833333333334,
elec2,xgb,mechanism_selector,1,20,18482,18482,0,1000,SKIP,False,0.82,False,0.7999999999999999,0.91,,0.91,0,0,0,0,651375,100,rounds,False,0,0,-0.09000000000000008,
elec2,xgb,mechanism_selector,1,21,19058,19058,0,576,REBUILD,False,0.95,False,0.9299999999999999,0.6724137931034483,0.6724137931034483,1.0,59900,105,105,1036,711275,100,rounds,False,0,0,0.27758620689655167,0.0
elec2,xgb,mechanism_selector,1,22,20402,20402,0,1000,REBUILD,False,0.87,False,0.85,0.58,0.605,1.0,104000,105,105,1800,815275,100,rounds,False,0,0,0.29000000000000004,0.065
elec2,xgb,mechanism_selector,1,23,21490,21490,0,1000,SKIP,False,0.76,False,0.74,0.95,,0.95,0,0,0,0,815275,100,rounds,False,0,0,-0.18999999999999995,
elec2,xgb,mechanism_selector,1,24,21810,21810,0,320,SKIP,False,0.73,False,0.71,0.953125,,0.953125,0,0,0,0,815275,100,rounds,False,0,0,-0.22312500000000002,
elec2,xgb,mechanism_selector,1,25,22514,22514,0,704,REBUILD,False,0.89,False,0.87,0.7375886524822695,0.7446808510638298,1.0,73215,105,105,1267,888490,100,rounds,False,0,0,0.15241134751773056,0.0070921985815602835
elec2,xgb,mechanism_selector,1,26,23218,23218,0,704,SKIP,False,0.56,False,0.54,0.8439716312056738,,0.8439716312056738,0,0,0,0,888490,100,rounds,False,0,0,-0.2839716312056737,
elec2,xgb,mechanism_selector,1,27,23474,23474,0,256,SKIP,False,0.305,False,0.285,0.9038461538461539,,0.9038461538461539,0,0,0,0,888490,100,rounds,False,0,0,-0.5988461538461538,
elec2,xgb,mechanism_selector,1,28,23698,23698,0,224,REBUILD,True,0.59,False,0.57,0.26666666666666666,,1.0,22400,100,100,224,910890,100,rounds,False,0,0,0.3233333333333333,
elec2,xgb,mechanism_selector,1,29,23922,23922,0,224,REBUILD,True,0.675,False,0.655,0.26666666666666666,,1.0,22400,100,100,224,933290,100,rounds,False,0,0,0.4083333333333334,
elec2,xgb,mechanism_selector,1,30,24146,24146,0,224,REBUILD,True,0.62,False,0.6,0.2,,1.0,22400,100,100,224,955690,100,rounds,False,0,0,0.42,
elec2,xgb,mechanism_selector,1,31,24530,24530,0,384,REBUILD,False,0.84,False,0.82,0.44155844155844154,0.5324675324675324,1.0,39935,105,105,691,995625,100,rounds,False,0,0,0.39844155844155843,0.09090909090909091
elec2,xgb,mechanism_selector,1,32,24690,24690,0,160,REBUILD,True,0.84,True,0.82,0.96875,,1.0,16000,100,100,160,1011625,100,rounds,False,0,0,-0.12875000000000003,
elec2,xgb,mechanism_selector,1,33,25010,25010,0,320,REBUILD,False,0.87,False,0.85,0.46875,0.5625,1.0,33280,105,105,576,1044905,100,rounds,False,0,0,0.40125,0.3125
elec2,xgb,mechanism_selector,1,34,25202,25202,0,192,REBUILD,True,0.87,True,0.85,0.1794871794871795,,1.0,19200,100,100,192,1064105,100,rounds,False,0,0,0.6905128205128205,
elec2,xgb,mechanism_selector,1,35,27410,27410,0,1000,REBUILD,False,0.59,False,0.57,0.565,0.545,1.0,104000,105,105,1800,1168105,100,rounds,False,0,0,0.025000000000000022,0.03
elec2,xgb,mechanism_selector,1,36,27602,27602,0,192,REBUILD,True,0.59,True,0.57,0.28205128205128205,,1.0,19200,100,100,192,1187305,100,rounds,False,0,0,0.3079487179487179,
elec2,xgb,mechanism_selector,1,37,28786,28786,0,1000,SKIP,False,0.69,False,0.6699999999999999,0.68,,0.68,0,0,0,0,1187305,100,rounds,False,0,0,0.009999999999999898,
elec2,xgb,mechanism_selector,1,38,29266,29266,0,480,SKIP,False,0.615,False,0.595,0.84375,,0.84375,0,0,0,0,1187305,100,rounds,False,0,0,-0.22875,
elec2,xgb,mechanism_selector,1,39,30706,30706,0,1000,SKIP,False,0.73,False,0.71,0.91,,0.91,0,0,0,0,1187305,100,rounds,False,0,0,-0.18000000000000005,
elec2,xgb,mechanism_selector,1,40,30994,30994,0,288,REBUILD,False,0.925,False,0.905,0.4482758620689655,0.5517241379310345,1.0,29950,105,105,518,1217255,100,rounds,False,0,0,0.4767241379310345,0.10344827586206896
elec2,xgb,mechanism_selector,1,41,31154,31154,0,160,REBUILD,True,0.925,True,0.905,0.1875,,1.0,16000,100,100,160,1233255,100,rounds,False,0,0,0.7375,
elec2,xgb,mechanism_selector,1,42,31346,31346,0,192,REBUILD,True,0.925,True,0.905,0.38461538461538464,,1.0,19200,100,100,192,1252455,100,rounds,False,0,0,0.5403846153846155,
elec2,xgb,mechanism_selector,1,43,31474,31474,0,128,REBUILD,True,0.925,True,0.905,0.07692307692307693,,1.0,12800,100,100,128,1265255,100,rounds,False,0,0,0.8480769230769232,
