dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
elec2,xgb,never_adapt,1,0,4722,4722,0,192,SKIP,False,0.8004410143329658,False,nan,0.9230769230769231,,0.9230769230769231,0,0,0,0,0,100,rounds,False,0,0,-0.12263590874395736,
elec2,xgb,never_adapt,1,1,5394,5394,0,672,SKIP,False,0.805,False,nan,0.6444444444444445,,0.6444444444444445,0,0,0,0,0,100,rounds,False,0,0,0.16055555555555556,
elec2,xgb,never_adapt,1,2,5490,5494,4,100,SKIP,False,0.805,True,nan,0.95,,0.95,0,0,0,0,0,100,rounds,False,0,0,-0.1449999999999999,
elec2,xgb,never_adapt,1,3,6194,6194,0,700,SKIP,False,0.755,False,nan,0.5142857142857142,,0.5142857142857142,0,0,0,0,0,100,rounds,False,0,0,0.24071428571428577,
elec2,xgb,never_adapt,1,4,6482,6482,0,288,SKIP,False,0.64,False,nan,0.8793103448275862,,0.8793103448275862,0,0,0,0,0,100,rounds,False,0,0,-0.23931034482758617,
elec2,xgb,never_adapt,1,5,7186,7186,0,704,SKIP,False,0.84,False,nan,0.5815602836879432,,0.5815602836879432,0,0,0,0,0,100,rounds,False,0,0,0.25843971631205676,
elec2,xgb,never_adapt,1,6,8434,8434,0,1000,SKIP,False,0.745,False,nan,0.83,,0.83,0,0,0,0,0,100,rounds,False,0,0,-0.08499999999999996,
elec2,xgb,never_adapt,1,7,9298,9298,0,864,SKIP,False,0.755,False,nan,0.6242774566473989,,0.6242774566473989,0,0,0,0,0,100,rounds,False,0,0,0.13072254335260114,
elec2,xgb,never_adapt,1,8,9554,9554,0,256,SKIP,False,0.78,False,nan,0.36538461538461536,,0.36538461538461536,0,0,0,0,0,100,rounds,False,0,0,0.41461538461538466,
elec2,xgb,never_adapt,1,9,10098,10098,0,544,SKIP,False,0.72,False,nan,0.9541284403669725,,0.9541284403669725,0,0,0,0,0,100,rounds,False,0,0,-0.23412844036697256,
elec2,xgb,never_adapt,1,10,10898,10898,0,800,SKIP,False,0.92,False,nan,0.76875,,0.76875,0,0,0,0,0,100,rounds,False,0,0,0.15125,
elec2,xgb,never_adapt,1,11,11186,11186,0,288,SKIP,False,0.865,False,nan,0.3793103448275862,,0.3793103448275862,0,0,0,0,0,100,rounds,False,0,0,0.4856896551724138,
elec2,xgb,never_adapt,1,12,11826,11826,0,640,SKIP,False,0.61,False,nan,0.84375,,0.84375,0,0,0,0,0,100,rounds,False,0,0,-0.23375,
elec2,xgb,never_adapt,1,13,13842,13842,0,1000,SKIP,False,0.715,False,nan,0.9,,0.9,0,0,0,0,0,100,rounds,False,0,0,-0.18500000000000005,
elec2,xgb,never_adapt,1,14,14834,14834,0,992,SKIP,False,0.675,False,nan,0.914572864321608,,0.914572864321608,0,0,0,0,0,100,rounds,False,0,0,-0.23957286432160796,
elec2,xgb,never_adapt,1,15,15378,15378,0,544,SKIP,False,0.67,False,nan,0.9357798165137615,,0.9357798165137615,0,0,0,0,0,100,rounds,False,0,0,-0.2657798165137615,
elec2,xgb,never_adapt,1,16,16050,16050,0,672,SKIP,False,0.64,False,nan,0.7851851851851852,,0.7851851851851852,0,0,0,0,0,100,rounds,False,0,0,-0.1451851851851852,
elec2,xgb,never_adapt,1,17,16242,16242,0,192,SKIP,False,0.64,True,nan,0.28205128205128205,,0.28205128205128205,0,0,0,0,0,100,rounds,False,0,0,0.35794871794871796,
elec2,xgb,never_adapt,1,18,17554,17554,0,1000,SKIP,False,0.71,False,nan,0.585,,0.585,0,0,0,0,0,100,rounds,False,0,0,0.125,
