dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
insects_abrupt,gnb,fixed_schedule,0,0,13091,13091,0,1000,NUDGE,False,0.6463030138345929,False,nan,0.71,0.745,0.745,800,1,0,800,800,402,params,False,0,1,-0.06369698616540709,0.09
insects_abrupt,gnb,fixed_schedule,0,1,14403,14403,0,1000,NUDGE,False,0.75,False,nan,0.1774774774774775,0.17882882882882883,0.17882882882882883,800,1,0,800,1600,402,params,False,0,2,0.5725225225225226,0.015
insects_abrupt,gnb,fixed_schedule,0,2,17955,17955,0,1000,REBUILD,False,0.058694624840763356,False,nan,0.10338130044414197,,0.5847041101480992,1000,1,0,1000,2600,402,params,False,0,0,-0.04468667560337861,
insects_abrupt,gnb,fixed_schedule,0,3,19555,19555,0,1000,NUDGE,False,0.6469784391132706,False,nan,0.3757927175411564,0.4080674722244749,0.4080674722244749,800,1,0,800,3400,402,params,False,0,1,0.2711857215721142,0.125
insects_abrupt,gnb,fixed_schedule,0,4,28227,28227,0,1000,NUDGE,False,0.22975456874827946,False,nan,0.14278222730739892,0.24345510515418983,0.24345510515418983,800,1,0,800,4200,402,params,False,0,2,0.08697234144088054,0.395
insects_abrupt,gnb,fixed_schedule,0,5,33251,33251,0,1000,REBUILD,False,0.23744526546250685,False,nan,0.39318181818181824,,0.7686868686868688,1000,1,0,1000,5200,402,params,False,0,0,-0.1557365527193114,
insects_abrupt,gnb,fixed_schedule,0,6,38275,38275,0,1000,NUDGE,False,0.26344210063722256,False,nan,0.2505050505050505,0.520711387378054,0.520711387378054,800,1,0,800,6000,402,params,False,0,1,0.012937050132172057,0.71
insects_abrupt,gnb,fixed_schedule,0,7,38883,38883,0,608,NUDGE,False,0.28,False,nan,0.4712447786131997,0.47251461988304094,0.47251461988304094,486,1,0,486,6486,402,params,False,0,2,-0.19124477861319966,0.12295081967213115
insects_abrupt,gnb,fixed_schedule,0,8,40035,40035,0,1000,REBUILD,False,0.4417594386298973,False,nan,0.4692733789507983,,0.5712121212121212,1000,1,0,1000,7486,402,params,False,0,0,-0.027513940320900987,
insects_abrupt,gnb,fixed_schedule,0,9,47107,47107,0,1000,NUDGE,False,0.6921343991036997,False,nan,0.5346710399382597,0.5955083928226895,0.5955083928226895,800,1,0,800,8286,402,params,False,0,1,0.15746335916543996,0.09
insects_abrupt,gnb,fixed_schedule,0,10,52067,52067,0,1000,NUDGE,False,0.6432543276972624,False,nan,0.6494922341696535,0.6569593787335724,0.6569593787335724,800,1,0,800,9086,402,params,False,0,2,-0.006237906472391086,0.03
