dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change
insects_abrupt,rf,mechanism_selector,0,0,12643,12643,0,1000,REBUILD,False,0.7201559270610333,False,0.7001559270610332,0.6916951406999581,0.6911115739399207,1.0,104000,105,105,1800,104000,100,trees,False,0,0,0.028460786361075185,0.015
insects_abrupt,rf,mechanism_selector,0,1,14467,14467,0,1000,REBUILD,False,0.345,False,0.32499999999999996,0.1597222222222222,0.16765873015873015,1.0,104000,105,105,1800,208000,100,trees,True,5,0,0.18527777777777776,0.025
insects_abrupt,rf,mechanism_selector,0,2,18147,18147,0,1000,REBUILD,False,0.33605752249600535,False,0.3160575224960053,0.26521739130434785,0.2608695652173913,1.0,104000,105,105,1800,312000,100,trees,False,0,0,0.0708401311916575,0.015
insects_abrupt,rf,mechanism_selector,0,3,19555,19555,0,1000,REBUILD,False,0.5997355304648562,False,0.5797355304648562,0.27299759413943175,0.27820128132349364,1.0,104000,105,105,1800,416000,100,trees,True,5,0,0.3267379363254244,0.02
insects_abrupt,rf,mechanism_selector,0,4,28067,28067,0,1000,SKIP,False,0.3165094339622641,False,0.2965094339622641,0.315858268983269,,0.315858268983269,0,0,0,0,416000,100,trees,False,0,0,0.0006511649789950891,
insects_abrupt,rf,mechanism_selector,0,5,33187,33187,0,1000,REBUILD,False,0.229251012145749,False,0.209251012145749,0.2032828282828283,0.1866258741258741,1.0,104000,105,105,1800,520000,100,trees,True,4,0,0.025968183862920713,0.02
insects_abrupt,rf,mechanism_selector,0,6,33315,33315,0,128,REBUILD,True,0.229251012145749,True,0.209251012145749,0.16666666666666666,,1.0,12800,100,100,128,532800,100,trees,False,0,0,0.06258434547908234,
insects_abrupt,rf,mechanism_selector,0,7,38819,38819,0,1000,REBUILD,False,0.56255140435067,False,0.54255140435067,0.2591156120567885,0.25904558404558403,1.0,104000,105,105,1800,636800,100,trees,False,0,0,0.30343579229388146,0.025
insects_abrupt,rf,mechanism_selector,0,8,39811,39811,0,992,SKIP,False,0.4422445745975157,False,0.4222445745975157,0.6449200857294405,,0.6449200857294405,0,0,0,0,636800,100,trees,False,0,0,-0.20267551113192478,
insects_abrupt,rf,mechanism_selector,0,9,46851,46851,0,1000,REBUILD,False,0.5218753048483075,False,0.5018753048483074,0.4468310902207706,0.46196974330509427,1.0,104000,105,105,1800,740800,100,trees,True,1,0,0.07504421462753685,0.03
