dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
elec2,xgb,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,74,74,0,0,74,0,0,0,0,11,0,,0,0,0,3742400,7400,37424,7400,9.059286500003509,5.209806472189831e-05,362400,0.827,0.7420367327922317,0.8366504493574008,0.7332180228413645,rounds,100,100,4628,2056,node_visits,569.399,445.83,0.782983461509416,4.123599999729777,3.2809999975143,14.31197070000053,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,71,71,23,5,43,16,1,0,0,10,32,5,0,0,0,2051495,4460,35011,4460,5.933874999995169,3.6822710834004106e-05,362400,0.551,0.7126112650499007,0.5787992495309568,0.7065154278400612,rounds,100,100,4628,952,node_visits,569.399,341.522,0.5997938176919875,3.983300000982126,2.5461000004725065,8.66253350000261,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,52,52,0,35,17,0,1,0,0,4,35,,0,0,0,1032595,1875,27843,1875,3.0089950999754365,2.3068706389217516e-05,362400,0.876,0.7359799906819352,0.8745294502854434,0.729698439819628,rounds,100,105,4628,1305,node_visits,569.399,379.623,0.6667082309593098,3.3557999995537102,2.7484999991429504,5.68942479999896,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,AlwaysNudge,always_nudge,0,40781,3624,accuracy,53,53,0,53,0,0,1,0,0,8,53,,0,0,0,124245,265,24849,265,1.9322681999983615,2.214602500033864e-05,362400,0.79,0.7219783722812094,0.7898767029179103,0.717456888356599,rounds,100,365,4628,10307,node_visits,569.399,1636.587,2.8742358170632545,3.7081000009493437,9.524699999019504,5.348866699998325,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,xgb,NeverAdapt,never_adapt,0,40781,3624,accuracy,79,79,79,0,0,0,1,0,0,18,0,,0,0,0,0,0,0,0,0.0,4.75036638889692e-06,362400,0.712,0.7068978200632647,0.6954935699908803,0.6694052678219897,rounds,100,100,4628,4628,node_visits,569.399,569.399,1.0,3.777900001296075,4.1674999993119854,2.4568583000000217,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,AlwaysRebuild,always_rebuild,0,40781,3624,accuracy,59,59,0,0,59,0,2,0,0,8,0,,0,0,0,3468000,5900,34680,5900,10.758433899998636,6.38573380562223e-05,362400,0.877,0.7388489737868125,0.8734788739750352,0.7306569238174769,trees,100,100,66150,13782,node_visits,795.968,643.83,0.808864175444239,12.480499997764127,15.766299999086186,15.258721799997147,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,MechanismSelector,mechanism_selector,0,40781,3624,accuracy,52,52,16,3,33,11,3,0,0,8,25,3,0,0,0,1737105,3425,30957,3425,6.095627799979411,4.143638861111597e-05,362400,0.52,0.6970893308158211,0.5429571212200345,0.6756311807823855,trees,100,100,66150,1698,node_visits,795.968,409.911,0.5149842707244513,13.056899999355664,11.49269999950775,10.394489400001476,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,FixedSchedule(k=3),fixed_schedule,0,40781,3624,accuracy,71,71,0,48,23,0,1,0,0,13,48,,0,0,0,1282310,2540,31502,2540,4.581972899999528,3.793572277777807e-05,362400,0.74,0.7385301978862706,0.7551695184222473,0.7288083057059785,trees,100,100,66150,7216,node_visits,795.968,579.73,0.728333299831149,18.05229999808944,11.700199996994343,9.663229099998716,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,AlwaysNudge,always_nudge,0,40781,3624,accuracy,74,74,0,74,0,0,0,0,0,12,74,,0,0,0,148895,370,29779,370,0.7397973000151978,2.142573361144452e-05,362400,0.793,0.7465241166229372,0.7853991989104538,0.7340060816535596,trees,100,100,66150,5410,node_visits,795.968,506.753,0.636649965827772,14.143699998385273,11.797099999967031,6.070246600000246,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
elec2,rf,NeverAdapt,never_adapt,0,40781,3624,accuracy,79,79,79,0,0,0,1,0,0,19,0,,0,0,0,0,0,0,0,0.0,1.283702722189095e-05,362400,0.715,0.7114832887864446,0.6963191662883521,0.6704092680526967,trees,100,100,66150,66150,node_visits,795.968,795.968,1.0,15.48440000260598,13.790899996820372,4.25257480000073,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
