dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,gnb,always_nudge,2,0,18015,18015,0,1000,NUDGE,False,0.5615240425974953,False,nan,0.49523809523809526,0.6722943722943723,0.6722943722943723,800,1,0,800,800,763,params,False,0,1,0.06628594735940008,0.45,,,,0.69,0.6,0.645,0.67,0.706,0.636
covtype,gnb,always_nudge,2,1,18059,18115,56,100,NUDGE,False,0.5615240425974953,True,nan,1.0,1.0,1.0,80,1,0,80,880,763,params,False,0,2,-0.43847595740250467,0.0,,,,0.79,0.48,0.635,0.635,0.666,0.696
covtype,gnb,always_nudge,2,2,18124,18215,91,100,NUDGE,False,0.5615240425974953,True,nan,0.2,0.2,0.2,80,1,0,80,960,763,params,False,0,3,0.3615240425974953,0.0,,,,0.42,0.69,0.555,0.695,0.6,0.702
covtype,gnb,always_nudge,2,3,18496,18496,0,281,NUDGE,False,0.7342592592592592,False,nan,0.2631578947368421,0.2631578947368421,0.2631578947368421,224,1,0,224,1184,763,params,False,0,4,0.4711013645224171,0.0,,,,0.71,0.46,0.585,0.615,0.586,0.68
covtype,gnb,always_nudge,2,4,18553,18596,43,100,NUDGE,False,0.7342592592592592,True,nan,0.0,0.0,0.0,80,1,0,80,1264,763,params,False,0,5,0.7342592592592592,0.0,,,,0.41,0.78,0.595,0.52,0.538,0.666
covtype,gnb,always_nudge,2,5,18673,18696,23,100,NUDGE,False,0.7342592592592592,True,nan,0.2,0.2,0.2,80,1,0,80,1344,763,params,False,0,6,0.5342592592592592,0.0,,,,0.8,0.48,0.64,0.555,0.59,0.61
covtype,gnb,always_nudge,2,6,18810,18810,0,114,NUDGE,False,0.7342592592592592,True,nan,0.0,0.0,0.0,91,1,0,91,1435,763,params,False,0,7,0.7342592592592592,0.0,,,,0.55,0.76,0.655,0.665,0.62,0.582
covtype,gnb,always_nudge,2,7,18891,18910,19,100,NUDGE,False,0.7342592592592592,True,nan,0.15,0.15,0.15,80,1,0,80,1515,763,params,False,0,8,0.5842592592592591,0.0,,,,0.87,0.55,0.71,0.62,0.664,0.568
covtype,gnb,always_nudge,2,8,19034,19034,0,124,NUDGE,False,0.7342592592592592,True,nan,0.0,0.0,0.0,99,1,0,99,1614,763,params,False,0,9,0.7342592592592592,0.0,,,,0.63,0.85,0.74,0.75,0.714,0.562
covtype,gnb,always_nudge,2,9,19111,19134,23,100,NUDGE,False,0.7342592592592592,True,nan,0.15,0.15,0.15,80,1,0,80,1694,763,params,False,0,10,0.5842592592592591,0.0,,,,0.85,0.63,0.74,0.695,0.726,0.606
covtype,gnb,always_nudge,2,10,19259,19259,0,125,NUDGE,False,0.7342592592592592,True,nan,0.0,0.0,0.0,100,1,0,100,1794,763,params,False,0,11,0.7342592592592592,0.0,,,,0.65,0.83,0.74,0.795,0.764,0.604
covtype,gnb,always_nudge,2,11,19496,19496,0,237,NUDGE,False,0.6764069264069263,False,nan,0.041666666666666664,0.041666666666666664,0.041666666666666664,189,1,0,189,1983,763,params,False,0,12,0.6347402597402597,0.0,,,,0.65,0.86,0.755,0.765,0.772,0.658
covtype,gnb,always_nudge,2,12,19711,19711,0,215,NUDGE,False,0.6811798412474754,False,nan,0.046511627906976744,0.046511627906976744,0.046511627906976744,172,1,0,172,2155,763,params,False,0,13,0.6346682133404987,0.0,,,,0.64,0.77,0.705,0.75,0.76,0.702
