dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,gnb,always_rebuild,4,0,18015,18015,0,1000,REBUILD,False,0.5615240425974953,False,nan,0.49523809523809526,,0.8727272727272727,1000,1,0,1000,1000,763,params,True,4,0,0.06628594735940008,,,,,0.69,0.6,0.645,0.67,0.706,0.636
covtype,gnb,always_rebuild,4,1,18064,18115,51,100,REBUILD,False,0.5615240425974953,True,nan,1.0,,1.0,100,1,0,100,1100,763,params,True,4,0,-0.43847595740250467,,,,,0.52,0.48,0.5,0.63,0.61,0.702
covtype,gnb,always_rebuild,4,2,18127,18215,88,100,REBUILD,False,0.5615240425974953,True,nan,0.6,,1.0,100,1,0,100,1200,763,params,True,4,0,-0.038475957402504646,,,,,0.26,0.67,0.465,0.695,0.562,0.702
covtype,gnb,always_rebuild,4,3,18310,18315,5,100,REBUILD,False,0.5615240425974953,True,nan,0.0,,1.0,100,1,0,100,1300,763,params,True,4,0,0.5615240425974953,,,,,0.24,0.73,0.485,0.435,0.492,0.708
covtype,gnb,always_rebuild,4,4,18557,18557,0,242,REBUILD,False,0.7845911949685535,False,nan,0.5,,0.5,242,1,0,242,1542,763,params,True,4,0,0.28459119496855345,,,,,0.12,0.07,0.095,0.345,0.288,0.622
covtype,gnb,always_rebuild,4,5,18591,18657,66,100,REBUILD,False,0.7845911949685535,True,nan,1.0,,1.0,100,1,0,100,1642,763,params,True,5,0,-0.21540880503144655,,,,,0.15,0.04,0.095,0.24,0.264,0.584
covtype,gnb,always_rebuild,4,6,18730,18757,27,100,REBUILD,False,0.7845911949685535,True,nan,0.0,,1.0,100,1,0,100,1742,763,params,True,4,0,0.7845911949685535,,,,,0.07,0.24,0.155,0.085,0.154,0.584
covtype,gnb,always_rebuild,4,7,19010,19010,0,253,REBUILD,False,0.5674157303370787,False,nan,0.5,,0.8,253,1,0,253,1995,763,params,True,4,0,0.0674157303370787,,,,,0.31,0.13,0.22,0.36,0.278,0.278
covtype,gnb,always_rebuild,4,8,19061,19110,49,100,REBUILD,False,0.5674157303370787,True,nan,1.0,,1.0,100,1,0,100,2095,763,params,True,5,0,-0.4325842696629213,,,,,0.26,0.06,0.16,0.42,0.258,0.29
covtype,gnb,always_rebuild,4,9,19177,19210,33,100,REBUILD,False,0.5674157303370787,True,nan,0.5,,0.5,100,1,0,100,2195,763,params,True,5,0,0.0674157303370787,,,,,0.03,0.28,0.155,0.225,0.242,0.164
covtype,gnb,always_rebuild,4,10,19455,19455,0,245,REBUILD,False,0.4583333333333333,False,nan,0.5,,0.7951505016722409,245,1,0,245,2440,763,params,True,4,0,-0.041666666666666685,,,,,0.23,0.17,0.2,0.315,0.256,0.232
covtype,gnb,always_rebuild,4,11,19511,19555,44,100,REBUILD,False,0.4583333333333333,True,nan,0.5,,0.9375,100,1,0,100,2540,763,params,True,4,0,-0.041666666666666685,,,,,0.24,0.1,0.17,0.335,0.208,0.278
covtype,gnb,always_rebuild,4,12,19632,19655,23,100,REBUILD,False,0.4583333333333333,True,nan,0.0,,1.0,100,1,0,100,2640,763,params,True,5,0,0.4583333333333333,,,,,0.21,0.25,0.23,0.1,0.246,0.236
covtype,gnb,always_rebuild,4,13,19920,19920,0,265,REBUILD,False,0.38347012788700136,False,nan,0.5,,0.7326923076923078,265,1,0,265,2905,763,params,True,5,0,-0.11652987211299864,,,,,0.42,0.4,0.41,0.54,0.43,0.222
covtype,gnb,always_rebuild,4,14,19964,20020,56,100,REBUILD,False,0.38347012788700136,True,nan,0.5,,0.7272727272727273,100,1,0,100,3005,763,params,True,5,0,-0.11652987211299864,,,,,0.41,0.25,0.33,0.56,0.386,0.256
covtype,gnb,always_rebuild,4,15,20086,20120,34,100,REBUILD,False,0.38347012788700136,True,nan,0.5,,0.7352941176470589,100,1,0,100,3105,763,params,True,5,0,-0.11652987211299864,,,,,0.25,0.48,0.365,0.41,0.432,0.23
covtype,gnb,always_rebuild,4,16,20220,20220,0,100,REBUILD,False,0.38347012788700136,True,nan,0.5,,0.9545454545454546,100,1,0,100,3205,763,params,True,5,0,-0.11652987211299864,,,,,0.09,0.3,0.195,0.34,0.294,0.33
covtype,gnb,always_rebuild,4,17,20303,20320,17,100,REBUILD,False,0.38347012788700136,True,nan,0.0,,1.0,100,1,0,100,3305,763,params,True,5,0,0.38347012788700136,,,,,0.23,0.0,0.115,0.365,0.242,0.37
covtype,gnb,always_rebuild,4,18,20609,20609,0,289,REBUILD,False,0.6264367816091954,False,nan,0.05172413793103448,,0.8103448275862069,289,1,0,289,3594,763,params,True,5,0,0.5747126436781609,,,,,0.56,0.49,0.525,0.605,0.452,0.466
covtype,gnb,always_rebuild,4,19,20643,20709,66,100,REBUILD,False,0.6264367816091954,True,nan,0.5,,0.4166666666666667,100,1,0,100,3694,763,params,True,5,0,0.12643678160919536,,,,,0.56,0.24,0.4,0.65,0.454,0.428
covtype,gnb,always_rebuild,4,20,20774,20809,35,100,REBUILD,False,0.6264367816091954,True,nan,1.0,,1.0,100,1,0,100,3794,763,params,True,5,0,-0.37356321839080464,,,,,0.44,0.58,0.51,0.525,0.552,0.258
covtype,gnb,always_rebuild,4,21,21023,21023,0,214,REBUILD,False,0.9887640449438202,False,nan,0.7692307692307692,,0.7692307692307692,214,1,0,214,4008,763,params,True,5,0,0.21953327571305103,,,,,0.06,0.04,0.05,0.365,0.276,0.402
covtype,gnb,always_rebuild,4,22,21227,21227,0,204,REBUILD,False,0.975,False,nan,0.4868421052631579,,0.986842105263158,204,1,0,204,4212,763,params,True,5,0,0.48815789473684207,,,,,0.04,0.01,0.025,0.07,0.094,0.518
covtype,gnb,always_rebuild,4,23,21478,21478,0,251,REBUILD,False,0.5,False,nan,0.6,,1.0,251,1,0,251,4463,763,params,True,5,0,-0.09999999999999998,,,,,0.12,0.0,0.06,0.16,0.11,0.272
covtype,gnb,always_rebuild,4,24,21742,21742,0,264,REBUILD,False,0.9805555555555556,False,nan,0.8157894736842105,,0.8157894736842105,264,1,0,264,4727,763,params,True,5,0,0.16476608187134512,,,,,0.07,0.0,0.035,0.095,0.078,0.124
covtype,gnb,always_rebuild,4,25,21894,21894,0,152,REBUILD,False,0.9805555555555556,True,nan,0.5,,1.0,152,1,0,152,4879,763,params,True,5,0,0.4805555555555556,,,,,0.03,0.1,0.065,0.035,0.064,0.094
covtype,gnb,always_rebuild,4,26,21937,21994,57,100,REBUILD,False,0.9805555555555556,True,nan,1.0,,0.9,100,1,0,100,4979,763,params,True,5,0,-0.019444444444444375,,,,,0.04,0.08,0.06,0.01,0.066,0.086
covtype,gnb,always_rebuild,4,27,23199,23199,0,1000,REBUILD,False,0.8837312113174183,False,nan,0.7259769155889306,,0.8045473508552357,1000,1,0,1000,5979,763,params,True,5,0,0.15775429572848765,,,,,0.24,0.17,0.205,0.165,0.148,0.116
covtype,gnb,always_rebuild,4,28,23487,23487,0,288,REBUILD,False,0.4667464751263634,False,nan,0.625,,0.7916666666666667,288,1,0,288,6267,763,params,True,5,0,-0.1582535248736366,,,,,0.35,0.23,0.29,0.315,0.276,0.124
covtype,gnb,always_rebuild,4,29,23609,23609,0,122,REBUILD,False,0.4667464751263634,True,nan,0.8,,1.0,122,1,0,122,6389,763,params,True,5,0,-0.33325352487363663,,,,,0.06,0.32,0.19,0.295,0.258,0.144
covtype,gnb,always_rebuild,4,30,23658,23709,51,100,REBUILD,False,0.4667464751263634,True,nan,0.0,,1.0,100,1,0,100,6489,763,params,True,5,0,0.4667464751263634,,,,,0.05,0.25,0.15,0.2,0.24,0.142
covtype,gnb,always_rebuild,4,31,23750,23809,59,100,REBUILD,False,0.4667464751263634,True,nan,1.0,,1.0,100,1,0,100,6589,763,params,True,5,0,-0.5332535248736365,,,,,0.48,0.04,0.26,0.235,0.234,0.22
