dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,gnb,fixed_schedule,3,0,18015,18015,0,1000,NUDGE,False,0.5615240425974953,False,nan,0.49523809523809526,0.6722943722943723,0.6722943722943723,800,1,0,800,800,763,params,False,0,1,0.06628594735940008,0.45,,,,0.69,0.6,0.645,0.67,0.706,0.636
covtype,gnb,fixed_schedule,3,1,18059,18115,56,100,NUDGE,False,0.5615240425974953,True,nan,1.0,1.0,1.0,80,1,0,80,880,763,params,False,0,2,-0.43847595740250467,0.0,,,,0.79,0.48,0.635,0.635,0.666,0.696
covtype,gnb,fixed_schedule,3,2,18124,18215,91,100,REBUILD,False,0.5615240425974953,True,nan,0.2,,1.0,100,1,0,100,980,763,params,True,4,0,0.3615240425974953,,,,,0.42,0.69,0.555,0.695,0.6,0.702
covtype,gnb,fixed_schedule,3,3,18309,18315,6,100,NUDGE,False,0.5615240425974953,True,nan,0.0,0.8,0.8,80,1,0,80,1060,763,params,False,0,1,0.5615240425974953,0.8,,,,0.29,0.62,0.455,0.535,0.52,0.708
covtype,gnb,fixed_schedule,3,4,18361,18415,54,100,NUDGE,False,0.5615240425974953,True,nan,1.0,1.0,1.0,80,1,0,80,1140,763,params,False,0,2,-0.43847595740250467,0.0,,,,0.59,0.3,0.445,0.63,0.524,0.672
covtype,gnb,fixed_schedule,3,5,18519,18519,0,104,REBUILD,False,0.5615240425974953,True,nan,0.4239316239316239,,0.7777777777777777,104,1,0,104,1244,763,params,True,4,0,0.1375924186658714,,,,,0.11,0.46,0.285,0.47,0.376,0.698
covtype,gnb,fixed_schedule,3,6,18758,18758,0,239,NUDGE,False,0.39285714285714285,False,nan,0.7772435897435898,0.9022435897435898,0.9022435897435898,191,1,0,191,1435,763,params,False,0,1,-0.3843864468864469,0.3125,,,,0.17,0.05,0.11,0.265,0.262,0.576
covtype,gnb,fixed_schedule,3,7,18816,18858,42,100,NUDGE,False,0.39285714285714285,True,nan,1.0,1.0,1.0,80,1,0,80,1515,763,params,False,0,2,-0.6071428571428572,0.0,,,,0.35,0.0,0.175,0.195,0.24,0.518
covtype,gnb,fixed_schedule,3,8,18945,18958,13,100,REBUILD,False,0.39285714285714285,True,nan,0.5202020202020202,,0.8333333333333333,100,1,0,100,1615,763,params,True,5,0,-0.12734487734487737,,,,,0.05,0.36,0.205,0.055,0.168,0.478
covtype,gnb,fixed_schedule,3,9,19198,19198,0,240,NUDGE,False,0.3333333333333333,False,nan,0.6458333333333334,0.9375,0.9375,192,1,0,192,1807,763,params,False,0,1,-0.31250000000000006,0.4166666666666667,,,,0.17,0.05,0.11,0.245,0.196,0.256
covtype,gnb,fixed_schedule,3,10,19326,19326,0,128,NUDGE,False,0.3333333333333333,True,nan,0.5,0.5,0.5,102,1,0,102,1909,763,params,False,0,2,-0.16666666666666669,0.0,,,,0.07,0.25,0.16,0.205,0.156,0.232
covtype,gnb,fixed_schedule,3,11,19436,19436,0,110,REBUILD,False,0.3333333333333333,True,nan,0.5,,0.5,110,1,0,110,2019,763,params,True,5,0,-0.16666666666666669,,,,,0.04,0.11,0.075,0.15,0.162,0.158
covtype,gnb,fixed_schedule,3,12,19687,19687,0,251,NUDGE,False,0.32943469785575047,False,nan,0.5,0.5,0.5,200,1,0,200,2219,763,params,False,0,1,-0.17056530214424953,0.0,,,,0.32,0.43,0.375,0.325,0.32,0.174
covtype,gnb,fixed_schedule,3,13,19919,19919,0,232,NUDGE,False,0.6137931034482759,False,nan,0.5,0.6538461538461539,0.6538461538461539,185,1,0,185,2404,763,params,False,0,2,0.11379310344827587,0.2553191489361702,,,,0.56,0.56,0.56,0.41,0.548,0.154
covtype,gnb,fixed_schedule,3,14,19978,20019,41,100,REBUILD,False,0.6137931034482759,True,nan,0.5,,0.7,100,1,0,100,2504,763,params,True,5,0,0.11379310344827587,,,,,0.45,0.4,0.425,0.5,0.468,0.188
