dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,gnb,mechanism_selector,1,0,18015,18015,0,1000,NUDGE,False,0.5615240425974953,False,0.5415240425974953,0.49523809523809526,0.6722943722943723,0.6722943722943723,800,1,0,800,800,763,params,False,0,1,0.06628594735940008,0.45,,,,0.69,0.6,0.645,0.67,0.706,0.636
covtype,gnb,mechanism_selector,1,1,18059,18115,56,100,REBUILD,True,0.5615240425974953,True,0.5415240425974953,1.0,,1.0,100,1,0,100,900,763,params,True,4,0,-0.43847595740250467,,,,,0.79,0.48,0.635,0.635,0.666,0.696
covtype,gnb,mechanism_selector,1,2,18124,18215,91,100,REBUILD,True,0.5615240425974953,True,0.5415240425974953,0.6,,1.0,100,1,0,100,1000,763,params,True,4,0,-0.038475957402504646,,,,,0.42,0.69,0.555,0.695,0.6,0.702
covtype,gnb,mechanism_selector,1,3,18311,18315,4,100,REBUILD,True,0.5615240425974953,True,0.5415240425974953,0.0,,1.0,100,1,0,100,1100,763,params,True,4,0,0.5615240425974953,,,,,0.25,0.73,0.49,0.525,0.53,0.708
covtype,gnb,mechanism_selector,1,4,18557,18557,0,242,REBUILD,True,0.7845911949685535,False,0.7645911949685534,0.5,,0.5,242,1,0,242,1342,763,params,True,4,0,0.28459119496855345,,,,,0.12,0.07,0.095,0.345,0.282,0.666
covtype,gnb,mechanism_selector,1,5,18591,18657,66,100,REBUILD,True,0.7845911949685535,True,0.7645911949685534,1.0,,1.0,100,1,0,100,1442,763,params,True,5,0,-0.21540880503144655,,,,,0.15,0.04,0.095,0.24,0.264,0.622
covtype,gnb,mechanism_selector,1,6,18730,18757,27,100,REBUILD,True,0.7845911949685535,True,0.7645911949685534,0.0,,1.0,100,1,0,100,1542,763,params,True,4,0,0.7845911949685535,,,,,0.07,0.24,0.155,0.085,0.154,0.622
covtype,gnb,mechanism_selector,1,7,19010,19010,0,253,REBUILD,False,0.5674157303370787,False,0.5474157303370787,0.5,0.5,0.8,455,2,0,455,1997,763,params,True,4,0,0.0674157303370787,0.0,,,,0.31,0.13,0.22,0.36,0.278,0.316
covtype,gnb,mechanism_selector,1,8,19061,19110,49,100,REBUILD,True,0.5674157303370787,True,0.5474157303370787,1.0,,1.0,100,1,0,100,2097,763,params,True,5,0,-0.4325842696629213,,,,,0.26,0.06,0.16,0.42,0.258,0.276
covtype,gnb,mechanism_selector,1,9,19177,19210,33,100,REBUILD,True,0.5674157303370787,True,0.5474157303370787,0.5,,0.5,100,1,0,100,2197,763,params,True,5,0,0.0674157303370787,,,,,0.03,0.28,0.155,0.225,0.242,0.164
