dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,gnb,never_adapt,3,0,18015,18015,0,1000,SKIP,False,0.5615240425974953,False,nan,0.49523809523809526,,0.49523809523809526,0,0,0,0,0,763,params,False,0,0,0.06628594735940008,,,,,0.69,0.6,0.645,0.67,0.706,0.636
covtype,gnb,never_adapt,3,1,18216,18216,0,201,SKIP,False,0.5441336441336442,False,nan,0.5,,0.5,0,0,0,0,0,763,params,False,0,0,0.04413364413364418,,,,,0.66,0.62,0.64,0.645,0.674,0.652
covtype,gnb,never_adapt,3,2,18446,18446,0,230,SKIP,False,0.5657407407407408,False,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.5657407407407408,,,,,0.81,0.56,0.685,0.64,0.716,0.622
covtype,gnb,never_adapt,3,3,18653,18653,0,207,SKIP,False,0.6209963441916299,False,nan,0.5,,0.5,0,0,0,0,0,763,params,False,0,0,0.12099634419162986,,,,,0.67,0.55,0.61,0.685,0.694,0.62
covtype,gnb,never_adapt,3,4,18874,18874,0,221,SKIP,False,0.6335497835497835,False,nan,0.5,,0.5,0,0,0,0,0,763,params,False,0,0,0.13354978354978353,,,,,0.63,0.55,0.59,0.61,0.666,0.648
covtype,gnb,never_adapt,3,5,19096,19096,0,222,SKIP,False,0.6573918873617164,False,nan,0.5,,0.5,0,0,0,0,0,763,params,False,0,0,0.1573918873617164,,,,,0.54,0.51,0.525,0.59,0.618,0.668
covtype,gnb,never_adapt,3,6,19314,19314,0,218,SKIP,False,0.6704060765410459,False,nan,0.6071428571428571,,0.6071428571428571,0,0,0,0,0,763,params,False,0,0,0.0632632193981888,,,,,0.43,0.56,0.495,0.525,0.578,0.648
covtype,gnb,never_adapt,3,7,19538,19538,0,224,SKIP,False,0.7012987012987013,False,nan,0.6395348837209303,,0.6395348837209303,0,0,0,0,0,763,params,False,0,0,0.06176381757777105,,,,,0.4,0.58,0.49,0.445,0.538,0.604
covtype,gnb,never_adapt,3,8,19757,19757,0,219,SKIP,False,0.6165345570852454,False,nan,0.4318181818181818,,0.4318181818181818,0,0,0,0,0,763,params,False,0,0,0.18471637526706358,,,,,0.33,0.6,0.465,0.42,0.486,0.566
covtype,gnb,never_adapt,3,9,19797,19857,60,100,SKIP,False,0.6165345570852454,True,nan,0.5454545454545454,,0.5454545454545454,0,0,0,0,0,763,params,False,0,0,0.07108001163069999,,,,,0.42,0.34,0.38,0.495,0.488,0.556
covtype,gnb,never_adapt,3,10,19979,19979,0,122,SKIP,False,0.6165345570852454,True,nan,0.16,,0.16,0,0,0,0,0,763,params,False,0,0,0.4565345570852454,,,,,0.32,0.53,0.425,0.4,0.444,0.516
covtype,gnb,never_adapt,3,11,20029,20079,50,100,SKIP,False,0.6165345570852454,True,nan,0.6071428571428571,,0.6071428571428571,0,0,0,0,0,763,params,False,0,0,0.00939169994238831,,,,,0.53,0.35,0.44,0.425,0.46,0.526
covtype,gnb,never_adapt,3,12,20098,20179,81,100,SKIP,False,0.6165345570852454,True,nan,0.85,,0.85,0,0,0,0,0,763,params,False,0,0,-0.23346544291475457,,,,,0.57,0.41,0.49,0.435,0.438,0.532
covtype,gnb,never_adapt,3,13,20190,20279,89,100,SKIP,False,0.6165345570852454,True,nan,0.5,,0.5,0,0,0,0,0,763,params,False,0,0,0.1165345570852454,,,,,0.3,0.49,0.395,0.465,0.414,0.482
covtype,gnb,never_adapt,3,14,20514,20514,0,235,SKIP,False,0.5646709014731721,False,nan,0.3191489361702128,,0.3191489361702128,0,0,0,0,0,763,params,False,0,0,0.24552196530295933,,,,,0.65,0.27,0.46,0.48,0.484,0.46
covtype,gnb,never_adapt,3,15,20653,20653,0,139,SKIP,False,0.5646709014731721,True,nan,0.32142857142857145,,0.32142857142857145,0,0,0,0,0,763,params,False,0,0,0.24324233004460066,,,,,0.35,0.67,0.51,0.42,0.48,0.41
covtype,gnb,never_adapt,3,16,20897,20897,0,244,SKIP,False,0.5009041591320073,False,nan,0.1836734693877551,,0.1836734693877551,0,0,0,0,0,763,params,False,0,0,0.31723068974425217,,,,,0.55,0.61,0.58,0.51,0.554,0.434
covtype,gnb,never_adapt,3,17,21139,21139,0,242,SKIP,False,0.39215686274509803,False,nan,0.10204081632653061,,0.10204081632653061,0,0,0,0,0,763,params,False,0,0,0.2901160464185674,,,,,0.58,0.6,0.59,0.63,0.64,0.452
covtype,gnb,never_adapt,3,18,21374,21374,0,235,SKIP,False,0.3888146592861233,False,nan,0.06382978723404255,,0.06382978723404255,0,0,0,0,0,763,params,False,0,0,0.32498487205208076,,,,,0.61,0.61,0.61,0.635,0.68,0.516
covtype,gnb,never_adapt,3,19,21624,21624,0,250,SKIP,False,0.32900432900432897,False,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.32900432900432897,,,,,0.72,0.67,0.695,0.645,0.716,0.62
covtype,gnb,never_adapt,3,20,21855,21855,0,231,SKIP,False,0.34213323883770375,False,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.34213323883770375,,,,,0.69,0.64,0.665,0.72,0.738,0.672
covtype,gnb,never_adapt,3,21,22089,22089,0,234,SKIP,False,0.39571150097465885,False,nan,0.0425531914893617,,0.0425531914893617,0,0,0,0,0,763,params,False,0,0,0.35315830948529714,,,,,0.66,0.58,0.62,0.715,0.714,0.704
covtype,gnb,never_adapt,3,22,22324,22324,0,235,SKIP,False,0.4112916597579174,False,nan,0.10638297872340426,,0.10638297872340426,0,0,0,0,0,763,params,False,0,0,0.3049086810345132,,,,,0.65,0.52,0.585,0.685,0.682,0.728
covtype,gnb,never_adapt,3,23,22569,22569,0,245,SKIP,False,0.3939393939393939,False,nan,0.04081632653061224,,0.04081632653061224,0,0,0,0,0,763,params,False,0,0,0.3531230674087817,,,,,0.64,0.6,0.62,0.69,0.678,0.714
covtype,gnb,never_adapt,3,24,22814,22814,0,245,SKIP,False,0.391260162601626,False,nan,0.02040816326530612,,0.02040816326530612,0,0,0,0,0,763,params,False,0,0,0.37085199933631985,,,,,0.67,0.63,0.65,0.67,0.694,0.682
covtype,gnb,never_adapt,3,25,23101,23101,0,287,SKIP,False,0.4085365853658537,False,nan,0.5,,0.5,0,0,0,0,0,763,params,False,0,0,-0.09146341463414631,,,,,0.8,0.53,0.665,0.76,0.69,0.678
covtype,gnb,never_adapt,3,26,23296,23296,0,195,SKIP,False,0.4085365853658537,True,nan,0.15384615384615385,,0.15384615384615385,0,0,0,0,0,763,params,False,0,0,0.25469043151969983,,,,,0.61,0.69,0.65,0.655,0.7,0.694
covtype,gnb,never_adapt,3,27,23351,23396,45,100,SKIP,False,0.4085365853658537,True,nan,0.6309523809523809,,0.6309523809523809,0,0,0,0,0,763,params,False,0,0,-0.22241579558652724,,,,,0.79,0.49,0.64,0.715,0.67,0.694
covtype,gnb,never_adapt,3,28,23554,23554,0,158,SKIP,False,0.4085365853658537,True,nan,0.125,,0.125,0,0,0,0,0,763,params,False,0,0,0.2835365853658537,,,,,0.55,0.62,0.585,0.64,0.66,0.694
covtype,gnb,never_adapt,3,29,23642,23654,12,100,SKIP,False,0.4085365853658537,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.4085365853658537,,,,,0.84,0.52,0.68,0.715,0.654,0.692
covtype,gnb,never_adapt,3,30,23808,23808,0,154,SKIP,False,0.4085365853658537,True,nan,0.3225806451612903,,0.3225806451612903,0,0,0,0,0,763,params,False,0,0,0.08595594020456337,,,,,0.42,0.65,0.535,0.56,0.586,0.7
covtype,gnb,never_adapt,3,31,24126,24126,0,318,SKIP,False,0.4499080882352941,False,nan,0.140625,,0.140625,0,0,0,0,0,763,params,False,0,0,0.3092830882352941,,,,,0.63,0.36,0.495,0.64,0.574,0.652
covtype,gnb,never_adapt,3,32,24173,24226,53,100,SKIP,False,0.4499080882352941,True,nan,0.5119047619047619,,0.5119047619047619,0,0,0,0,0,763,params,False,0,0,-0.06199667366946776,,,,,0.76,0.27,0.515,0.725,0.56,0.664
covtype,gnb,never_adapt,3,33,24382,24382,0,156,SKIP,False,0.4499080882352941,True,nan,0.09375,,0.09375,0,0,0,0,0,763,params,False,0,0,0.3561580882352941,,,,,0.42,0.6,0.51,0.56,0.566,0.578
covtype,gnb,never_adapt,3,34,24471,24482,11,100,SKIP,False,0.4499080882352941,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.4499080882352941,,,,,0.74,0.42,0.58,0.69,0.558,0.632
covtype,gnb,never_adapt,3,35,24683,24683,0,201,SKIP,False,0.6025033328395792,False,nan,0.3170731707317073,,0.3170731707317073,0,0,0,0,0,763,params,False,0,0,0.2854301621078719,,,,,0.48,0.45,0.465,0.595,0.542,0.56
covtype,gnb,never_adapt,3,36,24755,24783,28,100,SKIP,False,0.6025033328395792,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.6025033328395792,,,,,0.71,0.39,0.55,0.69,0.55,0.624
covtype,gnb,never_adapt,3,37,24946,24946,0,163,SKIP,False,0.6025033328395792,True,nan,0.24242424242424243,,0.24242424242424243,0,0,0,0,0,763,params,False,0,0,0.3600790904153368,,,,,0.33,0.67,0.5,0.505,0.55,0.538
covtype,gnb,never_adapt,3,38,25044,25046,2,100,SKIP,False,0.6025033328395792,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.6025033328395792,,,,,0.76,0.31,0.535,0.69,0.55,0.618
covtype,gnb,never_adapt,3,39,25225,25225,0,179,SKIP,False,0.6025033328395792,True,nan,0.3611111111111111,,0.3611111111111111,0,0,0,0,0,763,params,False,0,0,0.24139222172846814,,,,,0.3,0.7,0.5,0.44,0.552,0.524
covtype,gnb,never_adapt,3,40,25314,25325,11,100,SKIP,False,0.6025033328395792,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.6025033328395792,,,,,0.76,0.19,0.475,0.75,0.518,0.626
covtype,gnb,never_adapt,3,41,25499,25499,0,174,SKIP,False,0.6025033328395792,True,nan,0.37142857142857144,,0.37142857142857144,0,0,0,0,0,763,params,False,0,0,0.2310747614110078,,,,,0.29,0.66,0.475,0.41,0.524,0.52
covtype,gnb,never_adapt,3,42,25605,25605,0,106,SKIP,False,0.6025033328395792,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.6025033328395792,,,,,0.76,0.35,0.555,0.68,0.516,0.616
covtype,gnb,never_adapt,3,43,25786,25786,0,181,SKIP,False,0.6025033328395792,True,nan,0.43243243243243246,,0.43243243243243246,0,0,0,0,0,763,params,False,0,0,0.17007090040714679,,,,,0.28,0.66,0.47,0.46,0.53,0.504
covtype,gnb,never_adapt,3,44,25898,25898,0,112,SKIP,False,0.6025033328395792,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.6025033328395792,,,,,0.76,0.39,0.575,0.655,0.548,0.592
covtype,gnb,never_adapt,3,45,26072,26072,0,174,SKIP,False,0.6025033328395792,True,nan,0.45714285714285713,,0.45714285714285713,0,0,0,0,0,763,params,False,0,0,0.1453604756967221,,,,,0.25,0.68,0.465,0.45,0.526,0.494
covtype,gnb,never_adapt,3,46,26424,26424,0,352,SKIP,False,0.49915631231784013,False,nan,0.16901408450704225,,0.16901408450704225,0,0,0,0,0,763,params,False,0,0,0.3301422278107979,,,,,0.62,0.19,0.405,0.735,0.496,0.6
covtype,gnb,never_adapt,3,47,26495,26524,29,100,SKIP,False,0.49915631231784013,True,nan,0.0,,0.0,0,0,0,0,0,763,params,False,0,0,0.49915631231784013,,,,,0.85,0.37,0.61,0.65,0.578,0.582
