dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,rf,always_nudge,2,0,14266,14266,0,1000,NUDGE,False,0.5949892222725707,False,nan,0.5195511010728402,0.5329349394566786,0.5329349394566786,4000,5,5,800,4000,100,trees,False,0,1,0.07543812119973048,0.045,,,,0.5,0.44,0.47,0.135,0.28,0.166
covtype,rf,always_nudge,2,1,14606,14606,0,340,NUDGE,False,0.5780853374213535,False,nan,0.4977152477152478,0.48340548340548334,0.48340548340548334,1360,5,5,272,5360,100,trees,True,2,2,0.08037008970610571,0.10294117647058823,,,,0.46,0.24,0.35,0.38,0.384,0.174
covtype,rf,always_nudge,2,2,16881,16881,0,1000,NUDGE,False,0.520289298515105,False,nan,0.5108932461873638,0.5305010893246188,0.5305010893246188,4000,5,5,800,9360,100,trees,True,4,3,0.009396052327741211,0.045,,,,0.52,0.26,0.39,0.355,0.354,0.228
covtype,rf,always_nudge,2,3,16973,16981,8,100,NUDGE,False,0.520289298515105,True,nan,0.6666666666666667,0.6666666666666667,0.6666666666666667,400,5,5,80,9760,100,trees,True,5,4,-0.14637736815156177,0.05,,,,0.18,0.52,0.35,0.33,0.33,0.23
covtype,rf,always_nudge,2,4,17223,17223,0,242,NUDGE,False,0.6172043010752688,False,nan,0.5795454545454546,0.5265151515151515,0.5265151515151515,965,5,5,193,10725,100,trees,True,4,5,0.037658846529814216,0.10204081632653061,,,,0.23,0.27,0.25,0.355,0.296,0.326
covtype,rf,always_nudge,2,5,17424,17424,0,201,NUDGE,False,0.5793650793650794,False,nan,0.47442680776014107,0.48677248677248675,0.48677248677248675,800,5,5,160,11525,100,trees,True,4,6,0.10493827160493835,0.04878048780487805,,,,0.14,0.19,0.165,0.25,0.234,0.35
covtype,rf,always_nudge,2,6,17652,17652,0,228,NUDGE,False,0.6046766532700036,False,nan,0.5299145299145299,0.5299145299145299,0.5299145299145299,910,5,5,182,12435,100,trees,True,4,7,0.07476212335547372,0.0,,,,0.18,0.1,0.14,0.24,0.214,0.312
covtype,rf,always_nudge,2,7,17873,17873,0,221,NUDGE,False,0.6105169340463458,False,nan,0.5515873015873015,0.5238095238095238,0.5238095238095238,880,5,5,176,13315,100,trees,True,4,8,0.05892963245904426,0.022222222222222223,,,,0.14,0.1,0.12,0.22,0.208,0.23
covtype,rf,always_nudge,2,8,18086,18086,0,213,NUDGE,False,0.6250505050505051,False,nan,0.6,0.5444444444444444,0.5444444444444444,850,5,5,170,14165,100,trees,True,4,9,0.0250505050505051,0.023255813953488372,,,,0.15,0.24,0.195,0.175,0.216,0.182
covtype,rf,always_nudge,2,9,18306,18306,0,220,NUDGE,False,0.6846883468834689,False,nan,0.6041666666666666,0.6041666666666666,0.6041666666666666,880,5,5,176,15045,100,trees,True,4,10,0.08052168021680228,0.0,,,,0.16,0.23,0.195,0.225,0.238,0.18
covtype,rf,always_nudge,2,10,18518,18518,0,212,NUDGE,False,0.5874539145521579,False,nan,0.4666666666666666,0.39999999999999997,0.39999999999999997,845,5,5,169,15890,100,trees,True,4,11,0.12078724788549128,0.023255813953488372,,,,0.15,0.24,0.195,0.205,0.242,0.186
