dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,rf,always_rebuild,2,0,14266,14266,0,1000,REBUILD,False,0.5949892222725707,False,nan,0.5195511010728402,,1.0,100000,100,100,1000,100000,100,trees,False,0,0,0.07543812119973048,,,,,0.5,0.44,0.47,0.135,0.28,0.166
covtype,rf,always_rebuild,2,1,14906,14906,0,640,REBUILD,False,0.6380106033023538,False,nan,0.6655594405594405,,1.0,64000,100,100,640,164000,100,trees,True,1,0,-0.027548837257086678,,,,,0.45,0.32,0.385,0.27,0.312,0.308
covtype,rf,always_rebuild,2,2,15001,15006,5,100,REBUILD,False,0.6380106033023538,True,nan,0.3333333333333333,,1.0,10000,100,100,100,174000,100,trees,True,4,0,0.3046772699690205,,,,,0.68,0.41,0.545,0.31,0.396,0.342
covtype,rf,always_rebuild,2,3,15082,15106,24,100,REBUILD,False,0.6380106033023538,True,nan,0.8333333333333333,,1.0,10000,100,100,100,184000,100,trees,True,4,0,-0.19532273003097944,,,,,0.29,0.62,0.455,0.35,0.386,0.334
covtype,rf,always_rebuild,2,4,15128,15206,78,100,REBUILD,False,0.6380106033023538,True,nan,0.0,,1.0,10000,100,100,100,194000,100,trees,True,3,0,0.6380106033023538,,,,,0.29,0.59,0.44,0.385,0.39,0.326
covtype,rf,always_rebuild,2,5,16675,16675,0,1000,REBUILD,False,0.8823529411764706,False,nan,0.3140096618357488,,1.0,100000,100,100,1000,294000,100,trees,True,4,0,0.5683432793407217,,,,,0.42,0.28,0.35,0.205,0.246,0.218
covtype,rf,always_rebuild,2,6,16891,16891,0,216,REBUILD,False,0.7520525451559933,False,nan,0.7647058823529411,,1.0,21600,100,100,216,315600,100,trees,True,4,0,-0.012653337196947834,,,,,0.13,0.07,0.1,0.315,0.22,0.17
covtype,rf,always_rebuild,2,7,16964,16991,27,100,REBUILD,False,0.7520525451559933,True,nan,0.95,,1.0,10000,100,100,100,325600,100,trees,True,5,0,-0.19794745484400667,,,,,0.06,0.12,0.09,0.255,0.192,0.178
covtype,rf,always_rebuild,2,8,17004,17091,87,100,REBUILD,False,0.7520525451559933,True,nan,0.5,,1.0,10000,100,100,100,335600,100,trees,True,4,0,0.2520525451559933,,,,,0.18,0.13,0.155,0.255,0.184,0.21
covtype,rf,always_rebuild,2,9,17166,17191,25,100,REBUILD,False,0.7520525451559933,True,nan,0.5,,1.0,10000,100,100,100,345600,100,trees,True,5,0,0.2520525451559933,,,,,0.13,0.3,0.215,0.1,0.15,0.24
covtype,rf,always_rebuild,2,10,17214,17291,77,100,REBUILD,False,0.7520525451559933,True,nan,0.5,,1.0,10000,100,100,100,355600,100,trees,True,4,0,0.2520525451559933,,,,,0.22,0.24,0.23,0.155,0.166,0.256
covtype,rf,always_rebuild,2,11,18086,18086,0,795,REBUILD,False,0.6865332765715908,False,nan,0.46169154228855724,,1.0,79500,100,100,795,435100,100,trees,True,4,0,0.22484173428303356,,,,,0.21,0.05,0.13,0.09,0.12,0.126
covtype,rf,always_rebuild,2,12,18291,18291,0,205,REBUILD,False,0.9979674796747968,False,nan,0.5833333333333334,,1.0,20500,100,100,205,455600,100,trees,True,4,0,0.41463414634146345,,,,,0.02,0.01,0.015,0.13,0.092,0.064
covtype,rf,always_rebuild,2,13,18519,18519,0,228,REBUILD,False,0.9447325605043725,False,nan,0.8461538461538461,,1.0,22800,100,100,228,478400,100,trees,True,4,0,0.09857871435052634,,,,,0.06,0.01,0.035,0.045,0.076,0.078
covtype,rf,always_rebuild,2,14,18771,18771,0,252,REBUILD,False,0.9920159680638724,False,nan,0.7833333333333333,,1.0,25200,100,100,252,503600,100,trees,True,4,0,0.20868263473053905,,,,,0.06,0.0,0.03,0.05,0.052,0.088
covtype,rf,always_rebuild,2,15,18945,18945,0,174,REBUILD,False,0.9920159680638724,True,nan,0.9714285714285714,,1.0,17400,100,100,174,521000,100,trees,True,5,0,0.02058739663530096,,,,,0.01,0.05,0.03,0.025,0.034,0.068
covtype,rf,always_rebuild,2,16,19189,19189,0,244,REBUILD,False,0.4666666666666666,False,nan,0.5,,1.0,24400,100,100,244,545400,100,trees,True,4,0,-0.03333333333333338,,,,,0.15,0.03,0.09,0.195,0.126,0.04
covtype,rf,always_rebuild,2,17,19324,19324,0,135,REBUILD,False,0.4666666666666666,True,nan,0.5,,1.0,13500,100,100,135,558900,100,trees,True,4,0,-0.03333333333333338,,,,,0.04,0.19,0.115,0.21,0.13,0.034
covtype,rf,always_rebuild,2,18,19371,19424,53,100,REBUILD,False,0.4666666666666666,True,nan,1.0,,1.0,10000,100,100,100,568900,100,trees,True,5,0,-0.5333333333333334,,,,,0.29,0.19,0.24,0.085,0.18,0.032
covtype,rf,always_rebuild,2,19,19452,19524,72,100,REBUILD,False,0.4666666666666666,True,nan,0.19444444444444445,,1.0,10000,100,100,100,578900,100,trees,True,4,0,0.27222222222222214,,,,,0.62,0.14,0.38,0.11,0.262,0.044
covtype,rf,always_rebuild,2,20,23709,23709,0,1000,REBUILD,False,0.6424697538589904,False,nan,0.5,,1.0,100000,100,100,1000,678900,100,trees,True,5,0,0.1424697538589904,,,,,0.31,0.16,0.235,0.305,0.216,0.148
covtype,rf,always_rebuild,2,21,23939,23939,0,230,REBUILD,False,0.9969879518072289,False,nan,0.8571428571428572,,1.0,23000,100,100,230,701900,100,trees,True,5,0,0.13984509466437167,,,,,0.02,0.0,0.01,0.24,0.132,0.178
covtype,rf,always_rebuild,2,22,24242,24242,0,303,REBUILD,False,0.7841801214634869,False,nan,0.8818181818181818,,1.0,30300,100,100,303,732200,100,trees,True,5,0,-0.09763806035469491,,,,,0.13,0.0,0.065,0.15,0.086,0.218
covtype,rf,always_rebuild,2,23,24282,24342,60,100,REBUILD,False,0.7841801214634869,True,nan,1.0,,1.0,10000,100,100,100,742200,100,trees,True,5,0,-0.21581987853651308,,,,,0.16,0.0,0.08,0.15,0.092,0.218
covtype,rf,always_rebuild,2,24,24440,24442,2,100,REBUILD,False,0.7841801214634869,True,nan,0.5,,1.0,10000,100,100,100,752200,100,trees,True,5,0,0.2841801214634869,,,,,0.01,0.05,0.03,0.055,0.088,0.132
