dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,rf,fixed_schedule,4,0,14265,14265,0,1000,NUDGE,False,0.558828224155731,False,nan,0.5014879920486328,0.51641736092537,0.51641736092537,4000,5,5,800,4000,100,trees,False,0,1,0.057340232107098155,0.045,,,,0.48,0.46,0.47,0.16,0.292,0.154
covtype,rf,fixed_schedule,4,1,14750,14750,0,485,NUDGE,False,0.5714512471655329,False,nan,0.5273809523809523,0.5232142857142856,0.5232142857142856,1940,5,5,388,5940,100,trees,True,2,2,0.04407029478458058,0.030927835051546393,,,,0.46,0.43,0.445,0.295,0.37,0.276
covtype,rf,fixed_schedule,4,2,16882,16882,0,1000,REBUILD,False,0.5350567477385312,False,nan,0.5174291938997821,,1.0,100000,100,100,1000,105940,100,trees,True,4,0,0.017627553838749033,,,,,0.5,0.25,0.375,0.35,0.35,0.27
covtype,rf,fixed_schedule,4,3,16965,16982,17,100,NUDGE,False,0.5350567477385312,True,nan,0.5,0.5,0.5,400,5,5,80,106340,100,trees,True,5,1,0.03505674773853118,0.0,,,,0.23,0.41,0.32,0.31,0.322,0.26
covtype,rf,fixed_schedule,4,4,17075,17082,7,100,NUDGE,False,0.5350567477385312,True,nan,0.6818181818181819,0.6363636363636364,0.6363636363636364,400,5,5,80,106740,100,trees,True,5,2,-0.1467614340796507,0.05,,,,0.15,0.16,0.155,0.355,0.286,0.29
covtype,rf,fixed_schedule,4,5,17178,17182,4,100,REBUILD,False,0.5350567477385312,True,nan,0.5,,1.0,10000,100,100,100,116740,100,trees,True,5,0,0.03505674773853118,,,,,0.03,0.17,0.1,0.305,0.214,0.306
covtype,rf,fixed_schedule,4,6,17436,17436,0,254,NUDGE,False,0.27622498274672186,False,nan,0.48,0.4857142857142857,0.4857142857142857,1015,5,5,203,117755,100,trees,True,4,1,-0.20377501725327812,0.09803921568627451,,,,0.33,0.34,0.335,0.32,0.284,0.34
covtype,rf,fixed_schedule,4,7,17646,17646,0,210,NUDGE,False,0.39476368582114924,False,nan,0.5158730158730159,0.5198412698412699,0.5198412698412699,840,5,5,168,118595,100,trees,True,4,2,-0.12110933005186669,0.16666666666666666,,,,0.17,0.22,0.195,0.37,0.336,0.24
covtype,rf,fixed_schedule,4,8,17876,17876,0,230,REBUILD,False,0.37249417249417255,False,nan,0.5575396825396826,,1.0,23000,100,100,230,141595,100,trees,True,4,0,-0.18504551004551,,,,,0.18,0.15,0.165,0.27,0.278,0.236
covtype,rf,fixed_schedule,4,9,18070,18070,0,194,NUDGE,False,0.37249417249417255,True,nan,0.9,0.9,0.9,775,5,5,155,142370,100,trees,True,4,1,-0.5275058275058275,0.0,,,,0.01,0.06,0.035,0.14,0.15,0.316
