dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,rf,mechanism_selector,4,0,14265,14265,0,1000,REBUILD,False,0.558828224155731,False,0.538828224155731,0.5014879920486328,0.51641736092537,1.0,104000,105,105,1800,104000,100,trees,False,0,0,0.057340232107098155,0.045,,,,0.48,0.46,0.47,0.16,0.292,0.154
covtype,rf,mechanism_selector,4,1,14878,14878,0,613,SKIP,False,0.5746938775510204,False,0.5546938775510204,0.6636551030668678,,0.6636551030668678,0,0,0,0,104000,100,trees,False,0,0,-0.0889612255158474,,,,,0.34,0.36,0.35,0.26,0.286,0.318
covtype,rf,mechanism_selector,4,2,15196,15196,0,318,REBUILD,False,0.52613413983277,False,0.50613413983277,0.5,0.5,1.0,33070,105,105,572,137070,100,trees,True,6,0,0.02613413983277002,0.0,,,,0.54,0.4,0.47,0.385,0.412,0.3
covtype,rf,mechanism_selector,4,3,15257,15296,39,100,REBUILD,True,0.52613413983277,True,0.50613413983277,1.0,,1.0,10000,100,100,100,147070,100,trees,True,5,0,-0.47386586016723,,,,,0.33,0.47,0.4,0.38,0.372,0.286
covtype,rf,mechanism_selector,4,4,15298,15396,98,100,REBUILD,True,0.52613413983277,True,0.50613413983277,0.9444444444444444,,1.0,10000,100,100,100,157070,100,trees,True,5,0,-0.4183103046116744,,,,,0.06,0.52,0.29,0.375,0.354,0.276
covtype,rf,mechanism_selector,4,5,15453,15496,43,100,REBUILD,True,0.52613413983277,True,0.50613413983277,0.5,,1.0,10000,100,100,100,167070,100,trees,True,5,0,0.02613413983277002,,,,,0.02,0.05,0.035,0.39,0.232,0.326
covtype,rf,mechanism_selector,4,6,15543,15596,53,100,REBUILD,True,0.52613413983277,True,0.50613413983277,0.5,,1.0,10000,100,100,100,177070,100,trees,True,5,0,0.02613413983277002,,,,,0.03,0.02,0.025,0.225,0.178,0.344
covtype,rf,mechanism_selector,4,7,15624,15696,72,100,REBUILD,True,0.52613413983277,True,0.50613413983277,0.6666666666666666,,1.0,10000,100,100,100,187070,100,trees,True,4,0,-0.1405325268338966,,,,,0.05,0.02,0.035,0.03,0.122,0.364
covtype,rf,mechanism_selector,4,8,15756,15796,40,100,REBUILD,True,0.52613413983277,True,0.50613413983277,0.9705882352941176,,1.0,10000,100,100,100,197070,100,trees,True,4,0,-0.4444540954613476,,,,,0.08,0.11,0.095,0.02,0.052,0.37
covtype,rf,mechanism_selector,4,9,15821,15896,75,100,REBUILD,True,0.52613413983277,True,0.50613413983277,0.95,,1.0,10000,100,100,100,207070,100,trees,True,4,0,-0.42386586016722994,,,,,0.13,0.11,0.12,0.025,0.062,0.348
