dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,sgd,always_nudge,2,0,13760,13760,0,1000,NUDGE,False,0.17608631411244735,False,nan,0.1717171717171717,0.22329545454545455,0.22329545454545455,800,1,0,800,800,385,params,False,0,1,0.004369142395275638,0.965,,,,0.84,0.91,0.875,0.615,0.694,0.484
covtype,sgd,always_nudge,2,1,14105,14105,0,345,NUDGE,False,0.1642156862745098,False,nan,0.08333333333333333,0.3055555555555555,0.3055555555555555,276,1,0,276,1076,385,params,False,0,2,0.08088235294117647,0.9130434782608695,,,,0.81,0.48,0.645,0.76,0.732,0.61
covtype,sgd,always_nudge,2,2,14376,14376,0,271,NUDGE,False,0.22791474062660502,False,nan,0.012820512820512822,0.3939255189255189,0.3939255189255189,216,1,0,216,1292,385,params,False,0,3,0.2150942278060922,0.9272727272727272,,,,0.99,0.74,0.865,0.72,0.738,0.75
covtype,sgd,always_nudge,2,3,14671,14671,0,295,NUDGE,False,0.3146825396825397,False,nan,0.2263888888888889,0.25,0.25,236,1,0,236,1528,385,params,False,0,4,0.08829365079365079,0.576271186440678,,,,0.81,0.51,0.66,0.84,0.742,0.704
covtype,sgd,always_nudge,2,4,14959,14959,0,288,NUDGE,False,0.21377585377585373,False,nan,0.15416666666666667,0.3333333333333333,0.3333333333333333,230,1,0,230,1758,385,params,False,0,5,0.059609187109187056,1.0,,,,0.81,0.66,0.735,0.68,0.676,0.746
covtype,sgd,always_nudge,2,5,15139,15139,0,180,NUDGE,False,0.21377585377585373,True,nan,0.25,0.3,0.3,144,1,0,144,1902,385,params,False,0,6,-0.03622414622414627,0.4166666666666667,,,,0.75,0.61,0.68,0.685,0.672,0.744
covtype,sgd,always_nudge,2,6,41981,41981,0,1000,NUDGE,False,0.0,False,nan,0.0,0.5,0.5,800,1,0,800,2702,385,params,False,0,7,0.0,1.0,,,,1.0,1.0,1.0,0.945,0.978,0.978
covtype,sgd,always_nudge,2,7,42090,42090,0,109,NUDGE,False,0.0,True,nan,0.5,0.5,0.5,87,1,0,87,2789,385,params,False,0,8,-0.5,0.0,,,,0.01,0.91,0.46,1.0,0.762,0.978
covtype,sgd,always_nudge,2,8,42201,42201,0,111,NUDGE,False,0.0,True,nan,0.5,0.5,0.5,88,1,0,88,2877,385,params,False,0,9,-0.5,0.0,,,,0.09,0.12,0.105,0.9,0.602,0.956
covtype,sgd,always_nudge,2,9,42447,42447,0,246,NUDGE,False,0.8970588235294117,False,nan,0.88,1.0,1.0,196,1,0,196,3073,385,params,False,0,10,0.017058823529411682,0.12,,,,0.06,0.0,0.03,0.14,0.136,0.978
covtype,sgd,always_nudge,2,10,42484,42547,63,100,NUDGE,False,0.8970588235294117,True,nan,0.0,1.0,1.0,80,1,0,80,3153,385,params,False,0,11,0.8970588235294117,1.0,,,,0.17,0.0,0.085,0.14,0.09,0.972
covtype,sgd,always_nudge,2,11,42978,42978,0,431,NUDGE,False,0.5,False,nan,0.5,0.3984375,0.3984375,344,1,0,344,3497,385,params,False,0,12,0.0,0.14942528735632185,,,,0.23,0.01,0.12,0.065,0.218,0.084
covtype,sgd,always_nudge,2,12,43251,43251,0,273,NUDGE,False,1.0,False,nan,0.5,0.5,0.5,218,1,0,218,3715,385,params,False,0,13,0.5,0.0,,,,0.01,0.0,0.005,0.12,0.05,0.192
