dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,sgd,always_rebuild,0,0,10414,10414,0,415,REBUILD,False,0.1305435216412756,False,nan,0.0,,0.5047619047619047,415000,1000,0,415,415000,385,params,True,3,0,0.1305435216412756,,,,,0.99,0.89,0.94,0.755,,
covtype,sgd,always_rebuild,0,1,10876,10876,0,462,REBUILD,False,0.3204402515723271,False,nan,0.0,,0.07878787878787878,462000,1000,0,462,877000,385,params,True,1,0,0.3204402515723271,,,,,1.0,0.84,0.92,0.755,,
covtype,sgd,always_rebuild,0,2,14269,14269,0,1000,REBUILD,False,0.04928903472791906,False,nan,0.08670212765957447,,0.3272727272727273,124000,124,0,1000,1001000,385,params,False,0,0,-0.03741309293165541,,,,,0.96,0.89,0.925,0.73,0.832,0.864
covtype,sgd,always_rebuild,0,3,14771,14771,0,502,REBUILD,False,0.39510204081632655,False,nan,0.26704545454545453,,0.46657754010695185,502000,1000,0,502,1503000,385,params,True,2,0,0.12805658627087202,,,,,0.67,0.52,0.595,0.305,0.502,0.832
covtype,sgd,always_rebuild,0,4,14893,14893,0,122,REBUILD,False,0.39510204081632655,True,nan,0.0,,0.15,122000,1000,0,122,1625000,385,params,True,1,0,0.39510204081632655,,,,,0.9,0.76,0.83,0.42,0.558,0.786
covtype,sgd,always_rebuild,0,5,25338,25338,0,1000,REBUILD,False,0.15458937198067632,False,nan,0.5,,0.8277777777777777,1000000,1000,0,1000,2625000,385,params,True,5,0,-0.34541062801932365,,,,,0.8,1.0,0.9,0.755,0.846,0.766
covtype,sgd,always_rebuild,0,6,25372,25438,66,100,REBUILD,False,0.15458937198067632,True,nan,1.0,,1.0,100000,1000,0,100,2725000,385,params,True,5,0,-0.8454106280193237,,,,,0.57,0.9,0.735,0.755,0.796,0.75
covtype,sgd,always_rebuild,0,7,25557,25557,0,119,REBUILD,False,0.15458937198067632,True,nan,0.4166666666666667,,0.5,119000,1000,0,119,2844000,385,params,True,5,0,-0.2620772946859904,,,,,0.26,0.3,0.28,0.805,0.576,0.83
covtype,sgd,always_rebuild,0,8,25895,25895,0,338,REBUILD,False,0.28736192332683563,False,nan,0.5,,0.5291666666666667,338000,1000,0,338,3182000,385,params,True,5,0,-0.21263807667316437,,,,,0.54,0.03,0.285,0.77,0.448,0.786
covtype,sgd,always_rebuild,0,9,25947,25995,48,100,REBUILD,False,0.28736192332683563,True,nan,0.38235294117647056,,0.35294117647058826,100000,1000,0,100,3282000,385,params,True,5,0,-0.09499101784963493,,,,,0.41,0.14,0.275,0.695,0.432,0.7
