dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,sgd,fixed_schedule,1,0,10814,10814,0,815,NUDGE,False,0.32157655716888833,False,nan,0.14975334742776605,0.26515151515151514,0.26515151515151514,652,1,0,652,652,385,params,False,0,1,0.17182320974112228,0.8895705521472392,,,,0.86,0.84,0.85,0.48,,
covtype,sgd,fixed_schedule,1,1,13672,13672,0,1000,NUDGE,False,0.144,False,nan,0.26291486291486293,0.3278059743576985,0.3278059743576985,800,1,0,800,1452,385,params,False,0,2,-0.11891486291486295,0.845,,,,0.75,0.71,0.73,0.805,0.768,0.512
covtype,sgd,fixed_schedule,1,2,14241,14241,0,569,REBUILD,False,0.32687746001410595,False,nan,0.18068181818181817,,0.20833333333333334,569000,1000,0,569,570452,385,params,True,1,0,0.14619564183228778,,,,,0.88,0.76,0.82,0.65,0.72,0.766
covtype,sgd,fixed_schedule,1,3,14920,14920,0,679,NUDGE,False,0.17011169900058787,False,nan,0.1672161172161172,0.27948717948717944,0.27948717948717944,543,1,0,543,570995,385,params,False,0,1,0.0028955817844706633,0.5147058823529411,,,,0.86,0.61,0.735,0.51,0.596,0.742
covtype,sgd,fixed_schedule,1,4,36221,36221,0,1000,NUDGE,False,0.0078125,False,nan,0.0,0.7073934837092732,0.7073934837092732,800,1,0,800,571795,385,params,False,0,2,0.0078125,0.995,,,,1.0,1.0,1.0,0.645,0.858,0.854
covtype,sgd,fixed_schedule,1,5,36272,36321,49,100,REBUILD,False,0.0078125,True,nan,0.5,,0.5,100000,1000,0,100,671795,385,params,True,5,0,-0.4921875,,,,,0.68,1.0,0.84,0.725,0.794,0.854
covtype,sgd,fixed_schedule,1,6,36340,36421,81,100,NUDGE,False,0.0078125,True,nan,1.0,1.0,1.0,80,1,0,80,671875,385,params,False,0,1,-0.9921875,0.0,,,,0.47,0.85,0.66,0.945,0.722,0.854
covtype,sgd,fixed_schedule,1,7,36558,36558,0,137,NUDGE,False,0.0078125,True,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,109,1,0,109,671984,385,params,False,0,2,-0.3255208333333333,0.0,,,,0.1,0.13,0.115,0.615,0.492,0.844
covtype,sgd,fixed_schedule,1,8,36961,36961,0,403,REBUILD,False,0.6519607843137255,False,nan,0.3333333333333333,,0.3551912568306011,403000,1000,0,403,1074984,385,params,True,4,0,0.3186274509803922,,,,,0.2,0.0,0.1,0.345,0.204,0.658
covtype,sgd,fixed_schedule,1,9,37021,37061,40,100,NUDGE,False,0.6519607843137255,True,nan,0.5,0.4,0.4,80,1,0,80,1075064,385,params,False,0,1,0.1519607843137255,0.5,,,,0.21,0.0,0.105,0.17,0.206,0.546
covtype,sgd,fixed_schedule,1,10,37063,37161,98,100,NUDGE,False,0.6519607843137255,True,nan,0.40625,0.5,0.5,80,1,0,80,1075144,385,params,False,0,2,0.2457107843137255,0.35,,,,0.22,0.2,0.21,0.07,0.218,0.492
covtype,sgd,fixed_schedule,1,11,37500,37500,0,339,REBUILD,False,1.0,False,nan,0.4449760765550239,,0.664274322169059,339000,1000,0,339,1414144,385,params,True,5,0,0.5550239234449761,,,,,0.34,0.0,0.17,0.24,0.282,0.204
covtype,sgd,fixed_schedule,1,12,37536,37600,64,100,NUDGE,False,1.0,True,nan,1.0,1.0,1.0,80,1,0,80,1414224,385,params,False,0,1,0.0,0.0,,,,0.35,0.0,0.175,0.06,0.274,0.214
covtype,sgd,fixed_schedule,1,13,37829,37829,0,229,NUDGE,False,1.0,False,nan,0.4888888888888889,0.4888888888888889,0.4888888888888889,183,1,0,183,1414407,385,params,False,0,2,0.5111111111111111,0.0,,,,0.02,0.0,0.01,0.18,0.076,0.254
