dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,sgd,mechanism_selector,3,0,10677,10677,0,678,SKIP,False,0.17589336459221372,False,0.15589336459221373,0.18055555555555555,,0.18055555555555555,0,0,0,0,0,385,params,False,0,0,-0.0046621909633418335,,,,,0.77,0.51,0.64,0.445,,
covtype,sgd,mechanism_selector,3,1,10750,10777,27,100,REBUILD,True,0.17589336459221372,True,0.15589336459221373,0.0,,0.6666666666666666,100000,1000,0,100,100000,385,params,True,3,0,0.17589336459221372,,,,,0.85,0.65,0.75,0.495,,
covtype,sgd,mechanism_selector,3,2,11045,11045,0,268,NUDGE,False,0.46446078431372556,False,0.44446078431372554,0.3913043478260869,0.5589371980676329,0.5589371980676329,214,1,0,214,100214,385,params,False,0,1,0.07315643648763864,0.6481481481481481,,,,0.84,0.83,0.835,0.765,0.766,0.486
covtype,sgd,mechanism_selector,3,3,11276,11276,0,231,REBUILD,True,0.602246238609875,False,0.582246238609875,0.11363636363636363,,0.9318181818181819,231000,1000,0,231,331214,385,params,True,4,0,0.4886098749735114,,,,,0.58,0.55,0.565,0.81,0.68,0.604
covtype,sgd,mechanism_selector,3,4,11344,11376,32,100,REBUILD,True,0.602246238609875,True,0.582246238609875,0.16666666666666666,,0.36111111111111116,100000,1000,0,100,431214,385,params,True,2,0,0.4355795719432084,,,,,0.38,0.47,0.425,0.725,0.624,0.634
covtype,sgd,mechanism_selector,3,5,11813,11813,0,437,REBUILD,False,0.13480392156862744,False,0.11480392156862744,0.1111111111111111,0.1111111111111111,0.32456140350877194,437349,1001,0,786,868563,385,params,True,4,0,0.02369281045751634,0.6363636363636364,,,,0.93,0.72,0.825,0.7,0.728,0.652
covtype,sgd,mechanism_selector,3,6,12934,12934,0,1000,SKIP,False,0.16666666666666666,False,0.14666666666666667,0.16666666666666666,,0.16666666666666666,0,0,0,0,868563,385,params,False,0,0,0.0,,,,,0.93,0.93,0.93,0.955,0.93,0.756
covtype,sgd,mechanism_selector,3,7,14506,14506,0,1000,REBUILD,False,0.14555256064690028,False,0.1255525606469003,0.0,0.04365079365079364,0.4033613445378151,1000800,1001,0,1800,1869363,385,params,True,1,0,0.14555256064690028,0.83,,,,1.0,1.0,1.0,0.82,0.872,0.788
covtype,sgd,mechanism_selector,3,8,14573,14606,33,100,REBUILD,True,0.14555256064690028,True,0.1255525606469003,0.3333333333333333,,0.06666666666666667,100000,1000,0,100,1969363,385,params,True,4,0,-0.18778077268643303,,,,,0.56,1.0,0.78,0.89,0.818,0.802
covtype,sgd,mechanism_selector,3,9,15290,15290,0,684,REBUILD,False,0.06571087216248506,False,0.04571087216248505,0.0,0.0,0.5,684547,1001,0,1231,2653910,385,params,True,1,0,0.06571087216248506,0.9197080291970803,,,,1.0,0.97,0.985,0.885,0.912,0.872
covtype,sgd,mechanism_selector,3,10,15755,15755,0,465,REBUILD,False,0.5,False,0.48,0.3333333333333333,0.4054834054834055,0.5168165168165167,465372,1001,0,837,3119282,385,params,True,4,0,0.16666666666666669,0.8924731182795699,,,,0.97,0.91,0.94,0.875,0.896,0.906
covtype,sgd,mechanism_selector,3,11,15890,15890,0,135,REBUILD,True,0.5,True,0.48,0.6323529411764706,,0.5,135000,1000,0,135,3254282,385,params,True,4,0,-0.13235294117647056,,,,,0.14,0.73,0.435,0.905,0.71,0.908
covtype,sgd,mechanism_selector,3,12,15959,15990,31,100,REBUILD,True,0.5,True,0.48,1.0,,0.0,100000,1000,0,100,3354282,385,params,True,5,0,-0.5,,,,,0.14,0.1,0.12,0.935,0.606,0.906
covtype,sgd,mechanism_selector,3,13,15998,16090,92,100,REBUILD,True,0.5,True,0.48,0.0,,1.0,100000,1000,0,100,3454282,385,params,True,4,0,0.5,,,,,0.2,0.14,0.17,0.775,0.56,0.904
covtype,sgd,mechanism_selector,3,14,16529,16529,0,439,REBUILD,False,0.2894211576846307,False,0.2694211576846307,0.19135802469135801,0.19135802469135801,0.3271604938271605,439351,1001,0,790,3893633,385,params,True,4,0,0.09806313299327271,0.4431818181818182,,,,0.62,0.25,0.435,0.28,0.404,0.556
covtype,sgd,mechanism_selector,3,15,16616,16629,13,100,REBUILD,True,0.2894211576846307,True,0.2694211576846307,0.5,,0.7857142857142857,100000,1000,0,100,3993633,385,params,True,5,0,-0.21057884231536927,,,,,0.14,0.49,0.315,0.255,0.292,0.514
covtype,sgd,mechanism_selector,3,16,16687,16729,42,100,REBUILD,True,0.2894211576846307,True,0.2694211576846307,1.0,,1.0,100000,1000,0,100,4093633,385,params,True,4,0,-0.7105788423153693,,,,,0.51,0.39,0.45,0.305,0.33,0.448
covtype,sgd,mechanism_selector,3,17,16812,16829,17,100,REBUILD,True,0.2894211576846307,True,0.2694211576846307,0.5,,0.0,100000,1000,0,100,4193633,385,params,True,4,0,-0.21057884231536927,,,,,0.16,0.7,0.43,0.31,0.366,0.336
covtype,sgd,mechanism_selector,3,18,16894,16929,35,100,REBUILD,True,0.2894211576846307,True,0.2694211576846307,0.0,,1.0,100000,1000,0,100,4293633,385,params,True,4,0,0.2894211576846307,,,,,0.83,0.16,0.495,0.465,0.438,0.378
covtype,sgd,mechanism_selector,3,19,18109,18109,0,1000,SKIP,False,0.3193843193843194,False,0.29938431938431936,0.31140350877192985,,0.31140350877192985,0,0,0,0,4293633,385,params,False,0,0,0.007980810612389533,,,,,0.44,0.14,0.29,0.295,0.314,0.218
covtype,sgd,mechanism_selector,3,20,18173,18209,36,100,REBUILD,True,0.3193843193843194,True,0.29938431938431936,1.0,,1.0,100000,1000,0,100,4393633,385,params,True,4,0,-0.6806156806156807,,,,,0.51,0.08,0.295,0.28,0.272,0.29
covtype,sgd,mechanism_selector,3,21,18292,18309,17,100,REBUILD,True,0.3193843193843194,True,0.29938431938431936,0.0,,0.5,100000,1000,0,100,4493633,385,params,True,4,0,0.3193843193843194,,,,,0.06,0.39,0.225,0.225,0.256,0.222
covtype,sgd,mechanism_selector,3,22,18557,18557,0,248,NUDGE,False,0.4511494252873563,False,0.4311494252873563,0.225,0.5,0.5,198,1,0,198,4493831,385,params,False,0,1,0.2261494252873563,1.0,,,,0.37,0.31,0.34,0.425,0.41,0.226
covtype,sgd,mechanism_selector,3,23,18590,18657,67,100,REBUILD,True,0.4511494252873563,True,0.4311494252873563,1.0,,1.0,100000,1000,0,100,4593831,385,params,True,5,0,-0.5488505747126438,,,,,0.38,0.0,0.19,0.51,0.362,0.276
covtype,sgd,mechanism_selector,3,24,18736,18757,21,100,REBUILD,True,0.4511494252873563,True,0.4311494252873563,0.0,,1.0,100000,1000,0,100,4693831,385,params,True,4,0,0.4511494252873563,,,,,0.13,0.48,0.305,0.34,0.358,0.252
covtype,sgd,mechanism_selector,3,25,19014,19014,0,257,SKIP,False,0.45347920362704514,False,0.4334792036270451,0.5,,0.5,0,0,0,0,4693831,385,params,False,0,0,-0.046520796372954865,,,,,0.34,0.22,0.28,0.42,0.394,0.346
covtype,sgd,mechanism_selector,3,26,19229,19229,0,215,REBUILD,True,0.5074404761904762,False,0.48744047619047615,0.5,,0.575,215000,1000,0,215,4908831,385,params,True,4,0,0.007440476190476164,,,,,0.26,0.34,0.3,0.28,0.414,0.344
covtype,sgd,mechanism_selector,3,27,19286,19329,43,100,REBUILD,True,0.5074404761904762,True,0.48744047619047615,0.5,,0.5,100000,1000,0,100,5008831,385,params,True,4,0,0.007440476190476164,,,,,0.21,0.06,0.135,0.415,0.32,0.44
covtype,sgd,mechanism_selector,3,28,19404,19429,25,100,REBUILD,True,0.5074404761904762,True,0.48744047619047615,0.0,,1.0,100000,1000,0,100,5108831,385,params,True,5,0,0.5074404761904762,,,,,0.16,0.22,0.19,0.325,0.254,0.336
covtype,sgd,mechanism_selector,3,29,19694,19694,0,265,SKIP,False,0.24273291925465837,False,0.22273291925465838,0.5,,0.5,0,0,0,0,5108831,385,params,False,0,0,-0.25726708074534166,,,,,0.43,0.33,0.38,0.515,0.402,0.386
covtype,sgd,mechanism_selector,3,30,19906,19906,0,212,REBUILD,True,0.5307210031347962,False,0.5107210031347962,0.5,,0.15384615384615385,212000,1000,0,212,5320831,385,params,True,5,0,0.0307210031347962,,,,,0.33,0.54,0.435,0.38,0.52,0.258
covtype,sgd,mechanism_selector,3,31,19975,20006,31,100,REBUILD,True,0.5307210031347962,True,0.5107210031347962,0.0,,0.0,100000,1000,0,100,5420831,385,params,True,5,0,0.5307210031347962,,,,,0.27,0.2,0.235,0.48,0.39,0.38
covtype,sgd,mechanism_selector,3,32,20232,20232,0,226,REBUILD,True,0.3787878787878788,False,0.35878787878787877,0.23333333333333334,,0.5,226000,1000,0,226,5646831,385,params,True,5,0,0.14545454545454545,,,,,0.32,0.43,0.375,0.455,0.388,0.438
covtype,sgd,mechanism_selector,3,33,20302,20332,30,100,REBUILD,True,0.3787878787878788,True,0.35878787878787877,0.5,,0.5,100000,1000,0,100,5746831,385,params,True,5,0,-0.12121212121212122,,,,,0.4,0.03,0.215,0.52,0.352,0.49
covtype,sgd,mechanism_selector,3,34,20593,20593,0,261,SKIP,False,0.2647058823529412,False,0.2447058823529412,0.5,,0.5,0,0,0,0,5746831,385,params,False,0,0,-0.23529411764705882,,,,,0.52,0.39,0.455,0.635,0.456,0.466
covtype,sgd,mechanism_selector,3,35,20806,20806,0,213,REBUILD,True,0.5180831826401446,False,0.4980831826401446,0.5,,0.5,213000,1000,0,213,5959831,385,params,True,5,0,0.018083182640144635,,,,,0.36,0.5,0.43,0.455,0.542,0.36
covtype,sgd,mechanism_selector,3,36,20988,20988,0,182,REBUILD,True,0.5180831826401446,True,0.4980831826401446,0.5,,0.5,182000,1000,0,182,6141831,385,params,True,5,0,0.018083182640144635,,,,,0.01,0.18,0.095,0.43,0.304,0.506
covtype,sgd,mechanism_selector,3,37,21236,21236,0,248,SKIP,False,0.5,False,0.48,0.5,,0.5,0,0,0,0,6141831,385,params,False,0,0,0.0,,,,,0.12,0.0,0.06,0.15,0.156,0.492
covtype,sgd,mechanism_selector,3,38,21472,21472,0,236,REBUILD,True,0.5,False,0.48,0.5,,0.5,236000,1000,0,236,6377831,385,params,True,5,0,0.0,,,,,0.09,0.0,0.045,0.155,0.14,0.302
covtype,sgd,mechanism_selector,3,39,21713,21713,0,241,REBUILD,True,0.5,False,0.48,0.5,,0.6818181818181819,241000,1000,0,241,6618831,385,params,True,5,0,0.0,,,,,0.11,0.0,0.055,0.175,0.154,0.132
covtype,sgd,mechanism_selector,3,40,21943,21943,0,230,REBUILD,True,0.916445623342175,False,0.896445623342175,0.5,,0.5,230000,1000,0,230,6848831,385,params,True,5,0,0.41644562334217505,,,,,0.1,0.02,0.06,0.09,0.13,0.122
covtype,sgd,mechanism_selector,3,41,22189,22189,0,246,SKIP,False,0.46706586826347307,False,0.44706586826347305,0.5,,0.5,0,0,0,0,6848831,385,params,False,0,0,-0.03293413173652693,,,,,0.21,0.0,0.105,0.245,0.18,0.132
covtype,sgd,mechanism_selector,3,42,22425,22425,0,236,REBUILD,True,0.46368715083798884,False,0.4436871508379888,0.5,,0.5,236000,1000,0,236,7084831,385,params,True,5,0,-0.03631284916201116,,,,,0.18,0.0,0.09,0.25,0.228,0.116
covtype,sgd,mechanism_selector,3,43,22662,22662,0,237,REBUILD,True,0.5,False,0.48,0.5,,0.5,237000,1000,0,237,7321831,385,params,True,5,0,0.0,,,,,0.15,0.0,0.075,0.175,0.19,0.148
covtype,sgd,mechanism_selector,3,44,22915,22915,0,253,SKIP,False,0.4482758620689655,False,0.4282758620689655,0.5,,0.5,0,0,0,0,7321831,385,params,False,0,0,-0.051724137931034475,,,,,0.22,0.0,0.11,0.27,0.206,0.208
covtype,sgd,mechanism_selector,3,45,23173,23173,0,258,SKIP,False,0.45170454545454547,False,0.43170454545454545,0.5,,0.5,0,0,0,0,7321831,385,params,False,0,0,-0.04829545454545453,,,,,0.25,0.1,0.175,0.265,0.232,0.212
covtype,sgd,mechanism_selector,3,46,23325,23325,0,152,REBUILD,True,0.45170454545454547,True,0.43170454545454545,0.5,,1.0,152000,1000,0,152,7473831,385,params,True,5,0,-0.04829545454545453,,,,,0.15,0.52,0.335,0.185,0.272,0.178
covtype,sgd,mechanism_selector,3,47,23624,23624,0,299,SKIP,False,0.7292993630573248,False,0.7092993630573248,0.7159090909090909,,0.7159090909090909,0,0,0,0,7473831,385,params,False,0,0,0.01339027214823385,,,,,0.25,0.02,0.135,0.49,0.354,0.234
covtype,sgd,mechanism_selector,3,48,23893,23893,0,269,REBUILD,False,0.8125,False,0.7925,0.7432432432432432,0.5,0.0,269215,1001,0,484,7743046,385,params,True,5,0,0.0692567567567568,0.6666666666666666,,,,0.19,0.03,0.11,0.395,0.248,0.384
covtype,sgd,mechanism_selector,3,49,26308,26308,0,1000,SKIP,False,0.02287581699346405,False,0.0028758169934640504,0.006535947712418301,,0.006535947712418301,0,0,0,0,7743046,385,params,False,0,0,0.01633986928104575,,,,,1.0,0.98,0.99,0.98,0.98,0.95
covtype,sgd,mechanism_selector,3,50,29660,29660,0,1000,SKIP,False,0.011049723756906077,False,-0.008950276243093924,0.0029585798816568047,,0.0029585798816568047,0,0,0,0,7743046,385,params,False,0,0,0.008091143875249273,,,,,0.99,1.0,0.995,1.0,0.982,0.952
covtype,sgd,mechanism_selector,3,51,63369,63369,0,1000,SKIP,False,0.0,False,-0.02,0.0,,0.0,0,0,0,0,7743046,385,params,False,0,0,0.0,,,,,1.0,1.0,1.0,0.96,0.984,0.98
covtype,sgd,mechanism_selector,3,52,63540,63540,0,171,REBUILD,True,0.0,True,-0.02,0.0,,0.4807692307692308,171000,1000,0,171,7914046,385,params,True,5,0,0.0,,,,,1.0,0.89,0.945,1.0,0.962,0.988
covtype,sgd,mechanism_selector,3,53,63809,63809,0,269,REBUILD,False,0.6321961620469083,False,0.6121961620469083,0.4444444444444444,0.4444444444444444,0.5,269215,1001,0,484,8183261,385,params,True,5,0,0.1877517176024639,0.0,,,,0.31,0.42,0.365,0.835,0.676,0.972
