dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,sgd,never_adapt,2,0,13760,13760,0,1000,SKIP,False,0.17608631411244735,False,nan,0.1717171717171717,,0.1717171717171717,0,0,0,0,0,385,params,False,0,0,0.004369142395275638,,,,,0.84,0.91,0.875,0.615,0.694,0.484
covtype,sgd,never_adapt,2,1,14162,14162,0,402,SKIP,False,0.2130681818181818,False,nan,0.19162210338680927,,0.19162210338680927,0,0,0,0,0,385,params,False,0,0,0.02144607843137253,,,,,0.92,0.89,0.905,0.795,0.848,0.652
covtype,sgd,never_adapt,2,2,14311,14311,0,149,SKIP,False,0.2130681818181818,True,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.2130681818181818,,,,,0.82,0.86,0.84,0.88,0.826,0.738
covtype,sgd,never_adapt,2,3,15508,15508,0,1000,SKIP,False,0.05172413793103448,False,nan,0.11538461538461539,,0.11538461538461539,0,0,0,0,0,385,params,False,0,0,-0.06366047745358092,,,,,0.98,0.96,0.97,0.87,0.89,0.888
covtype,sgd,never_adapt,2,4,16475,16475,0,967,SKIP,False,0.1929824561403509,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.1929824561403509,,,,,1.0,1.0,1.0,1.0,1.0,0.954
covtype,sgd,never_adapt,2,5,85231,85231,0,1000,SKIP,False,0.0,False,nan,0.3625,,0.3625,0,0,0,0,0,385,params,False,0,0,-0.3625,,,,,1.0,0.71,0.855,0.915,0.854,0.874
covtype,sgd,never_adapt,2,6,85294,85331,37,100,SKIP,False,0.0,True,nan,0.5,,0.5,0,0,0,0,0,385,params,False,0,0,-0.5,,,,,0.82,0.98,0.9,0.78,0.872,0.82
covtype,sgd,never_adapt,2,7,85421,85431,10,100,SKIP,False,0.0,True,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.0,,,,,0.79,0.82,0.805,0.855,0.83,0.852
covtype,sgd,never_adapt,2,8,85792,85792,0,361,SKIP,False,0.47297297297297297,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.47297297297297297,,,,,1.0,0.79,0.895,0.905,0.878,0.872
covtype,sgd,never_adapt,2,9,85886,85892,6,100,SKIP,False,0.47297297297297297,True,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.47297297297297297,,,,,0.82,1.0,0.91,0.8,0.884,0.83
covtype,sgd,never_adapt,2,10,85964,85992,28,100,SKIP,False,0.47297297297297297,True,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.47297297297297297,,,,,0.82,0.82,0.82,0.895,0.848,0.84
covtype,sgd,never_adapt,2,11,86379,86379,0,387,SKIP,False,0.4838709677419355,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.4838709677419355,,,,,1.0,0.81,0.905,0.905,0.888,0.884
covtype,sgd,never_adapt,2,12,86427,86479,52,100,SKIP,False,0.4838709677419355,True,nan,0.5,,0.5,0,0,0,0,0,385,params,False,0,0,-0.016129032258064502,,,,,0.8,0.97,0.885,0.825,0.876,0.856
covtype,sgd,never_adapt,2,13,86569,86579,10,100,SKIP,False,0.4838709677419355,True,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.4838709677419355,,,,,0.88,0.72,0.8,0.905,0.844,0.886
covtype,sgd,never_adapt,2,14,86882,86882,0,303,SKIP,False,0.4880952380952381,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.4880952380952381,,,,,0.97,0.67,0.82,0.91,0.826,0.888
covtype,sgd,never_adapt,2,15,87157,87157,0,275,SKIP,False,0.4017857142857143,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.4017857142857143,,,,,0.88,0.67,0.775,0.935,0.816,0.882
covtype,sgd,never_adapt,2,16,87492,87492,0,335,SKIP,False,0.421875,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.421875,,,,,1.0,0.8,0.9,0.94,0.88,0.86
covtype,sgd,never_adapt,2,17,87760,87760,0,268,SKIP,False,0.27884615384615385,False,nan,0.0,,0.0,0,0,0,0,0,385,params,False,0,0,0.27884615384615385,,,,,1.0,0.79,0.895,0.945,0.896,0.872
covtype,sgd,never_adapt,2,18,88163,88163,0,403,SKIP,False,0.35714285714285715,False,nan,0.1,,0.1,0,0,0,0,0,385,params,False,0,0,0.2571428571428571,,,,,0.99,1.0,0.995,0.9,0.958,0.878
