dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,xgb,always_nudge,1,0,10691,10691,0,692,NUDGE,False,0.5871902648286145,False,nan,0.5049513704686118,0.5564692012967875,0.5564692012967875,2765,5,5,553,2765,105,rounds,True,3,1,0.08223889436000265,0.18705035971223022,,,,0.54,0.44,0.49,0.265,,
covtype,xgb,always_nudge,1,1,14267,14267,0,1000,NUDGE,False,0.3560357909541787,False,nan,0.5878828021237749,0.5592800305401632,0.5592800305401632,4000,5,5,800,6765,110,rounds,False,0,2,-0.23184701116959616,0.15,,,,0.44,0.39,0.415,0.155,0.274,0.186
covtype,xgb,always_nudge,1,2,14545,14545,0,278,NUDGE,False,0.5415956053783015,False,nan,0.44912280701754387,0.5078947368421053,0.5078947368421053,1110,5,5,222,7875,115,rounds,True,2,3,0.09247279836075767,0.16071428571428573,,,,0.44,0.27,0.355,0.405,0.386,0.182
covtype,xgb,always_nudge,1,3,15160,15160,0,615,NUDGE,False,0.5813498638892176,False,nan,0.2866617538688283,0.34211495946941783,0.34211495946941783,2460,5,5,492,10335,120,rounds,True,1,4,0.2946881100203893,0.2032520325203252,,,,0.64,0.49,0.565,0.5,0.48,0.426
covtype,xgb,always_nudge,1,4,62623,62623,0,1000,NUDGE,False,0.24850299401197604,False,nan,0.5491752256458139,0.8048552754435108,0.8048552754435108,4000,5,5,800,14335,125,rounds,True,5,5,-0.3006722316338378,0.295,,,,0.48,0.41,0.445,0.26,0.352,0.266
covtype,xgb,always_nudge,1,5,62787,62787,0,164,NUDGE,False,0.24850299401197604,True,nan,0.7596153846153846,0.8115384615384615,0.8115384615384615,655,5,5,131,14990,130,rounds,True,5,6,-0.5111123906034085,0.09090909090909091,,,,0.1,0.31,0.205,0.325,0.28,0.282
covtype,xgb,always_nudge,1,6,62881,62887,6,100,NUDGE,False,0.24850299401197604,True,nan,0.5,0.5,0.5,400,5,5,80,15390,135,rounds,True,5,7,-0.25149700598802394,0.2,,,,0.23,0.08,0.155,0.38,0.254,0.324
covtype,xgb,always_nudge,1,7,63084,63084,0,197,NUDGE,False,0.24850299401197604,True,nan,0.6428571428571428,0.6428571428571428,0.6428571428571428,785,5,5,157,16175,140,rounds,True,5,8,-0.39435414884516673,0.0,,,,0.16,0.33,0.245,0.155,0.228,0.3
covtype,xgb,always_nudge,1,8,63161,63184,23,100,NUDGE,False,0.24850299401197604,True,nan,0.4444444444444444,0.4444444444444444,0.4444444444444444,400,5,5,80,16575,145,rounds,True,5,9,-0.19594145043246838,0.0,,,,0.16,0.04,0.1,0.29,0.166,0.354
covtype,xgb,always_nudge,1,9,63378,63378,0,194,NUDGE,False,0.24850299401197604,True,nan,0.5873015873015872,0.6706349206349206,0.6706349206349206,775,5,5,155,17350,150,rounds,True,5,10,-0.33879859328961115,0.07692307692307693,,,,0.18,0.25,0.215,0.115,0.204,0.252
covtype,xgb,always_nudge,1,10,63455,63478,23,100,NUDGE,False,0.24850299401197604,True,nan,0.6071428571428571,0.6309523809523809,0.6309523809523809,400,5,5,80,17750,155,rounds,True,5,11,-0.35863986313088103,0.7,,,,0.2,0.07,0.135,0.215,0.15,0.304
covtype,xgb,always_nudge,1,11,64163,64163,0,685,NUDGE,False,0.7990595611285267,False,nan,0.7018329070758738,0.8040281329923273,0.8040281329923273,2740,5,5,548,20490,160,rounds,True,5,12,0.09722665405265296,0.11678832116788321,,,,0.36,0.13,0.245,0.2,0.208,0.192
covtype,xgb,always_nudge,1,12,64259,64263,4,100,NUDGE,False,0.7990595611285267,True,nan,0.7261904761904762,0.5595238095238095,0.5595238095238095,400,5,5,80,20890,165,rounds,True,6,13,0.07286908493805055,0.1,,,,0.07,0.36,0.215,0.13,0.19,0.162
covtype,xgb,always_nudge,1,13,64895,64895,0,632,NUDGE,False,0.7934641177059354,False,nan,0.6622073578595318,0.7757107023411371,0.7757107023411371,2525,5,5,505,23415,170,rounds,True,5,14,0.13125675984640361,0.047244094488188976,,,,0.24,0.26,0.25,0.105,0.184,0.172
covtype,xgb,always_nudge,1,14,64976,64995,19,100,NUDGE,False,0.7934641177059354,True,nan,0.9,0.85,0.85,400,5,5,80,23815,175,rounds,True,5,15,-0.10653588229406463,0.05,,,,0.12,0.17,0.145,0.18,0.146,0.19
covtype,xgb,always_nudge,1,15,65034,65095,61,100,NUDGE,False,0.7934641177059354,True,nan,0.85,0.95,0.95,400,5,5,80,24215,180,rounds,True,5,16,-0.05653588229406459,0.1,,,,0.06,0.24,0.15,0.15,0.154,0.182
covtype,xgb,always_nudge,1,16,65154,65195,41,100,NUDGE,False,0.7934641177059354,True,nan,0.53125,0.65625,0.65625,400,5,5,80,24615,185,rounds,True,5,17,0.2622141177059354,0.2,,,,0.11,0.1,0.105,0.15,0.148,0.144
covtype,xgb,always_nudge,1,17,65490,65490,0,295,NUDGE,False,0.9059847198641766,False,nan,0.7402073732718895,0.7085253456221199,0.7085253456221199,1180,5,5,236,25795,190,rounds,True,5,18,0.16577734659228716,0.288135593220339,,,,0.16,0.08,0.12,0.185,0.148,0.146
covtype,xgb,always_nudge,1,18,65790,65790,0,300,NUDGE,False,0.8710997442455243,False,nan,0.7291421856639249,0.6445358401880141,0.6445358401880141,1200,5,5,240,26995,195,rounds,True,5,19,0.14195755858159942,0.2,,,,0.19,0.09,0.14,0.155,0.134,0.152
