dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,xgb,always_rebuild,3,0,10691,10691,0,692,REBUILD,False,0.5871902648286145,False,nan,0.5049513704686118,,1.0,69200,100,100,692,69200,100,rounds,True,1,0,0.08223889436000265,,,,,0.54,0.44,0.49,0.265,,
covtype,xgb,always_rebuild,3,1,10868,10868,0,177,REBUILD,False,0.5871902648286145,True,nan,0.5185185185185185,,1.0,17700,100,100,177,86900,100,rounds,True,3,0,0.06867174631009598,,,,,0.62,0.51,0.565,0.44,,
covtype,xgb,always_rebuild,3,2,10959,10968,9,100,REBUILD,False,0.5871902648286145,True,nan,0.2828282828282828,,1.0,10000,100,100,100,96900,100,rounds,True,5,0,0.30436198200033165,,,,,0.45,0.55,0.5,0.545,,
covtype,xgb,always_rebuild,3,3,11367,11367,0,399,REBUILD,False,0.45273937532002045,False,nan,0.29743589743589743,,1.0,39900,100,100,399,136800,100,rounds,True,2,0,0.15530347788412302,,,,,0.47,0.2,0.335,0.325,0.348,0.45
covtype,xgb,always_rebuild,3,4,11797,11797,0,430,REBUILD,False,0.2497804128238911,False,nan,0.2636738906088751,,1.0,43000,100,100,430,179800,100,rounds,True,4,0,-0.013893477784983982,,,,,0.78,0.63,0.705,0.545,0.608,0.368
covtype,xgb,always_rebuild,3,5,11954,11954,0,157,REBUILD,False,0.2497804128238911,True,nan,0.37264957264957266,,1.0,15700,100,100,157,195500,100,rounds,True,1,0,-0.12286915982568156,,,,,0.43,0.54,0.485,0.655,0.558,0.37
covtype,xgb,always_rebuild,3,6,12152,12152,0,198,REBUILD,False,0.2497804128238911,True,nan,0.1518796992481203,,1.0,19800,100,100,198,215300,100,rounds,False,0,0,0.09790071357577079,,,,,0.66,0.47,0.565,0.485,0.55,0.464
covtype,xgb,always_rebuild,3,7,12216,12252,36,100,REBUILD,False,0.2497804128238911,True,nan,0.5,,1.0,10000,100,100,100,225300,100,rounds,True,1,0,-0.2502195871761089,,,,,0.42,0.56,0.49,0.415,0.51,0.5
covtype,xgb,always_rebuild,3,8,12338,12352,14,100,REBUILD,False,0.2497804128238911,True,nan,0.02857142857142857,,1.0,10000,100,100,100,235300,100,rounds,False,0,0,0.22120898425246252,,,,,0.44,0.34,0.39,0.55,0.454,0.604
covtype,xgb,always_rebuild,3,9,12671,12671,0,319,REBUILD,False,0.47384767860632626,False,nan,0.46111111111111114,,1.0,31900,100,100,319,267200,100,rounds,False,0,0,0.012736567495215123,,,,,0.59,0.43,0.51,0.455,0.452,0.532
covtype,xgb,always_rebuild,3,10,12935,12935,0,264,REBUILD,False,0.5245407468811724,False,nan,0.4909090909090909,,1.0,26400,100,100,264,293600,100,rounds,False,0,0,0.03363165597208145,,,,,0.29,0.23,0.26,0.445,0.364,0.458
covtype,xgb,always_rebuild,3,11,13000,13035,35,100,REBUILD,False,0.5245407468811724,True,nan,0.488095238095238,,1.0,10000,100,100,100,303600,100,rounds,False,0,0,0.03644550878593433,,,,,0.33,0.28,0.305,0.315,0.344,0.454
covtype,xgb,always_rebuild,3,12,13291,13291,0,256,REBUILD,False,0.6510380775686898,False,nan,0.5875850340136054,,1.0,25600,100,100,256,329200,100,rounds,False,0,0,0.06345304355508441,,,,,0.38,0.32,0.35,0.295,0.308,0.416
covtype,xgb,always_rebuild,3,13,13475,13475,0,184,REBUILD,False,0.6510380775686898,True,nan,0.45092592592592595,,1.0,18400,100,100,184,347600,100,rounds,False,0,0,0.20011215164276386,,,,,0.53,0.35,0.44,0.32,0.366,0.34
covtype,xgb,always_rebuild,3,14,13531,13575,44,100,REBUILD,False,0.6510380775686898,True,nan,0.3939393939393939,,1.0,10000,100,100,100,357600,100,rounds,True,1,0,0.2570986836292959,,,,,0.5,0.41,0.455,0.37,0.372,0.348
covtype,xgb,always_rebuild,3,15,13663,13675,12,100,REBUILD,False,0.6510380775686898,True,nan,0.2571428571428571,,1.0,10000,100,100,100,367600,100,rounds,True,1,0,0.3938952204258327,,,,,0.43,0.44,0.435,0.43,0.422,0.264
covtype,xgb,always_rebuild,3,16,13852,13852,0,177,REBUILD,False,0.6510380775686898,True,nan,0.20833333333333334,,1.0,17700,100,100,177,385300,100,rounds,True,1,0,0.44270474423535644,,,,,0.77,0.57,0.67,0.43,0.526,0.324
covtype,xgb,always_rebuild,3,17,14095,14095,0,243,REBUILD,False,0.5989970813500225,False,nan,0.30326617826617824,,1.0,24300,100,100,243,409600,100,rounds,True,1,0,0.29573090308384425,,,,,0.48,0.34,0.41,0.635,0.518,0.392
covtype,xgb,always_rebuild,3,18,14165,14195,30,100,REBUILD,False,0.5989970813500225,True,nan,0.5666666666666667,,1.0,10000,100,100,100,419600,100,rounds,True,1,0,0.032330414683355846,,,,,0.47,0.37,0.42,0.565,0.506,0.426
covtype,xgb,always_rebuild,3,19,14279,14295,16,100,REBUILD,False,0.5989970813500225,True,nan,0.37777777777777777,,1.0,10000,100,100,100,429600,100,rounds,True,1,0,0.22121930357224473,,,,,0.39,0.47,0.43,0.405,0.474,0.462
covtype,xgb,always_rebuild,3,20,14340,14395,55,100,REBUILD,False,0.5989970813500225,True,nan,0.2987012987012987,,1.0,10000,100,100,100,439600,100,rounds,True,4,0,0.3002957826487238,,,,,0.47,0.39,0.43,0.4,0.424,0.512
covtype,xgb,always_rebuild,3,21,14614,14614,0,219,REBUILD,False,0.6744585823533192,False,nan,0.3274170274170274,,1.0,21900,100,100,219,461500,100,rounds,True,4,0,0.34704155493629185,,,,,0.35,0.26,0.305,0.41,0.366,0.526
covtype,xgb,always_rebuild,3,22,14711,14714,3,100,REBUILD,False,0.6744585823533192,True,nan,0.4285714285714286,,1.0,10000,100,100,100,471500,100,rounds,True,3,0,0.24588715378189063,,,,,0.32,0.32,0.32,0.35,0.348,0.494
covtype,xgb,always_rebuild,3,23,14891,14891,0,177,REBUILD,False,0.6744585823533192,True,nan,0.140625,,1.0,17700,100,100,177,489200,100,rounds,True,1,0,0.5338335823533192,,,,,0.77,0.61,0.69,0.295,0.442,0.414
covtype,xgb,always_rebuild,3,24,14980,14991,11,100,REBUILD,False,0.6744585823533192,True,nan,0.2708333333333333,,1.0,10000,100,100,100,499200,100,rounds,True,4,0,0.4036252490199859,,,,,0.69,0.78,0.735,0.43,0.52,0.394
covtype,xgb,always_rebuild,3,25,15125,15125,0,134,REBUILD,False,0.6744585823533192,True,nan,0.4134615384615385,,1.0,13400,100,100,134,512600,100,rounds,True,3,0,0.26099704389178074,,,,,0.38,0.55,0.465,0.69,0.53,0.364
covtype,xgb,always_rebuild,3,26,15204,15225,21,100,REBUILD,False,0.6744585823533192,True,nan,0.5,,1.0,10000,100,100,100,522600,100,rounds,True,5,0,0.17445858235331924,,,,,0.67,0.29,0.48,0.665,0.59,0.338
covtype,xgb,always_rebuild,3,27,15653,15653,0,428,REBUILD,False,0.896551724137931,False,nan,0.39291465378421897,,1.0,42800,100,100,428,565400,100,rounds,True,4,0,0.5036370703537121,,,,,0.18,0.09,0.135,0.065,0.186,0.55
covtype,xgb,always_rebuild,3,28,15690,15753,63,100,REBUILD,False,0.896551724137931,True,nan,0.7472527472527473,,1.0,10000,100,100,100,575400,100,rounds,True,4,0,0.1492989768851838,,,,,0.19,0.1,0.145,0.07,0.146,0.574
covtype,xgb,always_rebuild,3,29,15779,15853,74,100,REBUILD,False,0.896551724137931,True,nan,1.0,,1.0,10000,100,100,100,585400,100,rounds,True,5,0,-0.10344827586206895,,,,,0.12,0.17,0.145,0.12,0.106,0.536
covtype,xgb,always_rebuild,3,30,15880,15953,73,100,REBUILD,False,0.896551724137931,True,nan,1.0,,1.0,10000,100,100,100,595400,100,rounds,True,4,0,-0.10344827586206895,,,,,0.09,0.12,0.105,0.14,0.124,0.378
