dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,xgb,fixed_schedule,2,0,10691,10691,0,692,NUDGE,False,0.5871902648286145,False,nan,0.5049513704686118,0.5564692012967875,0.5564692012967875,2765,5,5,553,2765,105,rounds,True,3,1,0.08223889436000265,0.18705035971223022,,,,0.54,0.44,0.49,0.265,,
covtype,xgb,fixed_schedule,2,1,14267,14267,0,1000,NUDGE,False,0.3560357909541787,False,nan,0.5878828021237749,0.5592800305401632,0.5592800305401632,4000,5,5,800,6765,110,rounds,False,0,2,-0.23184701116959616,0.15,,,,0.44,0.39,0.415,0.155,0.274,0.186
covtype,xgb,fixed_schedule,2,2,14545,14545,0,278,REBUILD,False,0.5415956053783015,False,nan,0.44912280701754387,,1.0,27800,100,100,278,34565,100,rounds,True,2,0,0.09247279836075767,,,,,0.44,0.27,0.355,0.405,0.386,0.182
covtype,xgb,fixed_schedule,2,3,14617,14645,28,100,NUDGE,False,0.5415956053783015,True,nan,0.3593073593073593,0.41558441558441556,0.41558441558441556,400,5,5,80,34965,105,rounds,True,4,1,0.18228824607094224,0.4,,,,0.54,0.31,0.425,0.365,0.398,0.206
covtype,xgb,fixed_schedule,2,4,14889,14889,0,244,NUDGE,False,0.391421767100794,False,nan,0.14545454545454545,0.2863636363636364,0.2863636363636364,975,5,5,195,35940,110,rounds,True,3,2,0.24596722164624857,0.5102040816326531,,,,0.57,0.43,0.5,0.505,0.452,0.306
covtype,xgb,fixed_schedule,2,5,21161,21161,0,1000,REBUILD,False,0.09523809523809523,False,nan,0.07549019607843137,,1.0,100000,100,100,1000,135940,100,rounds,True,5,0,0.019747899159663865,,,,,0.97,0.82,0.895,0.87,0.814,0.76
covtype,xgb,fixed_schedule,2,6,21225,21261,36,100,NUDGE,False,0.09523809523809523,True,nan,0.9166666666666667,0.8333333333333333,0.8333333333333333,400,5,5,80,136340,105,rounds,True,5,1,-0.8214285714285715,0.05,,,,0.35,0.98,0.665,0.815,0.752,0.73
covtype,xgb,fixed_schedule,2,7,21974,21974,0,713,NUDGE,False,1.0,False,nan,0.9330827067669173,0.9330827067669173,0.9330827067669173,2850,5,5,570,139190,110,rounds,True,5,2,0.06691729323308271,0.013986013986013986,,,,0.07,0.0,0.035,0.005,0.018,0.358
covtype,xgb,fixed_schedule,2,8,22128,22128,0,154,REBUILD,False,1.0,True,nan,0.5,,0.5,15400,100,100,154,154590,100,rounds,True,5,0,0.5,,,,,0.01,0.04,0.025,0.015,0.018,0.076
covtype,xgb,fixed_schedule,2,9,22178,22228,50,100,NUDGE,False,1.0,True,nan,1.0,0.0,0.0,400,5,5,80,154990,105,rounds,True,5,1,0.0,1.0,,,,0.1,0.0,0.05,0.035,0.036,0.014
covtype,xgb,fixed_schedule,2,10,22255,22328,73,100,NUDGE,False,1.0,True,nan,0.0,1.0,1.0,400,5,5,80,155390,110,rounds,True,6,2,1.0,1.0,,,,0.59,0.05,0.32,0.035,0.142,0.01
covtype,xgb,fixed_schedule,2,11,22680,22680,0,352,REBUILD,False,0.5,False,nan,0.5,,1.0,35200,100,100,352,190590,100,rounds,True,5,0,0.0,,,,,0.33,0.0,0.165,0.415,0.386,0.04
covtype,xgb,fixed_schedule,2,12,22901,22901,0,221,NUDGE,False,0.883653286794648,False,nan,0.75,0.75,0.75,880,5,5,176,191470,105,rounds,True,5,1,0.13365328679464805,0.0,,,,0.04,0.0,0.02,0.175,0.138,0.292
covtype,xgb,fixed_schedule,2,13,23051,23051,0,150,NUDGE,False,0.883653286794648,True,nan,0.5,0.5,0.5,600,5,5,120,192070,110,rounds,True,5,2,0.38365328679464805,0.0,,,,0.05,0.11,0.08,0.145,0.102,0.344
