dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,xgb,mechanism_selector,0,0,10691,10691,0,692,REBUILD,False,0.5871902648286145,False,0.5671902648286145,0.5049513704686118,0.5564692012967875,1.0,71965,105,105,1245,71965,100,rounds,True,4,0,0.08223889436000265,0.18705035971223022,,,,0.54,0.44,0.49,0.265,,
covtype,xgb,mechanism_selector,0,1,10868,10868,0,177,REBUILD,True,0.5871902648286145,True,0.5671902648286145,0.5185185185185185,,1.0,17700,100,100,177,89665,100,rounds,True,3,0,0.06867174631009598,,,,,0.62,0.51,0.565,0.44,,
covtype,xgb,mechanism_selector,0,2,10959,10968,9,100,REBUILD,True,0.5871902648286145,True,0.5671902648286145,0.2828282828282828,,1.0,10000,100,100,100,99665,100,rounds,True,5,0,0.30436198200033165,,,,,0.45,0.55,0.5,0.545,,
covtype,xgb,mechanism_selector,0,3,11367,11367,0,399,REBUILD,False,0.45273937532002045,False,0.43273937532002044,0.29743589743589743,0.3435897435897436,1.0,41495,105,105,718,141160,100,rounds,True,6,0,0.15530347788412302,0.2625,,,,0.47,0.2,0.335,0.325,0.348,0.45
covtype,xgb,mechanism_selector,0,4,11797,11797,0,430,SKIP,False,0.2497804128238911,False,0.2297804128238911,0.2636738906088751,,0.2636738906088751,0,0,0,0,141160,100,rounds,False,0,0,-0.013893477784983982,,,,,0.78,0.63,0.705,0.545,0.608,0.368
covtype,xgb,mechanism_selector,0,5,14429,14429,0,1000,SKIP,False,0.2987841945288754,False,0.2787841945288754,0.34080671580671584,,0.34080671580671584,0,0,0,0,141160,100,rounds,False,0,0,-0.04202252127784045,,,,,0.99,0.79,0.89,0.8,0.858,0.792
covtype,xgb,mechanism_selector,0,6,23274,23274,0,1000,SKIP,False,0.09118773946360154,False,0.07118773946360153,0.3228320344884762,,0.3228320344884762,0,0,0,0,141160,100,rounds,False,0,0,-0.23164429502487466,,,,,0.85,0.37,0.61,0.765,0.606,0.538
covtype,xgb,mechanism_selector,0,7,23452,23452,0,178,REBUILD,True,0.09118773946360154,True,0.07118773946360153,0.11290322580645161,,1.0,17800,100,100,178,158960,100,rounds,True,5,0,-0.021715486342850074,,,,,0.49,0.65,0.57,0.535,0.63,0.574
covtype,xgb,mechanism_selector,0,8,23791,23791,0,339,SKIP,False,0.7975543478260869,False,0.7775543478260869,0.8,,0.8,0,0,0,0,158960,100,rounds,False,0,0,-0.0024456521739131265,,,,,0.29,0.04,0.165,0.4,0.312,0.602
covtype,xgb,mechanism_selector,0,9,24038,24038,0,247,NUDGE,False,0.8491882293252155,False,0.8291882293252155,0.7837837837837838,0.9324324324324325,0.9324324324324325,985,5,5,197,159945,105,rounds,True,5,1,0.06540444554143177,0.3,,,,0.21,0.05,0.13,0.235,0.152,0.55
covtype,xgb,mechanism_selector,0,10,24149,24149,0,111,REBUILD,True,0.8491882293252155,True,0.8291882293252155,0.9615384615384616,,1.0,11100,100,100,111,171045,100,rounds,True,5,0,-0.11235023221324603,,,,,0.01,0.2,0.105,0.215,0.148,0.484
covtype,xgb,mechanism_selector,0,11,24219,24249,30,100,REBUILD,True,0.8491882293252155,True,0.8291882293252155,0.5,,1.0,10000,100,100,100,181045,100,rounds,True,5,0,0.34918822932521554,,,,,0.11,0.09,0.1,0.085,0.16,0.368
covtype,xgb,mechanism_selector,0,12,24288,24349,61,100,REBUILD,True,0.8491882293252155,True,0.8291882293252155,0.25,,1.0,10000,100,100,100,191045,100,rounds,True,5,0,0.5991882293252155,,,,,0.23,0.06,0.145,0.105,0.15,0.308
covtype,xgb,mechanism_selector,0,13,24460,24460,0,111,REBUILD,True,0.8491882293252155,True,0.8291882293252155,0.5,,1.0,11100,100,100,111,202145,100,rounds,True,5,0,0.34918822932521554,,,,,0.21,0.6,0.405,0.105,0.244,0.192
covtype,xgb,mechanism_selector,0,14,24500,24560,60,100,REBUILD,True,0.8491882293252155,True,0.8291882293252155,0.0,,1.0,10000,100,100,100,212145,100,rounds,True,5,0,0.8491882293252155,,,,,0.22,0.4,0.31,0.205,0.238,0.16
covtype,xgb,mechanism_selector,0,15,24899,24899,0,339,SKIP,False,0.1774977895667551,False,0.15749778956675511,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.3225022104332449,,,,,0.54,0.27,0.405,0.87,0.552,0.204
covtype,xgb,mechanism_selector,0,16,25167,25167,0,268,SKIP,False,0.25,False,0.23,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.25,,,,,0.44,0.39,0.415,0.615,0.528,0.476
covtype,xgb,mechanism_selector,0,17,25440,25440,0,273,SKIP,False,0.25,False,0.23,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.25,,,,,0.45,0.37,0.41,0.585,0.53,0.632
covtype,xgb,mechanism_selector,0,18,25729,25729,0,289,SKIP,False,0.2388888888888889,False,0.2188888888888889,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.26111111111111107,,,,,0.5,0.23,0.365,0.67,0.51,0.536
covtype,xgb,mechanism_selector,0,19,26015,26015,0,286,SKIP,False,0.24444444444444444,False,0.22444444444444445,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.25555555555555554,,,,,0.47,0.26,0.365,0.68,0.492,0.548
covtype,xgb,mechanism_selector,0,20,26318,26318,0,303,SKIP,False,0.2111111111111111,False,0.19111111111111112,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.28888888888888886,,,,,0.51,0.21,0.36,0.75,0.49,0.592
covtype,xgb,mechanism_selector,0,21,26624,26624,0,306,SKIP,False,0.20994475138121546,False,0.18994475138121547,0.5,,0.5,0,0,0,0,212145,100,rounds,False,0,0,-0.2900552486187845,,,,,0.5,0.19,0.345,0.775,0.49,0.626
covtype,xgb,mechanism_selector,0,22,26951,26951,0,327,SKIP,False,0.21949602122015915,False,0.19949602122015916,0.5111111111111111,,0.5111111111111111,0,0,0,0,212145,100,rounds,False,0,0,-0.2916150898909519,,,,,0.5,0.23,0.365,0.825,0.494,0.666
covtype,xgb,mechanism_selector,0,23,27299,27299,0,348,SKIP,False,0.1949799580072533,False,0.1749799580072533,0.55,,0.55,0,0,0,0,212145,100,rounds,False,0,0,-0.3550200419927467,,,,,0.51,0.21,0.36,0.855,0.51,0.656
covtype,xgb,mechanism_selector,0,24,27668,27668,0,369,SKIP,False,0.153125,False,0.13312500000000002,0.5648148148148148,,0.5648148148148148,0,0,0,0,212145,100,rounds,False,0,0,-0.41168981481481476,,,,,0.53,0.16,0.345,0.895,0.55,0.576
