dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
covtype,xgb,never_adapt,2,0,10691,10691,0,692,SKIP,False,0.5871902648286145,False,nan,0.5049513704686118,,0.5049513704686118,0,0,0,0,0,100,rounds,False,0,0,0.08223889436000265,,,,,0.54,0.44,0.49,0.265,,
covtype,xgb,never_adapt,2,1,14250,14250,0,1000,SKIP,False,0.37562921015619216,False,nan,0.5790773809523809,,0.5790773809523809,0,0,0,0,0,100,rounds,False,0,0,-0.20344817079618877,,,,,0.42,0.45,0.435,0.095,0.254,0.172
covtype,xgb,never_adapt,2,2,14532,14532,0,282,SKIP,False,0.5783393110979318,False,nan,0.4464285714285714,,0.4464285714285714,0,0,0,0,0,100,rounds,False,0,0,0.1319107396693604,,,,,0.38,0.24,0.31,0.42,0.368,0.154
covtype,xgb,never_adapt,2,3,62013,62013,0,1000,SKIP,False,0.4099125420950018,False,nan,0.7173605377992688,,0.7173605377992688,0,0,0,0,0,100,rounds,False,0,0,-0.307447995704267,,,,,0.29,0.24,0.265,0.21,0.232,0.172
covtype,xgb,never_adapt,2,4,62068,62113,45,100,SKIP,False,0.4099125420950018,True,nan,1.0,,1.0,0,0,0,0,0,100,rounds,False,0,0,-0.5900874579049982,,,,,0.45,0.16,0.305,0.25,0.254,0.182
covtype,xgb,never_adapt,2,5,62137,62213,76,100,SKIP,False,0.4099125420950018,True,nan,1.0,,1.0,0,0,0,0,0,100,rounds,False,0,0,-0.5900874579049982,,,,,0.17,0.36,0.265,0.195,0.238,0.192
covtype,xgb,never_adapt,2,6,62279,62313,34,100,SKIP,False,0.4099125420950018,True,nan,0.23076923076923078,,0.23076923076923078,0,0,0,0,0,100,rounds,False,0,0,0.179143311325771,,,,,0.19,0.13,0.16,0.29,0.208,0.232
covtype,xgb,never_adapt,2,7,62591,62591,0,278,SKIP,False,0.5397830018083183,False,nan,0.54,,0.54,0,0,0,0,0,100,rounds,False,0,0,-0.00021699819168174983,,,,,0.24,0.22,0.23,0.29,0.25,0.244
covtype,xgb,never_adapt,2,8,62784,62784,0,193,SKIP,False,0.5397830018083183,True,nan,0.5267379679144385,,0.5267379679144385,0,0,0,0,0,100,rounds,False,0,0,0.013045033893879787,,,,,0.23,0.33,0.28,0.205,0.286,0.218
covtype,xgb,never_adapt,2,9,62870,62884,14,100,SKIP,False,0.5397830018083183,True,nan,0.5,,0.5,0,0,0,0,0,100,rounds,False,0,0,0.039783001808318286,,,,,0.29,0.15,0.22,0.31,0.238,0.276
