dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,gnb,always_nudge,1,0,4626,4630,4,100,NUDGE,False,0.772877618522602,False,nan,0.65,0.65,0.65,80,1,0,80,80,34,params,False,0,1,0.12287761852260193,0.0,,,,,,,,,
elec2,gnb,always_nudge,1,1,4911,4911,0,281,NUDGE,False,0.87,False,nan,0.6666666666666666,0.6666666666666666,0.6666666666666666,224,1,0,224,304,34,params,False,0,2,0.20333333333333337,0.0,,,,0.25,0.11,,,,
elec2,gnb,always_nudge,1,2,4955,5011,56,100,NUDGE,False,0.87,True,nan,0.9,0.9,0.9,80,1,0,80,384,34,params,False,0,3,-0.030000000000000027,0.0,,,,0.24,0.15,0.195,0.115,,
elec2,gnb,always_nudge,1,3,5321,5321,0,310,NUDGE,False,0.87,False,nan,0.6774193548387096,0.6774193548387096,0.6774193548387096,248,1,0,248,632,34,params,False,0,4,0.19258064516129036,0.0,,,,0.34,0.11,0.225,0.185,,
elec2,gnb,always_nudge,1,4,5993,5993,0,672,NUDGE,False,0.655,False,nan,0.6888888888888889,0.7185185185185186,0.7185185185185186,537,1,0,537,1169,34,params,False,0,5,-0.03388888888888886,0.02962962962962963,,,,0.36,0.3,0.33,0.04,0.192,0.264
elec2,gnb,always_nudge,1,5,6324,6324,0,331,NUDGE,False,0.79,False,nan,0.7014925373134329,0.7014925373134329,0.7014925373134329,264,1,0,264,1433,34,params,False,0,6,0.08850746268656717,0.0,,,,0.24,0.24,0.24,0.235,0.26,0.214
elec2,gnb,always_nudge,1,6,6539,6539,0,215,NUDGE,False,0.885,False,nan,0.7209302325581395,0.7209302325581395,0.7209302325581395,172,1,0,172,1605,34,params,False,0,7,0.16406976744186053,0.0,,,,0.19,0.05,0.12,0.26,0.19,0.198
elec2,gnb,always_nudge,1,7,6593,6639,46,100,NUDGE,False,0.885,True,nan,0.55,0.55,0.55,80,1,0,80,1685,34,params,False,0,8,0.33499999999999996,0.0,,,,0.23,0.08,0.155,0.21,0.196,0.182
elec2,gnb,always_nudge,1,8,6953,6953,0,314,NUDGE,False,0.745,False,nan,0.5079365079365079,0.5238095238095238,0.5238095238095238,251,1,0,251,1936,34,params,False,0,9,0.2370634920634921,0.015873015873015872,,,,0.31,0.23,0.27,0.305,0.276,0.208
elec2,gnb,always_nudge,1,9,7061,7061,0,108,NUDGE,False,0.745,True,nan,0.36363636363636365,0.36363636363636365,0.36363636363636365,86,1,0,86,2022,34,params,False,0,10,0.38136363636363635,0.0,,,,0.31,0.35,0.33,0.195,0.3,0.19
