dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,gnb,always_rebuild,1,0,4626,4630,4,100,REBUILD,False,0.772877618522602,False,nan,0.65,,0.65,100,1,0,100,100,34,params,False,0,0,0.12287761852260193,,,,,,,,,,
elec2,gnb,always_rebuild,1,1,4682,4730,48,100,REBUILD,False,0.772877618522602,True,nan,0.9,,0.95,100,1,0,100,200,34,params,False,0,0,-0.12712238147739807,,,,,,,,,,
elec2,gnb,always_rebuild,1,2,4910,4910,0,180,REBUILD,False,0.772877618522602,True,nan,0.6388888888888888,,0.6666666666666666,180,1,0,180,380,34,params,False,0,0,0.1339887296337131,,,,,0.2,0.03,,,,
elec2,gnb,always_rebuild,1,3,4951,5010,59,100,REBUILD,False,0.772877618522602,True,nan,1.0,,1.0,100,1,0,100,480,34,params,False,0,0,-0.22712238147739805,,,,,0.19,0.04,0.115,0.255,,
elec2,gnb,always_rebuild,1,4,5038,5110,72,100,REBUILD,False,0.772877618522602,True,nan,0.3,,0.7,100,1,0,100,580,34,params,False,0,0,0.47287761852260196,,,,,0.07,0.17,0.12,0.22,,
elec2,gnb,always_rebuild,1,5,5409,5409,0,299,REBUILD,False,0.78,False,nan,0.4,,0.9,299,1,0,299,879,34,params,False,0,0,0.38,,,,,0.52,0.27,0.395,0.34,,
elec2,gnb,always_rebuild,1,6,5517,5517,0,108,REBUILD,False,0.78,True,nan,0.4090909090909091,,1.0,108,1,0,108,987,34,params,False,0,0,0.3709090909090909,,,,,0.33,0.55,0.44,0.225,,
elec2,gnb,always_rebuild,1,7,5562,5617,55,100,REBUILD,False,0.78,True,nan,0.65,,0.75,100,1,0,100,1087,34,params,False,0,0,0.13,,,,,0.21,0.41,0.31,0.29,0.332,0.186
elec2,gnb,always_rebuild,1,8,5658,5717,59,100,REBUILD,False,0.78,True,nan,0.3,,0.95,100,1,0,100,1187,34,params,False,0,0,0.48000000000000004,,,,,0.28,0.24,0.26,0.385,0.294,0.242
elec2,gnb,always_rebuild,1,9,7072,7072,0,1000,REBUILD,False,0.745,False,nan,0.615,,0.86,1000,1,0,1000,2187,34,params,False,0,0,0.13,,,,,0.4,0.37,0.385,0.155,0.314,0.204
elec2,gnb,always_rebuild,1,10,7116,7172,56,100,REBUILD,False,0.745,True,nan,0.5,,0.6,100,1,0,100,2287,34,params,False,0,0,0.245,,,,,0.51,0.44,0.475,0.135,0.33,0.218
elec2,gnb,always_rebuild,1,11,7434,7434,0,262,REBUILD,False,0.665,False,nan,0.32075471698113206,,0.9245283018867925,262,1,0,262,2549,34,params,False,0,0,0.344245283018868,,,,,0.51,0.28,0.395,0.535,0.446,0.242
elec2,gnb,always_rebuild,1,12,7472,7534,62,100,REBUILD,False,0.665,True,nan,0.9,,0.85,100,1,0,100,2649,34,params,False,0,0,-0.235,,,,,0.43,0.34,0.385,0.465,0.42,0.278
elec2,gnb,always_rebuild,1,13,7542,7634,92,100,REBUILD,False,0.665,True,nan,0.15,,1.0,100,1,0,100,2749,34,params,False,0,0,0.515,,,,,0.12,0.51,0.315,0.355,0.398,0.274
elec2,gnb,always_rebuild,1,14,8146,8146,0,512,REBUILD,False,0.715,False,nan,0.5145631067961165,,0.9611650485436893,512,1,0,512,3261,34,params,False,0,0,0.20043689320388347,,,,,0.49,0.47,0.48,0.345,0.382,0.316
elec2,gnb,always_rebuild,1,15,8441,8441,0,295,REBUILD,False,0.92,False,nan,0.7796610169491526,,0.7796610169491526,295,1,0,295,3556,34,params,False,0,0,0.14033898305084747,,,,,0.13,0.06,0.095,0.3,0.25,0.27
elec2,gnb,always_rebuild,1,16,8482,8541,59,100,REBUILD,False,0.92,True,nan,1.0,,0.85,100,1,0,100,3656,34,params,False,0,0,-0.07999999999999996,,,,,0.28,0.04,0.16,0.245,0.228,0.308
elec2,gnb,always_rebuild,1,17,8551,8641,90,100,REBUILD,False,0.92,True,nan,0.8,,0.95,100,1,0,100,3756,34,params,False,0,0,0.12,,,,,0.26,0.15,0.205,0.08,0.212,0.334
elec2,gnb,always_rebuild,1,18,8781,8781,0,140,REBUILD,False,0.92,True,nan,0.5714285714285714,,1.0,140,1,0,140,3896,34,params,False,0,0,0.34857142857142864,,,,,0.23,0.22,0.225,0.245,0.196,0.332
elec2,gnb,always_rebuild,1,19,8907,8907,0,126,REBUILD,False,0.92,True,nan,0.7692307692307693,,0.8076923076923077,126,1,0,126,4022,34,params,False,0,0,0.15076923076923077,,,,,0.1,0.24,0.17,0.195,0.196,0.27
