dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,gnb,fixed_schedule,3,0,4626,4630,4,100,NUDGE,False,0.772877618522602,False,nan,0.65,0.65,0.65,80,1,0,80,80,34,params,False,0,1,0.12287761852260193,0.0,,,,,,,,,
elec2,gnb,fixed_schedule,3,1,4911,4911,0,281,NUDGE,False,0.87,False,nan,0.6666666666666666,0.6666666666666666,0.6666666666666666,224,1,0,224,304,34,params,False,0,2,0.20333333333333337,0.0,,,,0.25,0.11,,,,
elec2,gnb,fixed_schedule,3,2,4955,5011,56,100,REBUILD,False,0.87,True,nan,0.9,,1.0,100,1,0,100,404,34,params,False,0,0,-0.030000000000000027,,,,,0.24,0.15,0.195,0.115,,
elec2,gnb,fixed_schedule,3,3,5054,5111,57,100,NUDGE,False,0.87,True,nan,0.3,0.95,0.95,80,1,0,80,484,34,params,False,0,1,0.5700000000000001,0.65,,,,0.33,0.23,0.28,0.12,,
elec2,gnb,fixed_schedule,3,4,5357,5357,0,246,NUDGE,False,0.825,False,nan,0.36,0.42,0.42,196,1,0,196,680,34,params,False,0,2,0.46499999999999997,0.06,,,,0.45,0.2,0.325,0.35,,
elec2,gnb,fixed_schedule,3,5,5598,5598,0,241,REBUILD,False,0.715,False,nan,0.6122448979591837,,0.8979591836734694,241,1,0,241,921,34,params,False,0,0,0.10275510204081628,,,,,0.33,0.2,0.265,0.415,0.3,0.246
elec2,gnb,fixed_schedule,3,6,5792,5792,0,194,NUDGE,False,0.715,True,nan,0.28205128205128205,0.7948717948717948,0.7948717948717948,155,1,0,155,1076,34,params,False,0,1,0.4329487179487179,0.5128205128205128,,,,0.59,0.56,0.575,0.24,0.444,0.264
elec2,gnb,fixed_schedule,3,7,6334,6334,0,542,NUDGE,False,0.785,False,nan,0.6972477064220184,0.6972477064220184,0.6972477064220184,433,1,0,433,1509,34,params,False,0,2,0.08775229357798164,0.01834862385321101,,,,0.3,0.25,0.275,0.175,0.212,0.434
elec2,gnb,fixed_schedule,3,8,6376,6434,58,100,REBUILD,False,0.785,True,nan,0.95,,1.0,100,1,0,100,1609,34,params,False,0,0,-0.16499999999999992,,,,,0.25,0.27,0.26,0.135,0.204,0.376
elec2,gnb,fixed_schedule,3,9,6529,6534,5,100,NUDGE,False,0.785,True,nan,0.6,0.6,0.6,80,1,0,80,1689,34,params,False,0,1,0.18500000000000005,0.0,,,,0.15,0.12,0.135,0.26,0.184,0.382
elec2,gnb,fixed_schedule,3,10,6596,6634,38,100,NUDGE,False,0.785,True,nan,0.45,1.0,1.0,80,1,0,80,1769,34,params,False,0,2,0.335,0.55,,,,0.26,0.1,0.18,0.24,0.2,0.34
elec2,gnb,fixed_schedule,3,11,6756,6756,0,122,REBUILD,False,0.785,True,nan,0.44,,1.0,122,1,0,122,1891,34,params,False,0,0,0.34500000000000003,,,,,0.15,0.3,0.225,0.16,0.208,0.234
elec2,gnb,fixed_schedule,3,12,6819,6856,37,100,NUDGE,False,0.785,True,nan,1.0,1.0,1.0,80,1,0,80,1971,34,params,False,0,1,-0.21499999999999997,0.0,,,,0.19,0.1,0.145,0.23,0.184,0.198
elec2,gnb,fixed_schedule,3,13,6914,6956,42,100,NUDGE,False,0.785,True,nan,0.95,0.95,0.95,80,1,0,80,2051,34,params,False,0,2,-0.16499999999999992,0.0,,,,0.12,0.17,0.145,0.24,0.17,0.202
elec2,gnb,fixed_schedule,3,14,7098,7098,0,142,REBUILD,False,0.785,True,nan,0.7586206896551724,,0.7586206896551724,142,1,0,142,2193,34,params,False,0,0,0.026379310344827656,,,,,0.18,0.16,0.17,0.125,0.158,0.2
elec2,gnb,fixed_schedule,3,15,8159,8159,0,1000,NUDGE,False,0.53,False,nan,0.49,0.775,0.775,800,1,0,800,2993,34,params,False,0,1,0.040000000000000036,0.285,,,,0.6,0.42,0.51,0.43,0.446,0.326
elec2,gnb,fixed_schedule,3,16,8479,8479,0,320,NUDGE,False,0.825,False,nan,0.703125,0.71875,0.71875,256,1,0,256,3249,34,params,False,0,2,0.12187499999999996,0.015625,,,,0.3,0.14,0.22,0.355,0.302,0.388
elec2,gnb,fixed_schedule,3,17,8683,8683,0,204,REBUILD,False,0.58,False,nan,0.43902439024390244,,1.0,204,1,0,204,3453,34,params,False,0,0,0.14097560975609752,,,,,0.55,0.3,0.425,0.23,0.294,0.444
elec2,gnb,fixed_schedule,3,18,8910,8910,0,227,NUDGE,False,0.935,False,nan,0.7608695652173914,0.7608695652173914,0.7608695652173914,181,1,0,181,3634,34,params,False,0,1,0.1741304347826087,0.0,,,,0.15,0.05,0.1,0.405,0.258,0.332
elec2,gnb,fixed_schedule,3,19,9264,9264,0,354,NUDGE,False,0.885,False,nan,0.7605633802816901,0.7605633802816901,0.7605633802816901,283,1,0,283,3917,34,params,False,0,2,0.12443661971830988,0.0,,,,0.18,0.08,0.13,0.14,0.122,0.276
elec2,gnb,fixed_schedule,3,20,9441,9441,0,177,REBUILD,False,0.885,True,nan,0.4166666666666667,,0.7222222222222222,177,1,0,177,4094,34,params,False,0,0,0.4683333333333333,,,,,0.3,0.41,0.355,0.08,0.19,0.262
elec2,gnb,fixed_schedule,3,21,9478,9541,63,100,NUDGE,False,0.885,True,nan,0.2,1.0,1.0,80,1,0,80,4174,34,params,False,0,1,0.685,0.8,,,,0.32,0.35,0.335,0.13,0.212,0.236
elec2,gnb,fixed_schedule,3,22,9692,9692,0,151,NUDGE,False,0.885,True,nan,0.4838709677419355,0.41935483870967744,0.41935483870967744,120,1,0,120,4294,34,params,False,0,2,0.4011290322580645,0.06451612903225806,,,,0.2,0.32,0.26,0.27,0.28,0.096
elec2,gnb,fixed_schedule,3,23,9852,9852,0,160,REBUILD,False,0.885,True,nan,0.75,,0.90625,160,1,0,160,4454,34,params,False,0,0,0.135,,,,,0.13,0.21,0.17,0.24,0.22,0.17
elec2,gnb,fixed_schedule,3,24,9887,9952,65,100,NUDGE,False,0.885,True,nan,0.7,0.75,0.75,80,1,0,80,4534,34,params,False,0,1,0.18500000000000005,0.05,,,,0.11,0.15,0.13,0.235,0.212,0.18
elec2,gnb,fixed_schedule,3,25,9987,10052,65,100,NUDGE,False,0.885,True,nan,0.5,1.0,1.0,80,1,0,80,4614,34,params,False,0,2,0.385,0.5,,,,0.13,0.11,0.12,0.15,0.172,0.214
elec2,gnb,fixed_schedule,3,26,10199,10199,0,147,REBUILD,False,0.885,True,nan,0.5333333333333333,,1.0,147,1,0,147,4761,34,params,False,0,0,0.3516666666666667,,,,,0.26,0.21,0.235,0.155,0.172,0.284
elec2,gnb,fixed_schedule,3,27,10234,10299,65,100,NUDGE,False,0.885,True,nan,0.45,0.45,0.45,80,1,0,80,4841,34,params,False,0,1,0.435,0.0,,,,0.2,0.21,0.205,0.185,0.17,0.278
elec2,gnb,fixed_schedule,3,28,10364,10399,35,100,NUDGE,False,0.885,True,nan,0.3,0.8,0.8,80,1,0,80,4921,34,params,False,0,2,0.585,0.5,,,,0.44,0.18,0.31,0.21,0.23,0.214
elec2,gnb,fixed_schedule,3,29,10698,10698,0,299,REBUILD,False,0.885,False,nan,0.6666666666666666,,0.6666666666666666,299,1,0,299,5220,34,params,False,0,0,0.21833333333333338,,,,,0.28,0.11,0.195,0.31,0.23,0.17
