dataset,model,policy_key,seed,event_index,alarm_row,adapt_row,deferred_rows,buffer_rows,action,degraded_to_rebuild,reference_accuracy_used,reference_carried,floor,acc_before,acc_nudged,acc_after,work_units,n_passes,n_estimators_fitted,rows_processed,cumulative_work_units,model_size_after,model_size_unit,placeholders_injected,n_placeholder_rows,nudges_since_rebuild,accuracy_deficit,nudge_prediction_change,alarm_error_before,alarm_error_after,alarm_direction,window_error_recent_100,window_error_prior_100,window_error_recent_200,window_error_prior_200,window_error_recent_500,window_error_prior_500
elec2,gnb,mechanism_selector,1,0,4626,4630,4,100,REBUILD,True,0.772877618522602,False,0.7528776185226019,0.65,,0.65,100,1,0,100,100,34,params,False,0,0,0.12287761852260193,,,,,,,,,,
elec2,gnb,mechanism_selector,1,1,4682,4730,48,100,REBUILD,True,0.772877618522602,True,0.7528776185226019,0.9,,0.95,100,1,0,100,200,34,params,False,0,0,-0.12712238147739807,,,,,,,,,,
elec2,gnb,mechanism_selector,1,2,4910,4910,0,180,REBUILD,True,0.772877618522602,True,0.7528776185226019,0.6388888888888888,,0.6666666666666666,180,1,0,180,380,34,params,False,0,0,0.1339887296337131,,,,,0.2,0.03,,,,
elec2,gnb,mechanism_selector,1,3,4951,5010,59,100,REBUILD,True,0.772877618522602,True,0.7528776185226019,1.0,,1.0,100,1,0,100,480,34,params,False,0,0,-0.22712238147739805,,,,,0.19,0.04,0.115,0.255,,
elec2,gnb,mechanism_selector,1,4,5038,5110,72,100,REBUILD,True,0.772877618522602,True,0.7528776185226019,0.3,,0.7,100,1,0,100,580,34,params,False,0,0,0.47287761852260196,,,,,0.07,0.17,0.12,0.22,,
elec2,gnb,mechanism_selector,1,5,5409,5409,0,299,REBUILD,False,0.78,False,0.76,0.4,0.43333333333333335,0.9,538,2,0,538,1118,34,params,False,0,0,0.38,0.03333333333333333,,,,0.52,0.27,0.395,0.34,,
elec2,gnb,mechanism_selector,1,6,5517,5517,0,108,REBUILD,True,0.78,True,0.76,0.4090909090909091,,1.0,108,1,0,108,1226,34,params,False,0,0,0.3709090909090909,,,,,0.33,0.55,0.44,0.225,,
elec2,gnb,mechanism_selector,1,7,5562,5617,55,100,REBUILD,True,0.78,True,0.76,0.65,,0.75,100,1,0,100,1326,34,params,False,0,0,0.13,,,,,0.21,0.41,0.31,0.29,0.332,0.186
elec2,gnb,mechanism_selector,1,8,5658,5717,59,100,REBUILD,True,0.78,True,0.76,0.3,,0.95,100,1,0,100,1426,34,params,False,0,0,0.48000000000000004,,,,,0.28,0.24,0.26,0.385,0.294,0.242
elec2,gnb,mechanism_selector,1,9,7072,7072,0,1000,NUDGE,False,0.745,False,0.725,0.615,0.82,0.82,800,1,0,800,2226,34,params,False,0,1,0.13,0.235,,,,0.4,0.37,0.385,0.155,0.314,0.204
elec2,gnb,mechanism_selector,1,10,7116,7172,56,100,REBUILD,True,0.745,True,0.725,0.5,,0.6,100,1,0,100,2326,34,params,False,0,0,0.245,,,,,0.51,0.44,0.475,0.135,0.33,0.218
elec2,gnb,mechanism_selector,1,11,7434,7434,0,262,NUDGE,False,0.665,False,0.645,0.32075471698113206,0.7358490566037735,0.7358490566037735,209,1,0,209,2535,34,params,False,0,1,0.344245283018868,0.41509433962264153,,,,0.51,0.28,0.395,0.535,0.446,0.242
elec2,gnb,mechanism_selector,1,12,7470,7534,64,100,REBUILD,True,0.665,True,0.645,0.9,,0.85,100,1,0,100,2635,34,params,False,0,0,-0.235,,,,,0.39,0.35,0.37,0.47,0.412,0.278
elec2,gnb,mechanism_selector,1,13,7619,7634,15,100,REBUILD,True,0.665,True,0.645,0.15,,1.0,100,1,0,100,2735,34,params,False,0,0,0.515,,,,,0.16,0.22,0.19,0.345,0.322,0.332
elec2,gnb,mechanism_selector,1,14,7981,7981,0,347,NUDGE,False,0.715,False,0.695,0.45714285714285713,0.8428571428571429,0.8428571428571429,277,1,0,277,3012,34,params,False,0,1,0.25785714285714284,0.44285714285714284,,,,0.52,0.31,0.415,0.31,0.306,0.414
elec2,gnb,mechanism_selector,1,15,8171,8171,0,190,REBUILD,True,0.715,True,0.695,0.8157894736842105,,0.7894736842105263,190,1,0,190,3202,34,params,False,0,0,-0.10078947368421054,,,,,0.09,0.17,0.13,0.39,0.26,0.3
elec2,gnb,mechanism_selector,1,16,8220,8271,51,100,REBUILD,True,0.715,True,0.695,0.95,,0.95,100,1,0,100,3302,34,params,False,0,0,-0.235,,,,,0.11,0.04,0.075,0.375,0.242,0.284
elec2,gnb,mechanism_selector,1,17,8320,8371,51,100,REBUILD,True,0.715,True,0.695,1.0,,1.0,100,1,0,100,3402,34,params,False,0,0,-0.28500000000000003,,,,,0.02,0.11,0.065,0.21,0.184,0.284
elec2,gnb,mechanism_selector,1,18,8387,8471,84,100,REBUILD,True,0.715,True,0.695,0.85,,0.85,100,1,0,100,3502,34,params,False,0,0,-0.135,,,,,0.02,0.04,0.03,0.08,0.14,0.3
elec2,gnb,mechanism_selector,1,19,8562,8571,9,100,REBUILD,True,0.715,True,0.695,0.05,,0.95,100,1,0,100,3602,34,params,False,0,0,0.6649999999999999,,,,,0.35,0.16,0.255,0.055,0.136,0.3
